SA2_CODE,obsValue,ARR_BAND
102011041,269,Arrived 2006 - 2015
102011041,11,Arrived 1 Jan 2016 - 9 August 2016
102011041,43,Not stated
102011042,2317,Total
102011042,16,Arrived 1900 - 1945
102011042,133,Arrived 1946 - 1955
102011042,236,Arrived 1956 - 1965
102011042,410,Arrived 1966 - 1975
102011042,251,Arrived 1976 - 1985
102011042,303,Arrived 1986 - 1995
102011042,331,Arrived 1996 - 2005
102011042,521,Arrived 2006 - 2015
102011042,20,Arrived 1 Jan 2016 - 9 August 2016
102011042,85,Not stated
102011043,2050,Total
102011043,13,Arrived 1900 - 1945
102011043,120,Arrived 1946 - 1955
102011043,188,Arrived 1956 - 1965
102011043,350,Arrived 1966 - 1975
102011043,248,Arrived 1976 - 1985
102011043,266,Arrived 1986 - 1995
102011043,308,Arrived 1996 - 2005
102011043,441,Arrived 2006 - 2015
102011043,14,Arrived 1 Jan 2016 - 9 August 2016
102011043,99,Not stated
102021044,2356,Total
102021044,16,Arrived 1900 - 1945
102021044,174,Arrived 1946 - 1955
102021044,309,Arrived 1956 - 1965
102021044,518,Arrived 1966 - 1975
102021044,276,Arrived 1976 - 1985
102021044,279,Arrived 1986 - 1995
102021044,286,Arrived 1996 - 2005
102021044,372,Arrived 2006 - 2015
102021044,11,Arrived 1 Jan 2016 - 9 August 2016
102021044,119,Not stated
102021045,1111,Total
102021045,4,Arrived 1900 - 1945
102021045,79,Arrived 1946 - 1955
102021045,136,Arrived 1956 - 1965
102021045,248,Arrived 1966 - 1975
102021045,152,Arrived 1976 - 1985
102021045,169,Arrived 1986 - 1995
102021045,148,Arrived 1996 - 2005
102021045,127,Arrived 2006 - 2015
102021045,8,Arrived 1 Jan 2016 - 9 August 2016
102021045,41,Not stated
102021046,977,Total
102021046,9,Arrived 1900 - 1945
102021046,96,Arrived 1946 - 1955
102021046,194,Arrived 1956 - 1965
102021046,244,Arrived 1966 - 1975
102021046,115,Arrived 1976 - 1985
102021046,112,Arrived 1986 - 1995
102021046,92,Arrived 1996 - 2005
102021046,84,Arrived 2006 - 2015
102021046,0,Arrived 1 Jan 2016 - 9 August 2016
102021046,35,Not stated
102021047,1818,Total
102021047,10,Arrived 1900 - 1945
102021047,121,Arrived 1946 - 1955
102021047,273,Arrived 1956 - 1965
102021047,385,Arrived 1966 - 1975
102021047,241,Arrived 1976 - 1985
102021047,243,Arrived 1986 - 1995
102021047,234,Arrived 1996 - 2005
102021047,243,Arrived 2006 - 2015
102021047,10,Arrived 1 Jan 2016 - 9 August 2016
102021047,52,Not stated
102021048,2576,Total
102021048,14,Arrived 1900 - 1945
102021048,225,Arrived 1946 - 1955
102021048,391,Arrived 1956 - 1965
102021048,562,Arrived 1966 - 1975
102021048,311,Arrived 1976 - 1985
102021048,324,Arrived 1986 - 1995
102021048,230,Arrived 1996 - 2005
102021048,377,Arrived 2006 - 2015
102021048,11,Arrived 1 Jan 2016 - 9 August 2016
102021048,120,Not stated
102021049,356,Total
102021049,3,Arrived 1900 - 1945
102021049,16,Arrived 1946 - 1955
102021049,40,Arrived 1956 - 1965
102021049,70,Arrived 1966 - 1975
102021049,67,Arrived 1976 - 1985
102021049,62,Arrived 1986 - 1995
102021049,45,Arrived 1996 - 2005
102021049,45,Arrived 2006 - 2015
102021049,3,Arrived 1 Jan 2016 - 9 August 2016
102021049,14,Not stated
102021050,1210,Total
102021050,5,Arrived 1900 - 1945
102021050,140,Arrived 1946 - 1955
102021050,242,Arrived 1956 - 1965
102021050,331,Arrived 1966 - 1975
102021050,156,Arrived 1976 - 1985
102021050,110,Arrived 1986 - 1995
102021050,93,Arrived 1996 - 2005
102021050,80,Arrived 2006 - 2015
102021050,4,Arrived 1 Jan 2016 - 9 August 2016
102021050,55,Not stated
102021051,721,Total
102021051,0,Arrived 1900 - 1945
102021051,43,Arrived 1946 - 1955
102021051,71,Arrived 1956 - 1965
102021051,111,Arrived 1966 - 1975
102021051,120,Arrived 1976 - 1985
102021051,137,Arrived 1986 - 1995
102021051,93,Arrived 1996 - 2005
102021051,117,Arrived 2006 - 2015
102021051,9,Arrived 1 Jan 2016 - 9 August 2016
102021051,21,Not stated
102021052,624,Total
102021052,6,Arrived 1900 - 1945
102021052,70,Arrived 1946 - 1955
102021052,118,Arrived 1956 - 1965
102021052,182,Arrived 1966 - 1975
102021052,82,Arrived 1976 - 1985
102021052,60,Arrived 1986 - 1995
102021052,44,Arrived 1996 - 2005
102021052,42,Arrived 2006 - 2015
102021052,3,Arrived 1 Jan 2016 - 9 August 2016
102021052,22,Not stated
102021053,1875,Total
102021053,7,Arrived 1900 - 1945
102021053,189,Arrived 1946 - 1955
102021053,260,Arrived 1956 - 1965
102021053,360,Arrived 1966 - 1975
102021053,229,Arrived 1976 - 1985
102021053,189,Arrived 1986 - 1995
102021053,205,Arrived 1996 - 2005
102021053,340,Arrived 2006 - 2015
102021053,17,Arrived 1 Jan 2016 - 9 August 2016
102021053,75,Not stated
102021054,1038,Total
102021054,11,Arrived 1900 - 1945
102021054,113,Arrived 1946 - 1955
102021054,174,Arrived 1956 - 1965
102021054,241,Arrived 1966 - 1975
102021054,129,Arrived 1976 - 1985
102021054,111,Arrived 1986 - 1995
102021054,100,Arrived 1996 - 2005
102021054,106,Arrived 2006 - 2015
102021054,0,Arrived 1 Jan 2016 - 9 August 2016
102021054,66,Not stated
102021055,981,Total
102021055,3,Arrived 1900 - 1945
102021055,47,Arrived 1946 - 1955
102021055,73,Arrived 1956 - 1965
102021055,147,Arrived 1966 - 1975
102021055,102,Arrived 1976 - 1985
102021055,156,Arrived 1986 - 1995
102021055,191,Arrived 1996 - 2005
102021055,213,Arrived 2006 - 2015
102021055,21,Arrived 1 Jan 2016 - 9 August 2016
102021055,35,Not stated
102021056,2275,Total
102021056,8,Arrived 1900 - 1945
102021056,122,Arrived 1946 - 1955
102021056,218,Arrived 1956 - 1965
102021056,380,Arrived 1966 - 1975
102021056,240,Arrived 1976 - 1985
102021056,281,Arrived 1986 - 1995
102021056,378,Arrived 1996 - 2005
102021056,555,Arrived 2006 - 2015
102021056,15,Arrived 1 Jan 2016 - 9 August 2016
102021056,77,Not stated
102021057,1324,Total
102021057,3,Arrived 1900 - 1945
102021057,70,Arrived 1946 - 1955
102021057,135,Arrived 1956 - 1965
102021057,221,Arrived 1966 - 1975
102021057,165,Arrived 1976 - 1985
102021057,193,Arrived 1986 - 1995
102021057,182,Arrived 1996 - 2005
102021057,308,Arrived 2006 - 2015
102021057,25,Arrived 1 Jan 2016 - 9 August 2016
102021057,23,Not stated
115011290,8590,Total
115011290,3,Arrived 1900 - 1945
115011290,220,Arrived 1946 - 1955
115011290,350,Arrived 1956 - 1965
115011290,569,Arrived 1966 - 1975
115011290,654,Arrived 1976 - 1985
115011290,1515,Arrived 1986 - 1995
115011290,2106,Arrived 1996 - 2005
115011290,2737,Arrived 2006 - 2015
115011290,178,Arrived 1 Jan 2016 - 9 August 2016
115011290,265,Not stated
115011291,7972,Total
115011291,3,Arrived 1900 - 1945
115011291,148,Arrived 1946 - 1955
115011291,296,Arrived 1956 - 1965
115011291,679,Arrived 1966 - 1975
115011291,820,Arrived 1976 - 1985
115011291,1862,Arrived 1986 - 1995
115011291,1865,Arrived 1996 - 2005
115011291,1922,Arrived 2006 - 2015
115011291,214,Arrived 1 Jan 2016 - 9 August 2016
115011291,163,Not stated
115011294,1426,Total
115011294,12,Arrived 1900 - 1945
115011294,98,Arrived 1946 - 1955
115011294,137,Arrived 1956 - 1965
115011294,258,Arrived 1966 - 1975
115011294,222,Arrived 1976 - 1985
115011294,215,Arrived 1986 - 1995
115011294,232,Arrived 1996 - 2005
115011294,206,Arrived 2006 - 2015
115011294,11,Arrived 1 Jan 2016 - 9 August 2016
115011294,39,Not stated
115011296,5119,Total
115011296,3,Arrived 1900 - 1945
115011296,100,Arrived 1946 - 1955
115011296,218,Arrived 1956 - 1965
115011296,385,Arrived 1966 - 1975
115011296,686,Arrived 1976 - 1985
115011296,1470,Arrived 1986 - 1995
115011296,1227,Arrived 1996 - 2005
115011296,884,Arrived 2006 - 2015
115011296,54,Arrived 1 Jan 2016 - 9 August 2016
115011296,82,Not stated
115011553,3037,Total
115011553,7,Arrived 1900 - 1945
115011553,64,Arrived 1946 - 1955
115011553,99,Arrived 1956 - 1965
115011553,233,Arrived 1966 - 1975
115011553,228,Arrived 1976 - 1985
115011553,535,Arrived 1986 - 1995
115011553,701,Arrived 1996 - 2005
115011553,1042,Arrived 2006 - 2015
115011553,52,Arrived 1 Jan 2016 - 9 August 2016
115011553,77,Not stated
115011554,2207,Total
115011554,22,Arrived 1900 - 1945
115011554,67,Arrived 1946 - 1955
115011554,110,Arrived 1956 - 1965
115011554,146,Arrived 1966 - 1975
115011554,188,Arrived 1976 - 1985
115011554,488,Arrived 1986 - 1995
115011554,532,Arrived 1996 - 2005
115011554,472,Arrived 2006 - 2015
115011554,27,Arrived 1 Jan 2016 - 9 August 2016
115011554,155,Not stated
115011555,4358,Total
115011555,7,Arrived 1900 - 1945
115011555,129,Arrived 1946 - 1955
115011555,228,Arrived 1956 - 1965
115011555,405,Arrived 1966 - 1975
115011555,457,Arrived 1976 - 1985
115011555,882,Arrived 1986 - 1995
115011555,951,Arrived 1996 - 2005
115011555,1133,Arrived 2006 - 2015
115011555,81,Arrived 1 Jan 2016 - 9 August 2016
115011555,80,Not stated
115011556,3689,Total
115011556,4,Arrived 1900 - 1945
115011556,76,Arrived 1946 - 1955
115011556,134,Arrived 1956 - 1965
115011556,304,Arrived 1966 - 1975
115011556,370,Arrived 1976 - 1985
115011556,699,Arrived 1986 - 1995
115011556,801,Arrived 1996 - 2005
115011556,1144,Arrived 2006 - 2015
115011556,50,Arrived 1 Jan 2016 - 9 August 2016
115011556,109,Not stated
115011557,2157,Total
115011557,0,Arrived 1900 - 1945
115011557,29,Arrived 1946 - 1955
115011557,52,Arrived 1956 - 1965
115011557,122,Arrived 1966 - 1975
115011557,211,Arrived 1976 - 1985
115011557,576,Arrived 1986 - 1995
115011557,610,Arrived 1996 - 2005
115011557,483,Arrived 2006 - 2015
115011557,13,Arrived 1 Jan 2016 - 9 August 2016
115011557,48,Not stated
115011558,8933,Total
115011558,28,Arrived 1900 - 1945
115011558,106,Arrived 1946 - 1955
115011558,240,Arrived 1956 - 1965
115011558,545,Arrived 1966 - 1975
115011558,818,Arrived 1976 - 1985
115011558,2040,Arrived 1986 - 1995
115011558,2496,Arrived 1996 - 2005
115011558,2382,Arrived 2006 - 2015
115011558,113,Arrived 1 Jan 2016 - 9 August 2016
115011558,174,Not stated
115011559,8489,Total
115011559,8,Arrived 1900 - 1945
115011559,154,Arrived 1946 - 1955
115011559,274,Arrived 1956 - 1965
115011559,573,Arrived 1966 - 1975
115011559,768,Arrived 1976 - 1985
115011559,1736,Arrived 1986 - 1995
115011559,2338,Arrived 1996 - 2005
115011559,2365,Arrived 2006 - 2015
115011559,104,Arrived 1 Jan 2016 - 9 August 2016
115011559,164,Not stated
115021297,4684,Total
115021297,24,Arrived 1900 - 1945
115021297,299,Arrived 1946 - 1955
115021297,526,Arrived 1956 - 1965
115021297,728,Arrived 1966 - 1975
115021297,538,Arrived 1976 - 1985
115021297,780,Arrived 1986 - 1995
115021297,820,Arrived 1996 - 2005
115021297,825,Arrived 2006 - 2015
115021297,26,Arrived 1 Jan 2016 - 9 August 2016
115021297,124,Not stated
115021298,948,Total
115021298,3,Arrived 1900 - 1945
115021298,74,Arrived 1946 - 1955
115021298,145,Arrived 1956 - 1965
115021298,162,Arrived 1966 - 1975
115021298,116,Arrived 1976 - 1985
115021298,126,Arrived 1986 - 1995
115021298,150,Arrived 1996 - 2005
115021298,142,Arrived 2006 - 2015
115021298,7,Arrived 1 Jan 2016 - 9 August 2016
115021298,28,Not stated
115031299,337,Total
115031299,0,Arrived 1900 - 1945
115031299,25,Arrived 1946 - 1955
115031299,55,Arrived 1956 - 1965
115031299,100,Arrived 1966 - 1975
115031299,42,Arrived 1976 - 1985
115031299,36,Arrived 1986 - 1995
115031299,28,Arrived 1996 - 2005
115031299,35,Arrived 2006 - 2015
115031299,0,Arrived 1 Jan 2016 - 9 August 2016
115031299,19,Not stated
115031300,2450,Total
115031300,10,Arrived 1900 - 1945
115031300,221,Arrived 1946 - 1955
115031300,368,Arrived 1956 - 1965
115031300,632,Arrived 1966 - 1975
115031300,318,Arrived 1976 - 1985
115031300,299,Arrived 1986 - 1995
115031300,263,Arrived 1996 - 2005
115031300,259,Arrived 2006 - 2015
115031300,4,Arrived 1 Jan 2016 - 9 August 2016
115031300,78,Not stated
115041301,1302,Total
115041301,3,Arrived 1900 - 1945
115041301,111,Arrived 1946 - 1955
115041301,202,Arrived 1956 - 1965
115041301,271,Arrived 1966 - 1975
115041301,155,Arrived 1976 - 1985
115041301,198,Arrived 1986 - 1995
115041301,176,Arrived 1996 - 2005
115041301,150,Arrived 2006 - 2015
115041301,11,Arrived 1 Jan 2016 - 9 August 2016
115041301,27,Not stated
101021007,460,Total
101021007,0,Arrived 1900 - 1945
101021007,29,Arrived 1946 - 1955
101021007,64,Arrived 1956 - 1965
101021007,107,Arrived 1966 - 1975
101021007,80,Arrived 1976 - 1985
101021007,51,Arrived 1986 - 1995
101021007,41,Arrived 1996 - 2005
101021007,61,Arrived 2006 - 2015
101021007,4,Arrived 1 Jan 2016 - 9 August 2016
101021007,18,Not stated
101021008,1322,Total
101021008,0,Arrived 1900 - 1945
101021008,68,Arrived 1946 - 1955
101021008,177,Arrived 1956 - 1965
101021008,289,Arrived 1966 - 1975
101021008,144,Arrived 1976 - 1985
101021008,174,Arrived 1986 - 1995
101021008,162,Arrived 1996 - 2005
101021008,268,Arrived 2006 - 2015
101021008,15,Arrived 1 Jan 2016 - 9 August 2016
101021008,41,Not stated
101021009,2680,Total
101021009,3,Arrived 1900 - 1945
101021009,173,Arrived 1946 - 1955
101021009,260,Arrived 1956 - 1965
101021009,299,Arrived 1966 - 1975
101021009,152,Arrived 1976 - 1985
101021009,197,Arrived 1986 - 1995
101021009,269,Arrived 1996 - 2005
101021009,1156,Arrived 2006 - 2015
101021009,79,Arrived 1 Jan 2016 - 9 August 2016
101021009,100,Not stated
101021010,1189,Total
101021010,0,Arrived 1900 - 1945
101021010,50,Arrived 1946 - 1955
101021010,81,Arrived 1956 - 1965
101021010,123,Arrived 1966 - 1975
101021010,78,Arrived 1976 - 1985
101021010,107,Arrived 1986 - 1995
101021010,115,Arrived 1996 - 2005
101021010,561,Arrived 2006 - 2015
101021010,40,Arrived 1 Jan 2016 - 9 August 2016
101021010,28,Not stated
101021011,2205,Total
101021011,0,Arrived 1900 - 1945
101021011,126,Arrived 1946 - 1955
101021011,299,Arrived 1956 - 1965
101021011,490,Arrived 1966 - 1975
101021011,287,Arrived 1976 - 1985
101021011,256,Arrived 1986 - 1995
101021011,266,Arrived 1996 - 2005
101021011,397,Arrived 2006 - 2015
101021011,22,Arrived 1 Jan 2016 - 9 August 2016
101021011,70,Not stated
101021012,1988,Total
101021012,0,Arrived 1900 - 1945
101021012,59,Arrived 1946 - 1955
101021012,185,Arrived 1956 - 1965
101021012,357,Arrived 1966 - 1975
101021012,229,Arrived 1976 - 1985
101021012,294,Arrived 1986 - 1995
101021012,347,Arrived 1996 - 2005
101021012,450,Arrived 2006 - 2015
101021012,8,Arrived 1 Jan 2016 - 9 August 2016
101021012,50,Not stated
101031013,192,Total
101031013,3,Arrived 1900 - 1945
101031013,15,Arrived 1946 - 1955
101031013,33,Arrived 1956 - 1965
101031013,56,Arrived 1966 - 1975
101031013,19,Arrived 1976 - 1985
101031013,18,Arrived 1986 - 1995
101031013,16,Arrived 1996 - 2005
101031013,24,Arrived 2006 - 2015
101031013,0,Arrived 1 Jan 2016 - 9 August 2016
101031013,8,Not stated
101031014,977,Total
101031014,4,Arrived 1900 - 1945
101031014,135,Arrived 1946 - 1955
101031014,162,Arrived 1956 - 1965
101031014,179,Arrived 1966 - 1975
101031014,85,Arrived 1976 - 1985
101031014,92,Arrived 1986 - 1995
101031014,84,Arrived 1996 - 2005
101031014,112,Arrived 2006 - 2015
101031014,3,Arrived 1 Jan 2016 - 9 August 2016
101031014,114,Not stated
101031015,408,Total
101031015,0,Arrived 1900 - 1945
101031015,39,Arrived 1946 - 1955
101031015,91,Arrived 1956 - 1965
101031015,126,Arrived 1966 - 1975
101031015,52,Arrived 1976 - 1985
101031015,39,Arrived 1986 - 1995
101031015,24,Arrived 1996 - 2005
101031015,32,Arrived 2006 - 2015
101031015,0,Arrived 1 Jan 2016 - 9 August 2016
101031015,18,Not stated
101031016,917,Total
101031016,3,Arrived 1900 - 1945
101031016,66,Arrived 1946 - 1955
101031016,110,Arrived 1956 - 1965
101031016,162,Arrived 1966 - 1975
101031016,90,Arrived 1976 - 1985
101031016,97,Arrived 1986 - 1995
101031016,101,Arrived 1996 - 2005
101031016,196,Arrived 2006 - 2015
101031016,24,Arrived 1 Jan 2016 - 9 August 2016
101031016,69,Not stated
101041017,1087,Total
101041017,5,Arrived 1900 - 1945
101041017,137,Arrived 1946 - 1955
101041017,232,Arrived 1956 - 1965
101041017,274,Arrived 1966 - 1975
101041017,128,Arrived 1976 - 1985
101041017,98,Arrived 1986 - 1995
101041017,63,Arrived 1996 - 2005
101041017,101,Arrived 2006 - 2015
101041017,3,Arrived 1 Jan 2016 - 9 August 2016
101041017,53,Not stated
101041018,1257,Total
101041018,12,Arrived 1900 - 1945
101041018,171,Arrived 1946 - 1955
101041018,269,Arrived 1956 - 1965
101041018,312,Arrived 1966 - 1975
101041018,127,Arrived 1976 - 1985
101041018,81,Arrived 1986 - 1995
101041018,95,Arrived 1996 - 2005
101041018,133,Arrived 2006 - 2015
101041018,12,Arrived 1 Jan 2016 - 9 August 2016
101041018,47,Not stated
101041019,741,Total
101041019,3,Arrived 1900 - 1945
101041019,76,Arrived 1946 - 1955
101041019,115,Arrived 1956 - 1965
101041019,141,Arrived 1966 - 1975
101041019,86,Arrived 1976 - 1985
101041019,84,Arrived 1986 - 1995
101041019,78,Arrived 1996 - 2005
101041019,124,Arrived 2006 - 2015
101041019,3,Arrived 1 Jan 2016 - 9 August 2016
101041019,39,Not stated
101041020,1015,Total
101041020,0,Arrived 1900 - 1945
101041020,83,Arrived 1946 - 1955
101041020,204,Arrived 1956 - 1965
101041020,247,Arrived 1966 - 1975
101041020,191,Arrived 1976 - 1985
101041020,102,Arrived 1986 - 1995
101041020,76,Arrived 1996 - 2005
101041020,53,Arrived 2006 - 2015
101041020,5,Arrived 1 Jan 2016 - 9 August 2016
101041020,40,Not stated
101041021,399,Total
101041021,10,Arrived 1900 - 1945
101041021,71,Arrived 1946 - 1955
101041021,82,Arrived 1956 - 1965
101041021,104,Arrived 1966 - 1975
101041021,29,Arrived 1976 - 1985
101041021,31,Arrived 1986 - 1995
101041021,39,Arrived 1996 - 2005
101041021,33,Arrived 2006 - 2015
101041021,0,Arrived 1 Jan 2016 - 9 August 2016
101041021,10,Not stated
101041022,0,Total
101041022,0,Arrived 1900 - 1945
101041022,0,Arrived 1946 - 1955
101041022,0,Arrived 1956 - 1965
101041022,0,Arrived 1966 - 1975
101041022,0,Arrived 1976 - 1985
101041022,0,Arrived 1986 - 1995
101041022,0,Arrived 1996 - 2005
101041022,0,Arrived 2006 - 2015
101041022,0,Arrived 1 Jan 2016 - 9 August 2016
101041022,0,Not stated
101041023,352,Total
101041023,0,Arrived 1900 - 1945
101041023,54,Arrived 1946 - 1955
101041023,71,Arrived 1956 - 1965
101041023,85,Arrived 1966 - 1975
101041023,34,Arrived 1976 - 1985
101041023,32,Arrived 1986 - 1995
101041023,15,Arrived 1996 - 2005
101041023,37,Arrived 2006 - 2015
101041023,3,Arrived 1 Jan 2016 - 9 August 2016
101041023,24,Not stated
101041024,353,Total
101041024,3,Arrived 1900 - 1945
101041024,44,Arrived 1946 - 1955
101041024,77,Arrived 1956 - 1965
101041024,96,Arrived 1966 - 1975
101041024,34,Arrived 1976 - 1985
101041024,35,Arrived 1986 - 1995
101041024,19,Arrived 1996 - 2005
101041024,23,Arrived 2006 - 2015
101041024,0,Arrived 1 Jan 2016 - 9 August 2016
101041024,17,Not stated
101041025,1431,Total
101041025,18,Arrived 1900 - 1945
101041025,176,Arrived 1946 - 1955
101041025,293,Arrived 1956 - 1965
101041025,310,Arrived 1966 - 1975
101041025,168,Arrived 1976 - 1985
101041025,100,Arrived 1986 - 1995
101041025,117,Arrived 1996 - 2005
101041025,175,Arrived 2006 - 2015
101041025,13,Arrived 1 Jan 2016 - 9 August 2016
101041025,59,Not stated
101041026,1022,Total
101041026,9,Arrived 1900 - 1945
101041026,129,Arrived 1946 - 1955
101041026,221,Arrived 1956 - 1965
101041026,296,Arrived 1966 - 1975
101041026,112,Arrived 1976 - 1985
101041026,73,Arrived 1986 - 1995
101041026,59,Arrived 1996 - 2005
101041026,85,Arrived 2006 - 2015
101041026,0,Arrived 1 Jan 2016 - 9 August 2016
101041026,46,Not stated
101041027,1196,Total
101041027,11,Arrived 1900 - 1945
101041027,174,Arrived 1946 - 1955
101041027,271,Arrived 1956 - 1965
101041027,274,Arrived 1966 - 1975
101041027,154,Arrived 1976 - 1985
101041027,102,Arrived 1986 - 1995
101041027,90,Arrived 1996 - 2005
101041027,68,Arrived 2006 - 2015
101041027,5,Arrived 1 Jan 2016 - 9 August 2016
101041027,46,Not stated
101051539,2143,Total
101051539,3,Arrived 1900 - 1945
101051539,128,Arrived 1946 - 1955
101051539,211,Arrived 1956 - 1965
101051539,329,Arrived 1966 - 1975
101051539,171,Arrived 1976 - 1985
101051539,172,Arrived 1986 - 1995
101051539,192,Arrived 1996 - 2005
101051539,653,Arrived 2006 - 2015
101051539,59,Arrived 1 Jan 2016 - 9 August 2016
101051539,221,Not stated
101051540,1140,Total
101051540,9,Arrived 1900 - 1945
101051540,96,Arrived 1946 - 1955
101051540,206,Arrived 1956 - 1965
101051540,306,Arrived 1966 - 1975
101051540,131,Arrived 1976 - 1985
101051540,101,Arrived 1986 - 1995
101051540,80,Arrived 1996 - 2005
101051540,157,Arrived 2006 - 2015
101051540,7,Arrived 1 Jan 2016 - 9 August 2016
