SA2_CODE,Parents_Born_Overseas,Parents_POB_Parent_Code,obsValue
110041205,Not stated - birthplace for either or both parents not stated,TOT,1579
111011206,Total,NA,17724
111011206,Both parents born overseas,TOT,1828
111011206,Father only born overseas,TOT,1102
111011206,Mother only born overseas,TOT,763
111011206,Both parents born in Australia,TOT,13047
111011206,Not stated - birthplace for either or both parents not stated,TOT,986
111011207,Total,NA,5606
111011207,Both parents born overseas,TOT,480
111011207,Father only born overseas,TOT,275
111011207,Mother only born overseas,TOT,209
111011207,Both parents born in Australia,TOT,4330
111011207,Not stated - birthplace for either or both parents not stated,TOT,324
111011208,Total,NA,23965
111011208,Both parents born overseas,TOT,3138
111011208,Father only born overseas,TOT,1540
111011208,Mother only born overseas,TOT,1071
111011208,Both parents born in Australia,TOT,17080
111011208,Not stated - birthplace for either or both parents not stated,TOT,1128
111011209,Total,NA,23389
111011209,Both parents born overseas,TOT,2972
111011209,Father only born overseas,TOT,1558
111011209,Mother only born overseas,TOT,1062
111011209,Both parents born in Australia,TOT,16670
111011209,Not stated - birthplace for either or both parents not stated,TOT,1119
111011210,Total,NA,8900
111011210,Both parents born overseas,TOT,885
111011210,Father only born overseas,TOT,514
111011210,Mother only born overseas,TOT,370
111011210,Both parents born in Australia,TOT,6408
111011210,Not stated - birthplace for either or both parents not stated,TOT,721
111011211,Total,NA,3516
111011211,Both parents born overseas,TOT,448
111011211,Father only born overseas,TOT,239
111011211,Mother only born overseas,TOT,159
111011211,Both parents born in Australia,TOT,2466
111011211,Not stated - birthplace for either or both parents not stated,TOT,203
111011212,Total,NA,11551
111011212,Both parents born overseas,TOT,1399
111011212,Father only born overseas,TOT,740
111011212,Mother only born overseas,TOT,538
111011212,Both parents born in Australia,TOT,8247
111011212,Not stated - birthplace for either or both parents not stated,TOT,628
111011213,Total,NA,11995
111011213,Both parents born overseas,TOT,1747
111011213,Father only born overseas,TOT,788
111011213,Mother only born overseas,TOT,579
111011213,Both parents born in Australia,TOT,8466
111011213,Not stated - birthplace for either or both parents not stated,TOT,421
111011214,Total,NA,13365
111011214,Both parents born overseas,TOT,1927
111011214,Father only born overseas,TOT,918
111011214,Mother only born overseas,TOT,638
111011214,Both parents born in Australia,TOT,9259
111011214,Not stated - birthplace for either or both parents not stated,TOT,627
111021215,Total,NA,8527
111021215,Both parents born overseas,TOT,949
111021215,Father only born overseas,TOT,522
111021215,Mother only born overseas,TOT,325
111021215,Both parents born in Australia,TOT,6038
111021215,Not stated - birthplace for either or both parents not stated,TOT,690
111021216,Total,NA,8717
111021216,Both parents born overseas,TOT,1299
111021216,Father only born overseas,TOT,617
111021216,Mother only born overseas,TOT,472
111021216,Both parents born in Australia,TOT,5906
111021216,Not stated - birthplace for either or both parents not stated,TOT,419
111021217,Total,NA,14200
111021217,Both parents born overseas,TOT,1820
111021217,Father only born overseas,TOT,833
111021217,Mother only born overseas,TOT,527
111021217,Both parents born in Australia,TOT,10335
111021217,Not stated - birthplace for either or both parents not stated,TOT,689
111021218,Total,NA,14959
111021218,Both parents born overseas,TOT,2438
111021218,Father only born overseas,TOT,1005
111021218,Mother only born overseas,TOT,804
111021218,Both parents born in Australia,TOT,9610
111021218,Not stated - birthplace for either or both parents not stated,TOT,1095
111021219,Total,NA,13425
111021219,Both parents born overseas,TOT,1692
111021219,Father only born overseas,TOT,821
111021219,Mother only born overseas,TOT,613
111021219,Both parents born in Australia,TOT,9480
111021219,Not stated - birthplace for either or both parents not stated,TOT,820
111021220,Total,NA,8893
111021220,Both parents born overseas,TOT,1164
111021220,Father only born overseas,TOT,612
111021220,Mother only born overseas,TOT,393
111021220,Both parents born in Australia,TOT,6374
111021220,Not stated - birthplace for either or both parents not stated,TOT,352
111021221,Total,NA,6479
111021221,Both parents born overseas,TOT,442
111021221,Father only born overseas,TOT,334
111021221,Mother only born overseas,TOT,237
111021221,Both parents born in Australia,TOT,5163
111021221,Not stated - birthplace for either or both parents not stated,TOT,301
111031222,Total,NA,15601
111031222,Both parents born overseas,TOT,2415
111031222,Father only born overseas,TOT,1153
111031222,Mother only born overseas,TOT,741
111031222,Both parents born in Australia,TOT,10757
111031222,Not stated - birthplace for either or both parents not stated,TOT,524
111031223,Total,NA,8360
111031223,Both parents born overseas,TOT,880
111031223,Father only born overseas,TOT,380
111031223,Mother only born overseas,TOT,286
111031223,Both parents born in Australia,TOT,6258
111031223,Not stated - birthplace for either or both parents not stated,TOT,555
111031224,Total,NA,11848
111031224,Both parents born overseas,TOT,2122
111031224,Father only born overseas,TOT,810
111031224,Mother only born overseas,TOT,592
111031224,Both parents born in Australia,TOT,7525
111031224,Not stated - birthplace for either or both parents not stated,TOT,800
111031225,Total,NA,16519
111031225,Both parents born overseas,TOT,2500
111031225,Father only born overseas,TOT,1030
111031225,Mother only born overseas,TOT,800
111031225,Both parents born in Australia,TOT,11508
111031225,Not stated - birthplace for either or both parents not stated,TOT,685
111031226,Total,NA,13566
111031226,Both parents born overseas,TOT,2371
111031226,Father only born overseas,TOT,737
111031226,Mother only born overseas,TOT,547
111031226,Both parents born in Australia,TOT,9443
111031226,Not stated - birthplace for either or both parents not stated,TOT,469
111031227,Total,NA,14874
111031227,Both parents born overseas,TOT,2678
111031227,Father only born overseas,TOT,1039
111031227,Mother only born overseas,TOT,708
111031227,Both parents born in Australia,TOT,9412
111031227,Not stated - birthplace for either or both parents not stated,TOT,1027
111031228,Total,NA,13617
111031228,Both parents born overseas,TOT,1858
111031228,Father only born overseas,TOT,962
111031228,Mother only born overseas,TOT,723
111031228,Both parents born in Australia,TOT,9369
111031228,Not stated - birthplace for either or both parents not stated,TOT,704
111031229,Total,NA,10764
111031229,Both parents born overseas,TOT,2029
111031229,Father only born overseas,TOT,755
111031229,Mother only born overseas,TOT,589
111031229,Both parents born in Australia,TOT,6435
111031229,Not stated - birthplace for either or both parents not stated,TOT,961
111031230,Total,NA,20
111031230,Both parents born overseas,TOT,0
111031230,Father only born overseas,TOT,0
111031230,Mother only born overseas,TOT,0
111031230,Both parents born in Australia,TOT,16
111031230,Not stated - birthplace for either or both parents not stated,TOT,0
111031231,Total,NA,11541
111031231,Both parents born overseas,TOT,3703
111031231,Father only born overseas,TOT,588
111031231,Mother only born overseas,TOT,455
111031231,Both parents born in Australia,TOT,6082
111031231,Not stated - birthplace for either or both parents not stated,TOT,711
111031232,Total,NA,7496
111031232,Both parents born overseas,TOT,823
111031232,Father only born overseas,TOT,415
111031232,Mother only born overseas,TOT,316
111031232,Both parents born in Australia,TOT,5004
111031232,Not stated - birthplace for either or both parents not stated,TOT,936
111031233,Total,NA,19629
111031233,Both parents born overseas,TOT,3462
111031233,Father only born overseas,TOT,1161
111031233,Mother only born overseas,TOT,779
111031233,Both parents born in Australia,TOT,13051
111031233,Not stated - birthplace for either or both parents not stated,TOT,1180
111031234,Total,NA,12059
111031234,Both parents born overseas,TOT,1980
111031234,Father only born overseas,TOT,764
111031234,Mother only born overseas,TOT,564
111031234,Both parents born in Australia,TOT,7700
111031234,Not stated - birthplace for either or both parents not stated,TOT,1047
111031235,Total,NA,8004
111031235,Both parents born overseas,TOT,1146
111031235,Father only born overseas,TOT,603
111031235,Mother only born overseas,TOT,417
111031235,Both parents born in Australia,TOT,5302
111031235,Not stated - birthplace for either or both parents not stated,TOT,534
112011236,Total,NA,17111
112011236,Both parents born overseas,TOT,2140
112011236,Father only born overseas,TOT,1003
112011236,Mother only born overseas,TOT,718
112011236,Both parents born in Australia,TOT,11542
112011236,Not stated - birthplace for either or both parents not stated,TOT,1706
112011237,Total,NA,16832
112011237,Both parents born overseas,TOT,2138
112011237,Father only born overseas,TOT,1096
112011237,Mother only born overseas,TOT,753
112011237,Both parents born in Australia,TOT,11610
112011237,Not stated - birthplace for either or both parents not stated,TOT,1235
112011238,Total,NA,5665
112011238,Both parents born overseas,TOT,1132
112011238,Father only born overseas,TOT,483
112011238,Mother only born overseas,TOT,338
112011238,Both parents born in Australia,TOT,3047
112011238,Not stated - birthplace for either or both parents not stated,TOT,662
112011239,Total,NA,8212
112011239,Both parents born overseas,TOT,1628
112011239,Father only born overseas,TOT,688
112011239,Mother only born overseas,TOT,492
112011239,Both parents born in Australia,TOT,4616
112011239,Not stated - birthplace for either or both parents not stated,TOT,789
112011240,Total,NA,9502
112011240,Both parents born overseas,TOT,2105
112011240,Father only born overseas,TOT,718
112011240,Mother only born overseas,TOT,532
112011240,Both parents born in Australia,TOT,4577
112011240,Not stated - birthplace for either or both parents not stated,TOT,1573
112011241,Total,NA,5221
112011241,Both parents born overseas,TOT,400
112011241,Father only born overseas,TOT,254
112011241,Mother only born overseas,TOT,175
112011241,Both parents born in Australia,TOT,3867
112011241,Not stated - birthplace for either or both parents not stated,TOT,519
112011242,Total,NA,7741
112011242,Both parents born overseas,TOT,1158
112011242,Father only born overseas,TOT,585
112011242,Mother only born overseas,TOT,439
112011242,Both parents born in Australia,TOT,5104
112011242,Not stated - birthplace for either or both parents not stated,TOT,449
112011243,Total,NA,7993
112011243,Both parents born overseas,TOT,1807
112011243,Father only born overseas,TOT,711
112011243,Mother only born overseas,TOT,428
112011243,Both parents born in Australia,TOT,3943
112011243,Not stated - birthplace for either or both parents not stated,TOT,1102
112021244,Total,NA,12227
112021244,Both parents born overseas,TOT,761
112021244,Father only born overseas,TOT,477
112021244,Mother only born overseas,TOT,308
112021244,Both parents born in Australia,TOT,9766
112021244,Not stated - birthplace for either or both parents not stated,TOT,914
112021245,Total,NA,6971
112021245,Both parents born overseas,TOT,596
112021245,Father only born overseas,TOT,281
112021245,Mother only born overseas,TOT,231
112021245,Both parents born in Australia,TOT,5149
112021245,Not stated - birthplace for either or both parents not stated,TOT,718
112021246,Total,NA,13126
112021246,Both parents born overseas,TOT,1459
112021246,Father only born overseas,TOT,701
112021246,Mother only born overseas,TOT,443
112021246,Both parents born in Australia,TOT,9474
112021246,Not stated - birthplace for either or both parents not stated,TOT,1044
112021247,Total,NA,7312
112021247,Both parents born overseas,TOT,831
112021247,Father only born overseas,TOT,379
112021247,Mother only born overseas,TOT,265
112021247,Both parents born in Australia,TOT,5065
112021247,Not stated - birthplace for either or both parents not stated,TOT,775
112021248,Total,NA,15280
112021248,Both parents born overseas,TOT,1634
112021248,Father only born overseas,TOT,944
112021248,Mother only born overseas,TOT,605
112021248,Both parents born in Australia,TOT,10713
112021248,Not stated - birthplace for either or both parents not stated,TOT,1386
112021249,Total,NA,15025
112021249,Both parents born overseas,TOT,2043
112021249,Father only born overseas,TOT,926
112021249,Mother only born overseas,TOT,695
112021249,Both parents born in Australia,TOT,9964
112021249,Not stated - birthplace for either or both parents not stated,TOT,1390
112031250,Total,NA,13156
112031250,Both parents born overseas,TOT,2036
112031250,Father only born overseas,TOT,925
112031250,Mother only born overseas,TOT,621
112031250,Both parents born in Australia,TOT,8439
112031250,Not stated - birthplace for either or both parents not stated,TOT,1127
112031251,Total,NA,8944
112031251,Both parents born overseas,TOT,1245
112031251,Father only born overseas,TOT,575
112031251,Mother only born overseas,TOT,435
112031251,Both parents born in Australia,TOT,5983
112031251,Not stated - birthplace for either or both parents not stated,TOT,695
112031252,Total,NA,9654
112031252,Both parents born overseas,TOT,1358
112031252,Father only born overseas,TOT,660
112031252,Mother only born overseas,TOT,464
112031252,Both parents born in Australia,TOT,6118
112031252,Not stated - birthplace for either or both parents not stated,TOT,1052
112031253,Total,NA,13182
112031253,Both parents born overseas,TOT,2009
112031253,Father only born overseas,TOT,911
112031253,Mother only born overseas,TOT,666
112031253,Both parents born in Australia,TOT,8563
112031253,Not stated - birthplace for either or both parents not stated,TOT,1032
112031254,Total,NA,19417
112031254,Both parents born overseas,TOT,3981
112031254,Father only born overseas,TOT,1314
112031254,Mother only born overseas,TOT,899
112031254,Both parents born in Australia,TOT,11328
112031254,Not stated - birthplace for either or both parents not stated,TOT,1897
112031550,Total,NA,15635
112031550,Both parents born overseas,TOT,2777
112031550,Father only born overseas,TOT,1099
112031550,Mother only born overseas,TOT,790
112031550,Both parents born in Australia,TOT,10106
112031550,Not stated - birthplace for either or both parents not stated,TOT,863
112031551,Total,NA,3244
112031551,Both parents born overseas,TOT,474
112031551,Father only born overseas,TOT,241
112031551,Mother only born overseas,TOT,182
112031551,Both parents born in Australia,TOT,2176
112031551,Not stated - birthplace for either or both parents not stated,TOT,174
112031552,Total,NA,8147
112031552,Both parents born overseas,TOT,1827
112031552,Father only born overseas,TOT,492
112031552,Mother only born overseas,TOT,324
112031552,Both parents born in Australia,TOT,4857
112031552,Not stated - birthplace for either or both parents not stated,TOT,650
113011256,Total,NA,19144
113011256,Both parents born overseas,TOT,6008
113011256,Father only born overseas,TOT,1061
113011256,Mother only born overseas,TOT,557
113011256,Both parents born in Australia,TOT,9621
113011256,Not stated - birthplace for either or both parents not stated,TOT,1895
113011257,Total,NA,12879
113011257,Both parents born overseas,TOT,1833
113011257,Father only born overseas,TOT,605
113011257,Mother only born overseas,TOT,395
113011257,Both parents born in Australia,TOT,8695
113011257,Not stated - birthplace for either or both parents not stated,TOT,1351
113011258,Total,NA,10091
113011258,Both parents born overseas,TOT,1268
113011258,Father only born overseas,TOT,434
113011258,Mother only born overseas,TOT,230
113011258,Both parents born in Australia,TOT,7141
113011258,Not stated - birthplace for either or both parents not stated,TOT,1015
113011259,Total,NA,6036
113011259,Both parents born overseas,TOT,376
113011259,Father only born overseas,TOT,198
113011259,Mother only born overseas,TOT,107
113011259,Both parents born in Australia,TOT,4620
113011259,Not stated - birthplace for either or both parents not stated,TOT,745
113021260,Total,NA,3449
113021260,Both parents born overseas,TOT,312
113021260,Father only born overseas,TOT,156
113021260,Mother only born overseas,TOT,87
113021260,Both parents born in Australia,TOT,2424
113021260,Not stated - birthplace for either or both parents not stated,TOT,464
113021261,Total,NA,6275
113021261,Both parents born overseas,TOT,597
113021261,Father only born overseas,TOT,212
113021261,Mother only born overseas,TOT,182
113021261,Both parents born in Australia,TOT,4570
113021261,Not stated - birthplace for either or both parents not stated,TOT,715
113021262,Total,NA,4715
113021262,Both parents born overseas,TOT,490
113021262,Father only born overseas,TOT,170
113021262,Mother only born overseas,TOT,141
113021262,Both parents born in Australia,TOT,3493
113021262,Not stated - birthplace for either or both parents not stated,TOT,415
113031263,Total,NA,7570
113031263,Both parents born overseas,TOT,552
113031263,Father only born overseas,TOT,290
113031263,Mother only born overseas,TOT,182
113031263,Both parents born in Australia,TOT,5952
113031263,Not stated - birthplace for either or both parents not stated,TOT,593
113031264,Total,NA,3597
113031264,Both parents born overseas,TOT,180
113031264,Father only born overseas,TOT,81
113031264,Mother only born overseas,TOT,74
113031264,Both parents born in Australia,TOT,2927
113031264,Not stated - birthplace for either or both parents not stated,TOT,346
113031265,Total,NA,6245
113031265,Both parents born overseas,TOT,415
113031265,Father only born overseas,TOT,182
113031265,Mother only born overseas,TOT,154
113031265,Both parents born in Australia,TOT,4100
113031265,Not stated - birthplace for either or both parents not stated,TOT,1401
113031266,Total,NA,6718
113031266,Both parents born overseas,TOT,441
113031266,Father only born overseas,TOT,206
113031266,Mother only born overseas,TOT,135
113031266,Both parents born in Australia,TOT,5461
113031266,Not stated - birthplace for either or both parents not stated,TOT,477
113031267,Total,NA,16585
113031267,Both parents born overseas,TOT,1872
113031267,Father only born overseas,TOT,751
113031267,Mother only born overseas,TOT,510
113031267,Both parents born in Australia,TOT,12635
113031267,Not stated - birthplace for either or both parents not stated,TOT,824
113031268,Total,NA,4405
113031268,Both parents born overseas,TOT,639
113031268,Father only born overseas,TOT,191
113031268,Mother only born overseas,TOT,163
113031268,Both parents born in Australia,TOT,3160
113031268,Not stated - birthplace for either or both parents not stated,TOT,256
113031269,Total,NA,21266
113031269,Both parents born overseas,TOT,2507
113031269,Father only born overseas,TOT,876
113031269,Mother only born overseas,TOT,593
113031269,Both parents born in Australia,TOT,16097
113031269,Not stated - birthplace for either or both parents not stated,TOT,1197
113031270,Total,NA,12157
113031270,Both parents born overseas,TOT,1565
113031270,Father only born overseas,TOT,521
113031270,Mother only born overseas,TOT,379
113031270,Both parents born in Australia,TOT,8633
113031270,Not stated - birthplace for either or both parents not stated,TOT,1060
113031271,Total,NA,14814
113031271,Both parents born overseas,TOT,946
113031271,Father only born overseas,TOT,497
113031271,Mother only born overseas,TOT,377
113031271,Both parents born in Australia,TOT,11581
113031271,Not stated - birthplace for either or both parents not stated,TOT,1410
114011272,Total,NA,8789
114011272,Both parents born overseas,TOT,1590
114011272,Father only born overseas,TOT,551
114011272,Mother only born overseas,TOT,381
114011272,Both parents born in Australia,TOT,5489
114011272,Not stated - birthplace for either or both parents not stated,TOT,776
114011273,Total,NA,3617
114011273,Both parents born overseas,TOT,689
114011273,Father only born overseas,TOT,230
114011273,Mother only born overseas,TOT,155
114011273,Both parents born in Australia,TOT,2279
114011273,Not stated - birthplace for either or both parents not stated,TOT,256
114011274,Total,NA,4955
114011274,Both parents born overseas,TOT,670
114011274,Father only born overseas,TOT,316
114011274,Mother only born overseas,TOT,233
114011274,Both parents born in Australia,TOT,3289
114011274,Not stated - birthplace for either or both parents not stated,TOT,453
114011275,Total,NA,49
114011275,Both parents born overseas,TOT,7
114011275,Father only born overseas,TOT,0
114011275,Mother only born overseas,TOT,0
114011275,Both parents born in Australia,TOT,33
114011275,Not stated - birthplace for either or both parents not stated,TOT,11
114011276,Total,NA,4188
114011276,Both parents born overseas,TOT,929
114011276,Father only born overseas,TOT,312
114011276,Mother only born overseas,TOT,201
114011276,Both parents born in Australia,TOT,2454
114011276,Not stated - birthplace for either or both parents not stated,TOT,292
114011277,Total,NA,15759
114011277,Both parents born overseas,TOT,2434
114011277,Father only born overseas,TOT,1129
114011277,Mother only born overseas,TOT,801
114011277,Both parents born in Australia,TOT,10269
114011277,Not stated - birthplace for either or both parents not stated,TOT,1127
114011278,Total,NA,20039
114011278,Both parents born overseas,TOT,2633
114011278,Father only born overseas,TOT,1206
114011278,Mother only born overseas,TOT,865
114011278,Both parents born in Australia,TOT,12784
114011278,Not stated - birthplace for either or both parents not stated,TOT,2548
114011279,Total,NA,14007
114011279,Both parents born overseas,TOT,2388
114011279,Father only born overseas,TOT,972
114011279,Mother only born overseas,TOT,589
114011279,Both parents born in Australia,TOT,9076
114011279,Not stated - birthplace for either or both parents not stated,TOT,973
114011280,Total,NA,4342
114011280,Both parents born overseas,TOT,673
114011280,Father only born overseas,TOT,261
114011280,Mother only born overseas,TOT,186
114011280,Both parents born in Australia,TOT,2950
114011280,Not stated - birthplace for either or both parents not stated,TOT,268
114011281,Total,NA,3407
114011281,Both parents born overseas,TOT,535
114011281,Father only born overseas,TOT,219
114011281,Mother only born overseas,TOT,178
114011281,Both parents born in Australia,TOT,2226
114011281,Not stated - birthplace for either or both parents not stated,TOT,247
114011282,Total,NA,15278
114011282,Both parents born overseas,TOT,2377
114011282,Father only born overseas,TOT,947
114011282,Mother only born overseas,TOT,725
114011282,Both parents born in Australia,TOT,9977
114011282,Not stated - birthplace for either or both parents not stated,TOT,1250
114011283,Total,NA,5062
114011283,Both parents born overseas,TOT,757
114011283,Father only born overseas,TOT,303
114011283,Mother only born overseas,TOT,231
114011283,Both parents born in Australia,TOT,3366
114011283,Not stated - birthplace for either or both parents not stated,TOT,404
114021284,Total,NA,12949
114021284,Both parents born overseas,TOT,2932
114021284,Father only born overseas,TOT,1128
114021284,Mother only born overseas,TOT,719
114021284,Both parents born in Australia,TOT,7311
114021284,Not stated - birthplace for either or both parents not stated,TOT,866
114021285,Total,NA,6025
114021285,Both parents born overseas,TOT,1025
114021285,Father only born overseas,TOT,471
114021285,Mother only born overseas,TOT,339
114021285,Both parents born in Australia,TOT,3822
114021285,Not stated - birthplace for either or both parents not stated,TOT,370
114021286,Total,NA,8999
114021286,Both parents born overseas,TOT,1789
114021286,Father only born overseas,TOT,662
114021286,Mother only born overseas,TOT,485
114021286,Both parents born in Australia,TOT,5234
114021286,Not stated - birthplace for either or both parents not stated,TOT,825
114021287,Total,NA,9797
114021287,Both parents born overseas,TOT,1842
114021287,Father only born overseas,TOT,692
114021287,Mother only born overseas,TOT,474
114021287,Both parents born in Australia,TOT,6047
114021287,Not stated - birthplace for either or both parents not stated,TOT,742
114021288,Total,NA,3506
114021288,Both parents born overseas,TOT,580
114021288,Father only born overseas,TOT,296
114021288,Mother only born overseas,TOT,177
114021288,Both parents born in Australia,TOT,2129
114021288,Not stated - birthplace for either or both parents not stated,TOT,324
114021289,Total,NA,6589
114021289,Both parents born overseas,TOT,1271
114021289,Father only born overseas,TOT,471
114021289,Mother only born overseas,TOT,356
114021289,Both parents born in Australia,TOT,4028
114021289,Not stated - birthplace for either or both parents not stated,TOT,467
125041589,Total,NA,15604
125041589,Both parents born overseas,TOT,12348
125041589,Father only born overseas,TOT,346
125041589,Mother only born overseas,TOT,304
125041589,Both parents born in Australia,TOT,1775
125041589,Not stated - birthplace for either or both parents not stated,TOT,835
126011495,Total,NA,27095
126011495,Both parents born overseas,TOT,17770
126011495,Father only born overseas,TOT,1214
126011495,Mother only born overseas,TOT,959
126011495,Both parents born in Australia,TOT,6299
126011495,Not stated - birthplace for either or both parents not stated,TOT,860
126011496,Total,NA,20493
126011496,Both parents born overseas,TOT,9069
126011496,Father only born overseas,TOT,1352
126011496,Mother only born overseas,TOT,1104
126011496,Both parents born in Australia,TOT,8117
126011496,Not stated - birthplace for either or both parents not stated,TOT,858
126021497,Total,NA,25047
126021497,Both parents born overseas,TOT,17019
126021497,Father only born overseas,TOT,1049
126021497,Mother only born overseas,TOT,828
126021497,Both parents born in Australia,TOT,5177
126021497,Not stated - birthplace for either or both parents not stated,TOT,979
126021498,Total,NA,14414
126021498,Both parents born overseas,TOT,5854
126021498,Father only born overseas,TOT,1246
126021498,Mother only born overseas,TOT,927
126021498,Both parents born in Australia,TOT,5576
126021498,Not stated - birthplace for either or both parents not stated,TOT,809
126021499,Total,NA,10345
126021499,Both parents born overseas,TOT,3323
126021499,Father only born overseas,TOT,964
126021499,Mother only born overseas,TOT,699
126021499,Both parents born in Australia,TOT,4585
126021499,Not stated - birthplace for either or both parents not stated,TOT,777
126021500,Total,NA,21724
126021500,Both parents born overseas,TOT,14771
126021500,Father only born overseas,TOT,853
126021500,Mother only born overseas,TOT,774
126021500,Both parents born in Australia,TOT,4047
126021500,Not stated - birthplace for either or both parents not stated,TOT,1273
126021501,Total,NA,12310
126021501,Both parents born overseas,TOT,6264
126021501,Father only born overseas,TOT,900
126021501,Mother only born overseas,TOT,612
126021501,Both parents born in Australia,TOT,4073
126021501,Not stated - birthplace for either or both parents not stated,TOT,463
126021503,Total,NA,19375
126021503,Both parents born overseas,TOT,12816
126021503,Father only born overseas,TOT,867
126021503,Mother only born overseas,TOT,753
126021503,Both parents born in Australia,TOT,4132
126021503,Not stated - birthplace for either or both parents not stated,TOT,808
126021590,Total,NA,4141
126021590,Both parents born overseas,TOT,1842
126021590,Father only born overseas,TOT,330
126021590,Mother only born overseas,TOT,203
126021590,Both parents born in Australia,TOT,1623
126021590,Not stated - birthplace for either or both parents not stated,TOT,147
126021591,Total,NA,27175
126021591,Both parents born overseas,TOT,16257
126021591,Father only born overseas,TOT,1562
126021591,Mother only born overseas,TOT,1086
126021591,Both parents born in Australia,TOT,6729
126021591,Not stated - birthplace for either or both parents not stated,TOT,1544
127011504,Total,NA,17341
127011504,Both parents born overseas,TOT,9348
127011504,Father only born overseas,TOT,1173
127011504,Mother only born overseas,TOT,607
127011504,Both parents born in Australia,TOT,4325
127011504,Not stated - birthplace for either or both parents not stated,TOT,1889
127011505,Total,NA,8911
127011505,Both parents born overseas,TOT,4095
127011505,Father only born overseas,TOT,644
127011505,Mother only born overseas,TOT,371
127011505,Both parents born in Australia,TOT,2981
127011505,Not stated - birthplace for either or both parents not stated,TOT,819
127011506,Total,NA,17891
127011506,Both parents born overseas,TOT,6987
127011506,Father only born overseas,TOT,1386
127011506,Mother only born overseas,TOT,887
127011506,Both parents born in Australia,TOT,7245
127011506,Not stated - birthplace for either or both parents not stated,TOT,1380
127011592,Total,NA,60
127011592,Both parents born overseas,TOT,17
127011592,Father only born overseas,TOT,4
127011592,Mother only born overseas,TOT,3
127011592,Both parents born in Australia,TOT,28
127011592,Not stated - birthplace for either or both parents not stated,TOT,12
127011593,Total,NA,7017
127011593,Both parents born overseas,TOT,4951
127011593,Father only born overseas,TOT,419
127011593,Mother only born overseas,TOT,274
127011593,Both parents born in Australia,TOT,1028
127011593,Not stated - birthplace for either or both parents not stated,TOT,334
127011594,Total,NA,12516
127011594,Both parents born overseas,TOT,9674
127011594,Father only born overseas,TOT,499
127011594,Mother only born overseas,TOT,328
127011594,Both parents born in Australia,TOT,1391
127011594,Not stated - birthplace for either or both parents not stated,TOT,618
127011595,Total,NA,12298
127011595,Both parents born overseas,TOT,8952
127011595,Father only born overseas,TOT,612
127011595,Mother only born overseas,TOT,416
127011595,Both parents born in Australia,TOT,1808
127011595,Not stated - birthplace for either or both parents not stated,TOT,508
127011596,Total,NA,11591
127011596,Both parents born overseas,TOT,7956
127011596,Father only born overseas,TOT,695
127011596,Mother only born overseas,TOT,456
127011596,Both parents born in Australia,TOT,1972
127011596,Not stated - birthplace for either or both parents not stated,TOT,503
127011597,Total,NA,15186
127011597,Both parents born overseas,TOT,9669
127011597,Father only born overseas,TOT,1095
127011597,Mother only born overseas,TOT,649
127011597,Both parents born in Australia,TOT,3008
127011597,Not stated - birthplace for either or both parents not stated,TOT,769
127021509,Total,NA,15979
127021509,Both parents born overseas,TOT,12906
127021509,Father only born overseas,TOT,558
127021509,Mother only born overseas,TOT,403
127021509,Both parents born in Australia,TOT,1410
127021509,Not stated - birthplace for either or both parents not stated,TOT,696
127021510,Total,NA,18834
127021510,Both parents born overseas,TOT,13494
127021510,Father only born overseas,TOT,941
127021510,Mother only born overseas,TOT,603
127021510,Both parents born in Australia,TOT,3083
127021510,Not stated - birthplace for either or both parents not stated,TOT,718
127021511,Total,NA,24708
127021511,Both parents born overseas,TOT,21119
127021511,Father only born overseas,TOT,353
127021511,Mother only born overseas,TOT,396
127021511,Both parents born in Australia,TOT,1198
127021511,Not stated - birthplace for either or both parents not stated,TOT,1642
127021512,Total,NA,17193
127021512,Both parents born overseas,TOT,12421
127021512,Father only born overseas,TOT,647
127021512,Mother only born overseas,TOT,474
127021512,Both parents born in Australia,TOT,2482
127021512,Not stated - birthplace for either or both parents not stated,TOT,1164
127021513,Total,NA,20821
127021513,Both parents born overseas,TOT,17454
127021513,Father only born overseas,TOT,444
127021513,Mother only born overseas,TOT,394
127021513,Both parents born in Australia,TOT,1403
127021513,Not stated - birthplace for either or both parents not stated,TOT,1125
127021514,Total,NA,9772
127021514,Both parents born overseas,TOT,7464
127021514,Father only born overseas,TOT,449
127021514,Mother only born overseas,TOT,287
127021514,Both parents born in Australia,TOT,1223
127021514,Not stated - birthplace for either or both parents not stated,TOT,357
127021515,Total,NA,17700
127021515,Both parents born overseas,TOT,15059
127021515,Father only born overseas,TOT,364
127021515,Mother only born overseas,TOT,287
127021515,Both parents born in Australia,TOT,1021
127021515,Not stated - birthplace for either or both parents not stated,TOT,964
127021516,Total,NA,19091
127021516,Both parents born overseas,TOT,15245
127021516,Father only born overseas,TOT,621
127021516,Mother only born overseas,TOT,403
127021516,Both parents born in Australia,TOT,1856
127021516,Not stated - birthplace for either or both parents not stated,TOT,969
127021517,Total,NA,8332
127021517,Both parents born overseas,TOT,6717
127021517,Father only born overseas,TOT,277
127021517,Mother only born overseas,TOT,224
127021517,Both parents born in Australia,TOT,775
127021517,Not stated - birthplace for either or both parents not stated,TOT,343
127021518,Total,NA,4422
127021518,Both parents born overseas,TOT,2201
127021518,Father only born overseas,TOT,343
127021518,Mother only born overseas,TOT,180
127021518,Both parents born in Australia,TOT,1272
