SA2_CODE,LFSP_C16,obsValue
506051141,LF,5563
506061142,UEMP,604
506061142,LF,8464
506061143,UEMP,233
506061143,LF,3431
506061144,UEMP,154
506061144,LF,1980
506071145,UEMP,540
506071145,LF,7922
506071146,UEMP,491
506071146,LF,5415
506071147,UEMP,579
506071147,LF,9053
507011148,UEMP,622
507011148,LF,9645
507011150,UEMP,0
507011150,LF,4
507011151,UEMP,0
507011151,LF,0
507011152,UEMP,298
507011152,LF,4772
507011153,UEMP,406
507011153,LF,4211
507011154,UEMP,488
507011154,LF,5022
507011155,UEMP,0
507011155,LF,7
507011158,UEMP,73
507011158,LF,1405
507011159,UEMP,556
507011159,LF,6391
507011160,UEMP,386
507011160,LF,4911
507011161,UEMP,592
507011161,LF,8282
507011163,UEMP,337
507011163,LF,4071
507011259,UEMP,330
507011259,LF,4589
507011260,UEMP,85
507011260,LF,1389
507021164,UEMP,222
507021164,LF,3945
507021165,UEMP,551
507021165,LF,7807
507021166,UEMP,561
507021166,LF,7358
507021167,UEMP,0
507021167,LF,3
507031169,UEMP,731
507031169,LF,7625
507031170,UEMP,462
507031170,LF,3240
507031172,UEMP,0
507031172,LF,33
507031173,UEMP,0
507031173,LF,17
507031174,UEMP,625
507031174,LF,4880
507031261,UEMP,209
507031261,LF,3047
507041175,UEMP,351
507041175,LF,5594
507041176,UEMP,159
507041176,LF,1959
507041177,UEMP,460
507041177,LF,7162
507041178,UEMP,507
507041178,LF,7296
507041179,UEMP,301
507041179,LF,3663
507041180,UEMP,373
507041180,LF,6063
507041181,UEMP,425
507041181,LF,8235
507041182,UEMP,544
507041182,LF,6264
507041183,UEMP,179
507041183,LF,2225
507041184,UEMP,213
507041184,LF,3149
507051185,UEMP,1304
507051185,LF,16700
507051186,UEMP,523
507051186,LF,3826
507051187,UEMP,714
507051187,LF,6745
507051188,UEMP,734
507051188,LF,6893
507051189,UEMP,0
507051189,LF,0
507051190,UEMP,534
507051190,LF,5181
507051191,UEMP,894
507051191,LF,10237
507051192,UEMP,605
507051192,LF,6029
507051193,UEMP,631
507051193,LF,5160
501011001,UEMP,120
501011001,LF,2594
501011002,UEMP,755
501011002,LF,11854
501011003,UEMP,216
501011003,LF,5160
501011004,UEMP,222
501011004,LF,4632
501021005,UEMP,694
501021005,LF,8559
501021007,UEMP,139
501021007,LF,2549
501021008,UEMP,308
501021008,LF,2988
501021009,UEMP,407
501021009,LF,3689
501021010,UEMP,96
501021010,LF,1625
501021011,UEMP,0
501021011,LF,11
501021012,UEMP,398
501021012,LF,5721
501021014,UEMP,289
501021014,LF,4106
501021015,UEMP,321
501021015,LF,3395
501021016,UEMP,155
501021016,LF,1785
501021251,UEMP,349
501021251,LF,4570
501021252,UEMP,99
501021252,LF,1530
501021253,UEMP,422
501021253,LF,6019
501021254,UEMP,267
501021254,LF,2205
501031017,UEMP,161
501031017,LF,2852
501031018,UEMP,169
501031018,LF,2677
501031019,UEMP,133
501031019,LF,2664
501031020,UEMP,135
501031020,LF,2327
509011225,UEMP,330
509011225,LF,6331
509011226,UEMP,73
509011226,LF,1729
509011227,UEMP,118
509011227,LF,2248
509011228,UEMP,119
509011228,LF,2488
509011229,UEMP,35
509011229,LF,1505
509011230,UEMP,119
509011230,LF,2080
509011231,UEMP,79
509011231,LF,2028
509011232,UEMP,47
509011232,LF,1594
509011233,UEMP,295
509011233,LF,4951
509011234,UEMP,155
509011234,LF,2278
509011235,UEMP,0
509011235,LF,0
509021236,UEMP,161
509021236,LF,2690
509021237,UEMP,94
509021237,LF,1740
509021238,UEMP,108
509021238,LF,1915
