School_name,Town_suburb,Postcode,School_gender,Level_of_schooling,Latitude,Longitude,SA2_Code
South West Rocks Public School,SOUTH WEST ROCKS,2431,Coed,Primary School,-30.891502,153.039879,108021160
Spring Hill Public School,Spring Hill,2800,Coed,Primary School,-33.399574,149.151294,103041079
Spring Ridge Public School,Spring Ridge,2343,Coed,Primary School,-31.392399,150.254649,110041201
Spring Terrace Public School,Spring Terrace,2798,Coed,Primary School,-33.393976,149.097369,103041079
Springwood Public School,Springwood,2777,Coed,Primary School,-33.704613,150.573472,124011454
Stanwell Park Public School,Stanwell Park,2508,Coed,Primary School,-34.228715,150.984536,107041147
Warrawong Public School,WARRAWONG,2502,Coed,Primary School,-34.481367,150.877847,107011546
Stockinbingal Public School,Stockinbingal,2725,Coed,Primary School,-34.497611,147.883065,113031263
Stockton Public School,Stockton,2295,Coed,Primary School,-32.910956,151.781095,111031232
Stokers Siding Public School,Stokers Siding,2484,Coed,Primary School,-28.393823,153.404371,112031252
Stratford Public School,Stratford,2422,Coed,Primary School,-32.116885,151.93922,108051167
Stratheden Public School,Stratheden,2470,Coed,Primary School,-28.755713,152.937222,112021245
Strathfield North Public School,North Strathfield,2137,Coed,Primary School,-33.854531,151.09204,120011384
Strathfield South Public School,STRATHFIELD,2135,Coed,Primary School,-33.89078,151.084702,120031575
Stroud Public School,Stroud,2425,Coed,Primary School,-32.402533,151.964239,108011151
Stroud Road Public School,Stroud Road,2415,Coed,Primary School,-32.347986,151.932369,108011151
Stuart Town Public School,Stuart Town,2820,Coed,Primary School,-32.802566,149.068273,105031106
Summer Hill Public School,Summer Hill,2130,Coed,Primary School,-33.895815,151.135853,120031395
Sutherland Public School,Sutherland,2232,Coed,Primary School,-34.033001,151.059149,128021538
Sutton Public School,Sutton,2620,Coed,Primary School,-35.165611,149.254979,101061542
Swansea Public School,Swansea,2281,Coed,Primary School,-33.084061,151.636301,111011212
Sylvania Public School,Sylvania,2224,Coed,Primary School,-34.008118,151.112077,128011531
Tabulam Public School,Tabulam,2469,Coed,Primary School,-28.888649,152.568703,112021245
Tacoma Public School,Tacoma,2259,Coed,Primary School,-33.28298,151.458936,102021057
Tahmoor Public School,Tahmoor,2573,Coed,Primary School,-34.227663,150.588951,123031447
Tallimba Public School,Tallimba,2669,Coed,Primary School,-33.993586,146.877792,103021069
Tallong Public School,TALLONG,2579,Coed,Primary School,-34.721496,150.083341,101051540
Tambar Springs Public School,Tambar Springs,2381,Coed,Primary School,-31.348351,149.827874,110041200
Tamworth Public School,Tamworth,2340,Coed,Primary School,-31.084712,150.935305,110041203
Tamworth West Public School,West Tamworth,2340,Coed,Primary School,-31.09158,150.920563,110041202
Tanja Public School,Tanja,2550,Coed,Primary School,-36.64029,149.975072,101041020
Tarago Public School,Tarago,2580,Coed,Primary School,-35.067671,149.654751,101021011
Taralga Public School,Taralga,2580,Coed,Primary School,-34.397974,149.820962,101051540
Tarcutta Public School,Tarcutta,2652,Coed,Primary School,-35.279294,147.738339,113031271
Taree Public School,Taree,2430,Coed,Primary School,-31.910904,152.462158,108051169
Taren Point Public School,Taren Point,2229,Coed,Primary School,-34.01808,151.12269,128011531
Tathra Public School,Tathra,2550,Coed,Primary School,-36.732802,149.979602,101041019
Tea Gardens Public School,Tea Gardens,2324,Coed,Primary School,-32.667785,152.157991,106031124
Telegraph Point Public School,Telegraph Point,2441,Coed,Primary School,-31.334143,152.793129,108041165
Temora Public School,Temora,2666,Coed,Primary School,-34.444843,147.535265,113031266
Tenambit Public School,Tenambit,2323,Coed,Primary School,-32.742528,151.604859,106021115
The Sir Henry Parkes Memorial Public School,TENTERFIELD,2372,Coed,Primary School,-29.056081,152.026106,110021194
Teralba Public School,Teralba,2284,Coed,Primary School,-32.962493,151.605976,111021215
Terara Public School,Terara,2540,Coed,Primary School,-34.866633,150.63038,114011278
Terranora Public School,Terranora,2486,Coed,Primary School,-28.240248,153.499272,112031551
Terrey Hills Public School,Terrey Hills,2084,Coed,Primary School,-33.685723,151.222619,122031432
Terrigal Public School,Terrigal,2260,Coed,Primary School,-33.442449,151.438197,102011039
Tharbogang Public School,Tharbogang,2680,Coed,Primary School,-34.26162,145.984922,113011257
Thirlmere Public School,Thirlmere,2572,Coed,Primary School,-34.204832,150.569311,123031447
Thirroul Public School,Thirroul,2515,Coed,Primary School,-34.31521,150.918701,107041148
Thornton Public School,Thornton,2322,Coed,Primary School,-32.779381,151.639454,106021118
Thurgoona Public School,Thurgoona,2640,Coed,Primary School,-36.047283,146.983289,109011172
Tibooburra Outback Public School,Tibooburra,2880,Coed,Primary School,-29.432133,142.010166,105021098
Tighes Hill Public School,Tighes Hill,2297,Coed,Primary School,-32.908099,151.751254,111031235
Central Tilba Public School,Central Tilba,2546,Coed,Primary School,-36.315664,150.07194,101041027
Tingha Public School,Tingha,2369,Coed,Primary School,-29.959145,151.213606,110021192
Tinonee Public School,Tinonee,2430,Coed,Primary School,-31.932855,152.413577,108051169
Tintinhull Public School,Kootingal,2352,Coed,Primary School,-31.085665,151.008427,110041205
Tirranna Public School,Goulburn,2580,Coed,Primary School,-34.821486,149.682068,101051540
Tocumwal Public School,Tocumwal,2714,Coed,Primary School,-35.813862,145.56885,109031185
Tomerong Public School,Tomerong,2540,Coed,Primary School,-35.054973,150.587182,114011281
Tooleybuc Central School,Tooleybuc,2736,Coed,Central/Community School,-35.026575,143.338058,109021179
Main Arm Upper Public School,Upper Main Arm,2482,Coed,Primary School,-28.498479,153.41241,112011243
Toomelah Public School,Boggabilla,2409,Coed,Primary School,-28.670903,150.478952,110031196
Toongabbie Public School,Toongabbie,2146,Coed,Primary School,-33.787181,150.966667,125041493
Tooraweenah Public School,Tooraweenah,2831,Coed,Primary School,-31.434763,148.912216,105031104
Toronto Public School,Toronto,2283,Coed,Primary School,-33.00826,151.594778,111021219
Tottenham Central School,Tottenham,2873,Coed,Central/Community School,-32.245635,147.3521,103021062
Toukley Public School,Toukley,2263,Coed,Primary School,-33.267795,151.550307,102021054
Towamba Public School,Towamba,2550,Coed,Primary School,-37.084209,149.695158,101041020
Trangie Central School,Trangie,2823,Coed,Central/Community School,-32.032544,147.979305,105031105
Tregeagle Public School,TREGEAGLE,2480,Coed,Primary School,-28.854095,153.354412,112021249
Trundle Central School,Trundle,2875,Coed,Central/Community School,-32.925365,147.709198,103021068
Trunkey Public School,Trunkey Creek,2795,Coed,Primary School,-33.816498,149.326253,103011060
Tucabia Public School,Tucabia,2462,Coed,Primary School,-29.666698,153.106575,104011081
Tuggerah Public School,Tuggerah,2259,Coed,Primary School,-33.312999,151.415571,102021055
Tullamore Central School,TULLAMORE,2874,Coed,Central/Community School,-32.636788,147.565993,103021062
Tullibigeal Central School,Tullibigeal,2669,Coed,Central/Community School,-33.422886,146.722678,103021062
Tumbarumba Public School,Tumbarumba,2653,Coed,Primary School,-35.77635,148.013814,113021260
Tumbulgum Public School,Tumbulgum,2490,Coed,Primary School,-28.273997,153.463358,112031252
Tumut Public School,Tumut,2720,Coed,Primary School,-35.302393,148.218556,113021261
Tuntable Creek Public School,Tuntable Creek,2480,Coed,Primary School,-28.63176,153.266152,112021249
Turramurra North Public School,North Turramurra,2074,Coed,Primary School,-33.714724,151.147816,121031411
Tweed Heads Public School,Tweed Heads,2485,Coed,Primary School,-28.16951,153.541571,112031254
Tyalgum Public School,Tyalgum,2484,Coed,Primary School,-28.354475,153.204978,112031252
Uki Public School,UKI,2484,Coed,Primary School,-28.415027,153.334263,112031252
Ulan Public School,Ulan,2850,Coed,Primary School,-32.282054,149.743473,103031074
Ulladulla Public School,Ulladulla,2539,Coed,Primary School,-35.355186,150.469434,114011282
Ulmarra Public School,Ulmarra,2462,Coed,Primary School,-29.629006,153.030932,104011081
Ulong Public School,Ulong,2450,Coed,Primary School,-30.243019,152.884857,104021087
Ultimo Public School,Ultimo,2007,Coed,Primary School,-33.877674,151.195607,117031334
Unanderra Public School,Cordeaux Heights,2526,Coed,Primary School,-34.445456,150.834704,107011134
Undercliffe Public School,Earlwood,2206,Coed,Primary School,-33.924086,151.138601,119021364
Ungarie Central School,UNGARIE,2669,Coed,Central/Community School,-33.637104,146.977953,103021069
Urana Public School,Urana,2645,Coed,Primary School,-35.32746,146.267129,109031181
Urbenville Public School,Urbenville,2475,Coed,Primary School,-28.47348,152.545565,110021194
Urunga Public School,Urunga,2455,Coed,Primary School,-30.495206,153.020428,104021090
Vacy Public School,Vacy,2421,Coed,Primary School,-32.54218,151.577555,106011110
Vaucluse Public School,Vaucluse,2030,Coed,Primary School,-33.850478,151.281166,118011346
Carramar Public School,Carramar,2163,Coed,Primary School,-33.885512,150.969204,125031480
Vineyard Public School,Vineyard,2765,Coed,Primary School,-33.647352,150.857935,116021312
Wagga Wagga Public School,Wagga Wagga,2650,Coed,Primary School,-35.10783,147.365841,113031270
North Wagga Public School,Wagga Wagga,2650,Coed,Primary School,-35.096215,147.379513,113031268
South Wagga Public School,WAGGA WAGGA,2650,Coed,Primary School,-35.119291,147.36681,113031270
Waitara Public School,WAHROONGA,2076,Coed,Primary School,-33.708119,151.111586,121021579
Wakool Burraboi Public School,Wakool,2710,Coed,Primary School,-35.46632,144.393127,109031183
Walbundrie Public School,WALLA WALLA,2659,Coed,Primary School,-35.687427,146.726779,109011175
Walcha Central School,Walcha,2354,Coed,Central/Community School,-30.981805,151.604194,110011189
Walgett Community College - Primary School,Walgett,2832,Coed,Primary School,-30.020291,148.11566,105011096
Walhallow Public School,CAROONA,2343,Coed,Primary School,-31.39507,150.426226,110041201
Wallabadah Public School,Wallabadah,2343,Coed,Primary School,-31.541044,150.828256,110041201
Wallacia Public School,Wallacia,2745,Coed,Primary School,-33.862695,150.641613,124031463
Walla Walla Public School,Walla Walla,2659,Coed,Primary School,-35.757961,146.900625,109011175
Wallendbeen Public School,Wallendbeen,2588,Coed,Primary School,-34.52524,148.159228,113031263
Wallerawang Public School,Wallerawang,2845,Coed,Primary School,-33.41768,150.069793,103031071
Wallsend Public School,WALLSEND,2287,Coed,Primary School,-32.908099,151.671582,111031233
West Wallsend Public School,West Wallsend,2286,Coed,Primary School,-32.904606,151.580707,111021221
Wamoon Public School,Wamoon,2705,Coed,Primary School,-34.526015,146.330876,113011258
Wanaaring Public School,Wanaaring,2840,Coed,Primary School,-29.705267,144.145456,105011092
Wangi Wangi Public School,Wangi Wangi,2267,Coed,Primary School,-33.072298,151.582994,111021220
Waratah Public School,WARATAH,2298,Coed,Primary School,-32.905046,151.722576,111031234
Wardell Public School,Wardell,2477,Coed,Primary School,-28.950252,153.468779,112011237
Warialda Public School,Warialda,2402,Coed,Primary School,-29.541831,150.573638,110021193
Warners Bay Public School,WARNERS BAY,2282,Coed,Primary School,-32.979971,151.648614,111011214
Warrawee Public School,Turramurra,2074,Coed,Primary School,-33.729484,151.121236,121031412
Warren Central School,WARREN,2824,Coed,Central/Community School,-31.705114,147.836503,105011095
Waterfall Public School,Waterfall,2233,Coed,Primary School,-34.137598,150.995977,128021533
Wattle Flat Public School,Wattle Flat,2795,Coed,Primary School,-33.141545,149.692677,103011060
Wauchope Public School,Wauchope,2446,Coed,Primary School,-31.455935,152.729534,108041166
Wee Jasper Public School,Wee Jasper,2582,Coed,Primary School,-35.108785,148.673792,101061542
Weethalle Public School,Weethalle,2669,Coed,Primary School,-33.880024,146.619256,103021069
Wee Waa Public School,Wee Waa,2388,Coed,Primary School,-30.223621,149.442587,110031198
Wellington Public School,Wellington,2820,Coed,Primary School,-32.556883,148.943374,105031106
Wentworth Public School,WENTWORTH,2648,Coed,Primary School,-34.103249,141.918751,109021178
Wentworth Falls Public School,Wentworth Falls,2782,Coed,Primary School,-33.714112,150.373525,124011455
Wentworthville Public School,WENTWORTHVILLE,2145,Coed,Primary School,-33.814004,150.968613,125041589
Werris Creek Public School,WERRIS CREEK,2341,Coed,Primary School,-31.348938,150.651466,110041201
Westdale Public School,Westdale,2340,Coed,Primary School,-31.093714,150.873927,110041204
Weston Public School,WESTON,2326,Coed,Primary School,-32.809043,151.461023,106011111
White Cliffs Public School,White Cliffs,2836,Coed,Primary School,-30.850852,143.090278,105021098
Whitton-Murrami Public School,Whitton,2705,Coed,Primary School,-34.518934,146.181248,113011257
Wiangaree Public School,WIANGAREE,2474,Coed,Primary School,-28.511356,152.965535,112021247
Wilberforce Public School,Wilberforce,2756,Coed,Primary School,-33.558704,150.839763,115031300
Wilcannia Central School,Wilcannia,2836,Coed,Central/Community School,-31.558478,143.37591,105021098
Willawarrin Public School,Willawarrin,2440,Coed,Primary School,-30.925714,152.625518,108021156
Willoughby Public School,WILLOUGHBY,2068,Coed,Primary School,-33.802197,151.200123,121011402
Willow Tree Public School,WILLOW TREE,2339,Coed,Primary School,-31.656802,150.729034,110041201
Athelstane Public School,Arncliffe,2205,Coed,Primary School,-33.937445,151.138362,119041375
Wilsons Creek Public School,Mullumbimby,2482,Coed,Primary School,-28.570833,153.426178,112011243
Windellama Public School,Goulburn,2580,Coed,Primary School,-35.009988,149.833521,101051540
Windsor Public School,Windsor,2756,Coed,Primary School,-33.610366,150.816413,124041467
Wingello Public School,Wingello,2579,Coed,Primary School,-34.688162,150.153487,114021289
Wisemans Ferry Public School,Wisemans Ferry,2775,Coed,Primary School,-33.385958,150.984133,115021297
Wollongbar Public School,Wollongbar,2477,Coed,Primary School,-28.82699,153.420113,112011237
Wollongong West Public School,Wollongong,2500,Coed,Primary School,-34.424597,150.871509,107041549
Wolumla Public School,WOLUMLA,2550,Coed,Primary School,-36.832664,149.811656,101041020
Wombat Public School,Wombat,2587,Coed,Primary School,-34.426627,148.245202,101061544
Wongarbon Public School,WONGARBON,2831,Coed,Primary School,-32.333558,148.759119,105031103
Woodburn Public School,Woodburn,2472,Coed,Primary School,-29.07539,153.339292,112011241
Woodenbong Central School,Woodenbong,2476,Coed,Central/Community School,-28.389728,152.610148,112021247
Woodstock Public School,Woodstock,2793,Coed,Primary School,-33.74594,148.849046,103021064
Woolbrook Public School,Woolbrook,2354,Coed,Primary School,-30.970234,151.344607,110011189
Woolgoolga Public School,Woolgoolga,2456,Coed,Primary School,-30.112673,153.196501,104021091
Borenore Public School,BORENORE,2800,Coed,Primary School,-33.251005,148.984209,103041079
Woolomin Public School,Woolomin,2340,Coed,Primary School,-31.30177,151.14807,110041205
Woonona Public School,Woonona,2517,Coed,Primary School,-34.345569,150.906806,107041150
Wyalong Public School,Wyalong,2671,Coed,Primary School,-33.923925,147.24207,103021069
West Wyalong Public School,West Wyalong,2671,Coed,Primary School,-33.918502,147.204056,103021069
Wyangala Dam Public School,WYANGALA,2808,Coed,Primary School,-33.966981,148.947211,103021064
Wyee Public School,Wyee,2259,Coed,Primary School,-33.174833,151.482961,111021218
Wyndham Public School,Wyndham,2550,Coed,Primary School,-36.92962,149.64656,101041020
Wyong Public School,Wyong,2259,Coed,Primary School,-33.271886,151.426188,102021057
Wyong Creek Public School,WYONG CREEK,2259,Coed,Primary School,-33.267129,151.34807,102021049
Wyrallah Public School,Wyrallah,2480,Coed,Primary School,-28.890407,153.305718,112021249
Yamba Public School,Yamba,2464,Coed,Primary School,-29.439524,153.353157,104011082
Table Top Public School,Table Top,2640,Coed,Primary School,-35.967573,147.007302,109011175
Yanco Public School,Yanco,2703,Coed,Primary School,-34.597911,146.411211,113011258
Yanderra Public School,Yanderra,2574,Coed,Primary School,-34.320475,150.571244,123031445
Yarrowitch Public School,Yarrowitch,2354,Coed,Primary School,-31.25059,151.94821,110011189
Yass Public School,Yass,2582,Coed,Primary School,-34.837588,148.906865,101061541
Yenda Public School,Yenda,2681,Coed,Primary School,-34.252389,146.198309,113011257
Yeoval Central School,Yeoval,2868,Coed,Central/Community School,-32.754375,148.649673,105031106
Yerong Creek Public School,Yerong Creek,2642,Coed,Primary School,-35.386787,147.060987,113031271
Yetman Public School,Yetman,2410,Coed,Primary School,-28.902219,150.776261,110021192
Yoogali Public School,Yoogali,2680,Coed,Primary School,-34.299691,146.086176,113011256
Young Public School,Young,2594,Coed,Primary School,-34.321407,148.290231,101061543
Edgeworth Public School,Edgeworth,2285,Coed,Primary School,-32.922892,151.620387,111021217
Zig Zag Public School,Lithgow,2790,Coed,Primary School,-33.466136,150.182826,103031070
Pottsville Beach Public School,Pottsville,2489,Coed,Primary School,-28.377625,153.567798,112031253
Rowena Public School,Rowena,2387,Coed,Primary School,-29.81393,148.91249,105011096
Dubbo West Public School,Dubbo,2830,Coed,Primary School,-32.251915,148.588301,105031102
Oyster Bay Public School,Oyster Bay,2225,Coed,Primary School,-34.00779,151.080693,128021536
Louth Public School,Louth,2840,Coed,Primary School,-30.535792,145.117942,105011092
Kemps Creek Public School,KEMPS CREEK,2178,Coed,Primary School,-33.882805,150.790299,127011505
Enngonia Public School,Enngonia,2840,Coed,Primary School,-29.318855,145.844482,105011092
Fairfield Heights Public School,FAIRFIELD,2165,Coed,Primary School,-33.866094,150.940272,127021516
Scotts Head Public School,Scotts Head,2447,Coed,Primary School,-30.749941,152.995226,108021157
Afterlee Public School,AFTERLEE,2474,Coed,Primary School,-28.582276,152.817857,112021247
Stuarts Point Public School,Stuarts Point,2441,Coed,Primary School,-30.818842,152.993686,108021156
Sussex Inlet Public School,Sussex Inlet,2540,Coed,Primary School,-35.167302,150.584194,114011280
Cronulla South Public School,Cronulla,2230,Coed,Primary School,-34.06611,151.154201,128011604
St Georges Basin Public School,Basin View,2540,Coed,Primary School,-35.090698,150.563917,114011279
Warwick Farm Public School,Warwick Farm,2170,Coed,Primary School,-33.909642,150.929409,127031601
Oxley Vale Public School,Tamworth,2340,Coed,Primary School,-31.058786,150.89498,110041203
Soldiers Point Public School,Soldiers Point,2317,Coed,Primary School,-32.709978,152.065351,106031121
Chester Hill Public School,Chester Hill,2162,Coed,Primary School,-33.885597,151.00161,125031479
Georges Hall Public School,Georges Hall,2198,Coed,Primary School,-33.912435,150.9922,119011354
South Coogee Public School,South Coogee,2034,Coed,Primary School,-33.933333,151.25409,118021348
Croppa Creek Public School,Croppa Creek,2411,Coed,Primary School,-29.125234,150.309397,110031196
Annangrove Public School,Annangrove,2156,Coed,Primary School,-33.667417,150.95255,115021297
Woronora River Public School,WORONORA,2232,Coed,Primary School,-34.026575,151.041114,128021535
Balgowlah Heights Public School,Balgowlah,2093,Coed,Primary School,-33.805985,151.258754,122011418
Goulburn West Public School,Goulburn,2580,Coed,Primary School,-34.759172,149.700707,101051539
Riverwood Public School,Riverwood,2210,Coed,Primary School,-33.947208,151.046586,119031373
Warragamba Public School,WARRAGAMBA,2752,Coed,Primary School,-33.890924,150.60539,124031465
Belrose Public School,Belrose,2085,Coed,Primary School,-33.727235,151.216645,122031428
Upper Coopers Creek Public School,Upper Coopers Creek,2480,Coed,Primary School,-28.607149,153.401937,112011243
Wiripaang Public School,Gateshead,2290,Coed,Primary School,-32.984172,151.691355,111011208
Bundeena Public School,Bundeena,2230,Coed,Primary School,-34.086792,151.152422,128011604
Pymble Public School,Pymble,2073,Coed,Primary School,-33.732269,151.141089,121031409
Condell Park Public School,CONDELL PARK,2200,Coed,Primary School,-33.925486,151.013674,119011356
Avalon Public School,Avalon Beach,2107,Coed,Primary School,-33.639377,151.326739,122021420
Bald Face Public School,Blakehurst,2221,Coed,Primary School,-33.996752,151.106905,119031374
Hamilton South Public School,Merewether,2291,Coed,Primary School,-32.93344,151.753489,111031228
Lugarno Public School,Lugarno,2210,Coed,Primary School,-33.984956,151.044676,119031372
Oatley West Public School,Oatley,2223,Coed,Primary School,-33.979006,151.065459,119031369
New Lambton South Public School,New Lambton,2305,Coed,Primary School,-32.931487,151.717578,111031225
Chullora Public School,Greenacre,2190,Coed,Primary School,-33.895371,151.060249,119011357
Tarrawanna Public School,Tarrawanna,2518,Coed,Primary School,-34.380764,150.890246,107041145
Sutherland North Public School,Sutherland,2232,Coed,Primary School,-34.026785,151.067084,128021538
Bathurst West Public School,Bathurst,2795,Coed,Primary School,-33.411002,149.559746,103011058
Gwynneville Public School,Gwynneville,2500,Coed,Primary School,-34.417233,150.879364,107041549
Narraweena Public School,NARRAWEENA,2099,Coed,Primary School,-33.7492,151.273639,122031424
Jannali Public School,JANNALI,2226,Coed,Primary School,-34.017945,151.060909,128021536
Ramsgate Public School,Ramsgate,2217,Coed,Primary School,-33.981431,151.143549,119041382
Chalmers Road School,Strathfield,2135,Coed,Schools for Specific Purposes,-33.879569,151.081613,120031575
Wahroonga Public School,Wahroonga,2076,Coed,Primary School,-33.715583,151.128476,121031412
Parramatta East Public School,Parramatta,2150,Coed,Primary School,-33.806081,151.017766,125041489
Melrose Park Public School,West Ryde,2114,Coed,Primary School,-33.814849,151.071939,125021477
Bathurst South Public School,Bathurst,2795,Coed,Primary School,-33.432989,149.568873,103011058
Wallsend South Public School,Wallsend,2287,Coed,Primary School,-32.920075,151.675241,111031233
Hazelbrook Public School,Hazelbrook,2779,Coed,Primary School,-33.726554,150.459399,124011453
Turramurra Public School,Turramurra,2074,Coed,Primary School,-33.745258,151.114305,121031411
Wyrallah Road Public School,Lismore,2480,Coed,Primary School,-28.830301,153.293261,112021248
Oak Flats Public School,Oak Flats,2529,Coed,Primary School,-34.56257,150.817546,107031142
Denistone East Public School,Eastwood,2122,Coed,Primary School,-33.7943,151.096571,126021497
Meadowbank Public School,Ryde,2112,Coed,Primary School,-33.817807,151.097677,126021591
Uralla Central School,Uralla,2358,Coed,Central/Community School,-30.641511,151.494437,110011188
Towradgi Public School,Fairy Meadow,2519,Coed,Primary School,-34.388937,150.899966,107041144
Lake Illawarra South Public School,LAKE ILLAWARRA,2528,Coed,Primary School,-34.539523,150.859302,107031143
Yagoona Public School,Yagoona,2199,Coed,Primary School,-33.909174,151.026716,119011361
Wattle Grove Public School,Wattle Grove,2173,Coed,Primary School,-33.958654,150.937482,127031524
Greenwell Point Public School,Greenwell Point,2540,Coed,Primary School,-34.907445,150.730396,114011274
Dobroyd Point Public School,HABERFIELD,2045,Coed,Primary School,-33.874416,151.140692,120031395
Kahibah Public School,Kahibah,2290,Coed,Primary School,-32.964902,151.713608,111011208
Narwee Public School,Narwee,2209,Coed,Primary School,-33.948186,151.06865,119031370
Muswellbrook South Public School,Muswellbrook,2333,Coed,Primary School,-32.274182,150.891943,106041126
Corrimal East Public School,East Corrimal,2518,Coed,Primary School,-34.377988,150.906532,107041145
Mount St Thomas Public School,Wollongong,2500,Coed,Primary School,-34.436911,150.870048,107041549
Tamworth South Public School,Tamworth,2340,Coed,Primary School,-31.105062,150.911701,110041202
Westmead Public School,Westmead,2145,Coed,Primary School,-33.810171,150.985291,125041589
Mount Colah Public School,Mount Colah,2079,Coed,Primary School,-33.672947,151.115695,121021403
McCallums Hill Public School,Roselands,2196,Coed,Primary School,-33.934891,151.084758,119021367
Cooma North Public School,Cooma North,2630,Coed,Primary School,-36.217908,149.130576,101031014
Windale Public School,Windale,2306,Coed,Primary School,-32.992372,151.678338,111011210
Cardiff South Public School,Cardiff South,2285,Coed,Primary School,-32.953106,151.66521,111011209
Como West Public School,Como,2226,Coed,Primary School,-34.004744,151.060505,128021536
Hamilton North Public School,Broadmeadow,2292,Coed,Primary School,-32.917442,151.734207,111031224
Marks Point Public School,Marks Point,2280,Coed,Primary School,-33.057486,151.650131,111011207
Glen Alice Public School,Glen Alice,2849,Coed,Primary School,-33.040623,150.214727,103031071
Argenton Public School,Argenton,2284,Coed,Primary School,-32.938493,151.629533,111011209
Pagewood Public School,Botany,2019,Coed,Primary School,-33.942104,151.214172,117011323
Narrabeen North Public School,NORTH NARRABEEN,2101,Coed,Primary School,-33.699095,151.298134,122021423
Lane Cove West Public School,Lane Cove,2066,Coed,Primary School,-33.809886,151.152003,121011400
Taree West Public School,Taree,2430,Coed,Primary School,-31.907599,152.444547,108051169
Palinyewah Public School,ELLERSLIE,2648,Coed,Primary School,-33.845011,142.012741,109021179
Grays Point Public School,Grays Point,2232,Coed,Primary School,-34.058656,151.0723,128011529
Killara Public School,Killara,2071,Coed,Primary School,-33.765473,151.148436,121031407
Castle Cove Public School,Castle Cove,2069,Coed,Primary School,-33.783375,151.201973,121011402
Albury North Public School,Albury,2640,Coed,Primary School,-36.064177,146.932402,109011173
Kapooka Public School,Kapooka,2661,Coed,Primary School,-35.15153,147.296973,113031270
East Hills Public School,Panania,2213,Coed,Primary School,-33.957953,150.991975,119011359
Curl Curl North Public School,North Curl Curl,2099,Coed,Primary School,-33.764639,151.289314,122031426
Belmont North Public School,Belmont,2280,Coed,Primary School,-33.019974,151.671344,111011206
Cabramurra Public School,Cabramurra,2630,Coed,Primary School,-35.931626,148.379008,113021262
Seven Hills Public School,SEVEN HILLS,2147,Coed,Primary School,-33.770031,150.937488,116011307
Waratah West Public School,Waratah West,2298,Coed,Primary School,-32.897979,151.716258,111031234
Crown Street Public School,Surry Hills,2010,Coed,Primary School,-33.882253,151.21522,117031336
Mount Hutton Public School,Mount Hutton,2290,Coed,Primary School,-32.977049,151.66862,111011210
Gordon West Public School,Pymble,2073,Coed,Primary School,-33.760318,151.139223,121031409
Beverly Hills North Public School,Beverly Hills,2209,Coed,Primary School,-33.940606,151.074837,119021367
Finley Public School,Finley,2713,Coed,Primary School,-35.639399,145.574959,109031185
Maclean Public School,Maclean,2463,Coed,Primary School,-29.457217,153.201309,104011082
Quirindi Public School,Quirindi,2343,Coed,Primary School,-31.497558,150.678035,110041201
Tempe Public School,Tempe,2044,Coed,Primary School,-33.920935,151.160994,117021328
Maitland Public School,MAITLAND,2320,Coed,Primary School,-32.73546,151.553306,106021114
Manly Village Public School,Manly,2095,Coed,Primary School,-33.7994,151.287627,122011419
Marrickville West Public School,Marrickville,2204,Coed,Primary School,-33.914468,151.145073,117021326
Marrickville Public School,Marrickville,2204,Coed,Primary School,-33.906705,151.162658,117021326
Waverley Public School,Waverley,2024,Coed,Primary School,-33.898174,151.251539,118011341
Wollongong Public School,WOLLONGONG,2500,Coed,Primary School,-34.422861,150.896726,107041548
Beaumont Road Public School,Killara,2071,Coed,Primary School,-33.774289,151.146271,121031407
Woolooware Public School,Cronulla,2230,Coed,Primary School,-34.045454,151.146233,128011604
Padstow Heights Public School,Padstow,2211,Coed,Primary School,-33.966519,151.030001,119011358
Waniora Public School,Bulli,2516,Coed,Primary School,-34.336784,150.919146,107041150
Figtree Public School,FIGTREE,2525,Coed,Primary School,-34.440841,150.854443,107041146
Blackalls Park Public School,Blackalls Park,2283,Coed,Primary School,-32.998435,151.577743,111021219
Speers Point Public School,Speers Point,2284,Coed,Primary School,-32.958943,151.621641,111011214
Collaroy Plateau Public School,Collaroy Plateau,2097,Coed,Primary School,-33.73297,151.29344,122031431
Beacon Hill Public School,Beacon Hill,2100,Coed,Primary School,-33.75163,151.260584,122031424
Caringbah North Public School,Caringbah,2229,Coed,Primary School,-34.036574,151.123079,128011602
Russell Vale Public School,Russell Vale,2517,Coed,Primary School,-34.359483,150.906828,107041150
Farmborough Road Public School,Unanderra,2526,Coed,Primary School,-34.460322,150.834818,107011134
Villawood East Public School,Villawood,2163,Coed,Primary School,-33.890154,150.986013,119011354
Bellambi Public School,Bellambi,2518,Coed,Primary School,-34.371201,150.914404,107041145
Cabramatta West Public School,Cabramatta,2166,Coed,Primary School,-33.897515,150.922985,127021511
Chester Hill North Public School,Chester Hill,2162,Coed,Primary School,-33.872352,151.001039,125031479
Canley Heights Public School,Canley Heights,2166,Coed,Primary School,-33.884812,150.922611,127021513
Balgowlah North Public School,North Balgowlah,2093,Coed,Primary School,-33.783267,151.246457,122031430
Gordon East Public School,Gordon,2072,Coed,Primary School,-33.74582,151.156203,121031409
Yennora Public School,Yennora,2161,Coed,Primary School,-33.866826,150.970993,125031480
Katoomba North Public School,Katoomba,2780,Coed,Primary School,-33.699128,150.315134,124011452
