School_name,Town_suburb,Postcode,School_gender,Level_of_schooling,Latitude,Longitude,SA2_Code
Belmore North Public School,Belmore,2192,Coed,Primary School,-33.909885,151.084885,119021362
Belmore South Public School,Belmore,2192,Coed,Primary School,-33.925735,151.091985,119021362
Bemboka Public School,Bemboka,2550,Coed,Primary School,-36.631309,149.571075,101041020
Bendemeer Public School,Bendemeer,2355,Coed,Primary School,-30.886984000000002,151.150991,110041205
Ben Lomond Public School,Ben Lomond,2365,Coed,Primary School,-30.017024,151.661287,110011187
Ben Venue Public School,Armidale,2350,Coed,Primary School,-30.502884,151.67462,110011186
Berala Public School,Berala,2141,Coed,Primary School,-33.869714,151.028244,125011585
Beresfield Public School,Beresfield,2322,Coed,Primary School,-32.803964,151.654863,111031223
Berkeley Public School,Berkeley,2506,Coed,Primary School,-34.480214,150.856493,107011545
Berkeley Vale Public School,Berkeley Vale,2261,Coed,Primary School,-33.350515,151.435888,102021047
Bermagui Public School,Bermagui,2546,Coed,Primary School,-36.420776,150.063625,101041027
Berowra Public School,Berowra,2081,Coed,Primary School,-33.618522,151.148996,121021404
Berridale Public School,Berridale,2628,Coed,Primary School,-36.371444,148.827209,101031016
Berrigan Public School,Berrigan,2712,Coed,Primary School,-35.659667,145.815664,109031185
Berrima Public School,Berrima,2577,Coed,Primary School,-34.485882,150.340775,114021287
Berry Public School,Berry,2535,Coed,Primary School,-34.778317,150.689706,114011272
Beverly Hills Public School,Beverly Hills,2209,Coed,Primary School,-33.953449,151.085209,119031368
Bexhill Public School,Bexhill,2480,Coed,Primary School,-28.766026,153.345835,112021249
Bigga Public School,Bigga,2583,Coed,Primary School,-34.0847,149.144602,101051540
Bilambil Public School,Bilambil,2486,Coed,Primary School,-28.223742,153.468431,112031254
Ocean Shores Public School,OCEAN SHORES,2483,Coed,Primary School,-28.491203,153.540337,112011239
Bilpin Public School,Bilpin,2758,Coed,Primary School,-33.497331,150.516765,115031299
Binalong Public School,BINALONG,2584,Coed,Primary School,-34.670108,148.625718,101061542
Binda Public School,Binda,2583,Coed,Primary School,-34.331463,149.368114,101051540
Bingara Central School,Bingara,2404,Coed,Central/Community School,-29.866705,150.56725,110021193
Binnaway Central School,Binnaway,2395,Coed,Central/Community School,-31.552793,149.374951,105031099
Binya Public School,Binya,2665,Coed,Primary School,-34.228678,146.353034,113011257
Birchgrove Public School,Balmain,2041,Coed,Primary School,-33.853009,151.177045,120021387
Blackheath Public School,Blackheath,2785,Coed,Primary School,-33.639284,150.285831,124011449
Black Hill Public School,Black Hill,2322,Coed,Primary School,-32.838523,151.617131,106011109
Black Mountain Public School,Black Mountain,2365,Coed,Primary School,-30.308489,151.657688,110011187
Blackville Public School,Blackville,2343,Coed,Primary School,-31.64044,150.237489,110041201
Blakebrook Public School,Blakebrook,2480,Coed,Primary School,-28.763426,153.229992,112021249
Blakehurst Public School,Blakehurst,2221,Coed,Primary School,-33.98298,151.115779,119031374
Blandford Public School,Blandford,2338,Coed,Primary School,-31.778585,150.892725,106041129
Blaxcell Street Public School,Granville,2142,Coed,Primary School,-33.858068,151.006125,125031483
Blaxland Public School,Blaxland,2774,Coed,Primary School,-33.737103,150.603489,124011450
Blayney Public School,Blayney,2799,Coed,Primary School,-33.528987,149.251583,103041076
Blighty Public School,Blighty,2713,Coed,Primary School,-35.580094,145.349272,109031183
Boambee Public School,Boambee,2450,Coed,Primary School,-30.334055,153.077009,104021089
Bobin Public School,Bobin,2429,Coed,Primary School,-31.712682,152.28388,108051170
Bobs Farm Public School,Bobs Farm,2316,Coed,Primary School,-32.766796,152.010937,106031119
Bodalla Public School,Bodalla,2545,Coed,Primary School,-36.09938,150.053879,101041024
Bogan Gate Public School,Bogan Gate,2876,Coed,Primary School,-33.104968,147.797859,103021068
Boggabilla Central School,Boggabilla,2409,Coed,Central/Community School,-28.616586,150.361593,110031196
Boggabri Public School,Boggabri,2382,Coed,Primary School,-30.705682,150.043053,110041200
Bolwarra Public School,Bolwarra,2320,Coed,Primary School,-32.706994,151.573008,106021116
Bomaderry Public School,Bomaderry,2541,Coed,Primary School,-34.847379,150.608269,114011277
Bombala Public School,Bombala,2632,Coed,Primary School,-36.918986,149.233792,101031013
Bonalbo Central School,Bonalbo,2469,Coed,Central/Community School,-28.735472,152.623959,112021245
Bondi Beach Public School,Bondi Beach,2026,Coed,Primary School,-33.8883,151.276821,118011340
Bongongo Public School,Adjungbilly,2727,Coed,Primary School,-35.08463,148.399517,113031264
Bonshaw Public School,Bonshaw,2361,Coed,Primary School,-29.046366,151.278092,110021192
Bonville Public School,BONVILLE,2450,Coed,Primary School,-30.379782,153.032316,104021089
Boolaroo Public School,Boolaroo,2284,Coed,Primary School,-32.951196,151.622765,111011214
Booligal Public School,Booligal,2711,Coed,Primary School,-33.86704,144.886395,109021177
Boomi Public School,Boomi,2405,Coed,Primary School,-28.724129,149.577268,110031196
Booral Public School,Booral,2425,Coed,Primary School,-32.471428,151.960736,108011151
Boorowa Central School,Boorowa,2586,Coed,Central/Community School,-34.436712,148.726108,101061544
Boree Creek Public School,Boree Creek,2652,Coed,Primary School,-35.105937,146.606338,113011259
Boronia Park Public School,HUNTERS HILL,2110,Coed,Primary School,-33.821414,151.135558,126021499
Bossley Park Public School,Bossley Park,2176,Coed,Primary School,-33.858524,150.883076,127021510
Botany Public School,Botany,2019,Coed,Primary School,-33.94316,151.194687,117011321
Bourke Public School,BOURKE,2840,Coed,Primary School,-30.09351,145.94968,105011092
Norfolk Island Central School,Norfolk Island,2899,Coed,Central/Community School,-29.041061,167.967768,NA
Bowning Public School,Bowning,2582,Coed,Primary School,-34.769376,148.81153,101061542
Bowral Public School,BOWRAL,2576,Coed,Primary School,-34.481178,150.419191,114021284
Bowraville Central School,BOWRAVILLE,2449,Coed,Central/Community School,-30.645288999999998,152.853898,108021159
Braidwood Central School,Braidwood,2622,Coed,Central/Community School,-35.440595,149.798888,101021007
Branxton Public School,BRANXTON,2335,Coed,Primary School,-32.659391,151.350682,106011107
Breadalbane Public School,BREADALBANE,2581,Coed,Primary School,-34.790546,149.487576,101051540
Colo Heights Public School,Colo Heights,2756,Coed,Primary School,-33.372972,150.739776,115031299
Bredbo Public School,Bredbo,2626,Coed,Primary School,-35.95399,149.14797,101031015
Brewarrina Central School,BREWARRINA,2839,Coed,Central/Community School,-29.963669,146.859088,105011092
Bribbaree Public School,Bribbaree,2594,Coed,Primary School,-34.12042,147.874699,101061544
Brighton-Le-Sands Public School,BRIGHTON-LE-SANDS,2216,Coed,Primary School,-33.962357,151.148929,119041380
Bringelly Public School,BRINGELLY,2556,Coed,Primary School,-33.93791,150.730266,127011505
Broadwater Public School,Broadwater,2472,Coed,Primary School,-29.002773,153.437279,112011241
Brocklesby Public School,Brocklesby,2642,Coed,Primary School,-35.823911,146.677989,109011175
Broke Public School,Broke,2330,Coed,Primary School,-32.744976,151.104334,106011113
Broken Hill Public School,Broken Hill,2880,Coed,Primary School,-31.956108,141.456502,105021097
Broken Hill North Public School,Broken Hill,2880,Coed,Primary School,-31.944457,141.471518,105021097
Bronte Public School,Bronte,2024,Coed,Primary School,-33.900605,151.262011,118011339
Brooklyn Public School,Brooklyn,2083,Coed,Primary School,-33.548414,151.214992,121021404
Brookvale Public School,Brookvale,2100,Coed,Primary School,-33.761678,151.270787,122031429
Brungle Public School,Brungle,2722,Coed,Primary School,-35.156755,148.233572,113021262
Brunswick Heads Public School,Brunswick Heads,2483,Coed,Primary School,-28.541343,153.550848,112011239
Bulahdelah Central School,Bulahdelah,2423,Coed,Central/Community School,-32.413374,152.211848,108011151
Bulli Public School,Bulli,2516,Coed,Primary School,-34.326951,150.912703,107041150
Bundanoon Public School,Bundanoon,2578,Coed,Primary School,-34.657878,150.300442,114021289
Bundarra Central School,BUNDARRA,2359,Coed,Central/Community School,-30.168353,151.077625,110021192
Bungendore Public School,Bungendore,2621,Coed,Primary School,-35.255619,149.444628,101021011
Bungwahl Public School,BUNGWAHL,2423,Coed,Primary School,-32.389144,152.448558,108011153
Bunnaloo Public School,Bunnaloo,2731,Coed,Primary School,-35.786399,144.597923,109031183
Burke Ward Public School,Broken Hill,2880,Coed,Primary School,-31.960361,141.441054,105021097
Burnside Public School,North Parramatta,2151,Coed,Primary School,-33.79258,151.018316,125041489
Burrawang Public School,Burrawang,2577,Coed,Primary School,-34.592222,150.51725,114021288
Burren Junction Public School,Burren Junction,2386,Coed,Primary School,-30.102686,148.964703,105011096
Burringbar Public School,Burringbar,2483,Coed,Primary School,-28.436645,153.466738,112031253
Burrumbuttock Public School,Burrumbuttock,2642,Coed,Primary School,-35.837489,146.800049,109011175
Burwood Public School,BURWOOD,2134,Coed,Primary School,-33.8768,151.098987,120031391
Buxton Public School,Buxton,2571,Coed,Primary School,-34.246971,150.544826,123031447
Byron Bay Public School,Byron Bay,2481,Coed,Primary School,-28.647416,153.614826,112011240
Cabbage Tree Island Public School,Cabbage Tree Island,2477,Coed,Primary School,-28.98367,153.457788,112011237
Cabramatta Public School,Cabramatta,2166,Coed,Primary School,-33.895823,150.942629,127021511
Cambewarra Public School,Cambewarra,2540,Coed,Primary School,-34.821537,150.556043,114011277
Camden Public School,Camden,2570,Coed,Primary School,-34.051998,150.693236,123011433
Camdenville Public School,Newtown,2042,Coed,Primary School,-33.906146,151.175741,117031332
Cammeray Public School,Cammeray,2062,Coed,Primary School,-33.820422,151.211542,121041413
Campbelltown Public School,Campbelltown,2560,Coed,Primary School,-34.070109,150.815634,123021437
Campsie Public School,Campsie,2194,Coed,Primary School,-33.911863,151.104846,119021363
Candelo Public School,Candelo,2550,Coed,Primary School,-36.768392,149.695674,101041020
Caniaba Public School,Lismore,2480,Coed,Primary School,-28.830799,153.231317,112021249
Canley Vale Public School,Canley Vale,2166,Coed,Primary School,-33.88676,150.937632,127021513
Canobolas Public School,Orange,2800,Coed,Primary School,-33.305942,149.04621,103041079
Canterbury Public School,Canterbury,2193,Coed,Primary School,-33.908761,151.122306,120031392
Brisbania Public School,Saratoga,2251,Coed,Primary School,-33.478822,151.357294,102011038
Uranquinty Public School,URANQUINTY,2652,Coed,Primary School,-35.188793,147.249486,113031271
Capertee Public School,Capertee,2846,Coed,Primary School,-33.147074,149.985922,103031071
Captains Flat Public School,Captains Flat,2623,Coed,Primary School,-35.587192,149.450147,101021011
Caragabal Public School,Caragabal,2810,Coed,Primary School,-33.84532,147.744452,103021066
Carcoar Public School,Carcoar,2791,Coed,Primary School,-33.612326,149.142432,103041076
Cardiff Public School,Cardiff,2285,Coed,Primary School,-32.945779,151.657754,111011209
Cargo Public School,Cargo,2800,Coed,Primary School,-33.427612,148.807697,103041079
Carinda Public School,Carinda,2831,Coed,Primary School,-30.461882,147.687555,105011096
Caringbah Public School,Caringbah,2229,Coed,Primary School,-34.053433,151.122988,128011603
Carlton Public School,Bexley,2207,Coed,Primary School,-33.963496,151.12246,119041376
Carlton South Public School,Carlton,2218,Coed,Primary School,-33.973045,151.128287,119041379
Carool Public School,Carool,2486,Coed,Primary School,-28.229959,153.4293,112031254
Carrathool Public School,Carrathool,2711,Coed,Primary School,-34.409166,145.431622,113011257
Carrington Public School,Carrington,2294,Coed,Primary School,-32.912446,151.765328,111031235
Carroll Public School,Carroll,2340,Coed,Primary School,-30.986074,150.447096,110041200
Casino Public School,Casino,2470,Coed,Primary School,-28.867384,153.048053,112021244
Cassilis Public School,Cassilis,2329,Coed,Primary School,-32.004552,149.978075,106041129
Castle Hill Public School,Castle Hill,2154,Coed,Primary School,-33.727887,151.004663,115011555
Cattai Public School,Cattai,2756,Coed,Primary School,-33.558762,150.906904,115041301
Cawdor Public School,Camden,2570,Coed,Primary School,-34.109711,150.673727,123031446
Cessnock Public School,Cessnock,2325,Coed,Primary School,-32.840405,151.363808,106011108
Cessnock East Public School,Cessnock,2325,Coed,Primary School,-32.827606,151.369746,106011108
Cessnock West Public School,Cessnock,2325,Coed,Primary School,-32.838387,151.344863,106011108
Chandler Public School,Wollomombi,2350,Coed,Primary School,-30.518553,152.053551,110011187
The Channon Public School,The Channon,2480,Coed,Primary School,-28.675099,153.280288,112021249
Charlestown Public School,Charlestown,2290,Coed,Primary School,-32.965494,151.697486,111011208
Pacific Palms Public School,Boomerang Beach,2428,Coed,Primary School,-32.341023,152.539306,108011153
Chatsworth Island Public School,CHATSWORTH,2469,Coed,Primary School,-29.387954,153.231645,104011082
Chillingham Public School,Chillingham,2484,Coed,Primary School,-28.311937,153.275569,112031252
Chipping Norton Public School,Chipping Norton,2170,Coed,Primary School,-33.909108,150.96085,127031523
Clarence Town Public School,Clarence Town,2321,Coed,Primary School,-32.588731,151.777207,106011110
Clemton Park Public School,Earlwood,2206,Coed,Primary School,-33.929708,151.108423,119021364
Clovelly Public School,Waverley,2024,Coed,Primary School,-33.907431,151.26028,118011339
Clunes Public School,Clunes,2480,Coed,Primary School,-28.724778,153.408852,112021249
Cobar Public School,Cobar,2835,Coed,Primary School,-31.502199,145.836609,105011093
Cobargo Public School,Cobargo,2550,Coed,Primary School,-36.386942,149.882818,101041020
Cobbitty Public School,Cobbitty,2570,Coed,Primary School,-34.0159,150.685938,127011506
Coffee Camp Public School,Coffee Camp,2480,Coed,Primary School,-28.662664,153.220638,112021249
Coffs Harbour Public School,COFFS HARBOUR,2450,Coed,Primary School,-30.30196,153.120372,104021085
Coledale Public School,Coledale,2515,Coed,Primary School,-34.289546,150.947366,107041148
Collarenebri Central School,COLLARENEBRI,2833,Coed,Central/Community School,-29.543823,148.578086,105011096
Collector Public School,Collector,2581,Coed,Primary School,-34.914221,149.433144,101051540
Collins Creek Public School,Collins Creek,2474,Coed,Primary School,-28.489297,153.022547,112021247
Colyton Public School,Mount Druitt,2770,Coed,Primary School,-33.777199,150.81316,116031317
Comboyne Public School,Comboyne,2429,Coed,Primary School,-31.605308,152.472736,108041165
Comleroy Road Public School,Kurrajong,2758,Coed,Primary School,-33.506475,150.69763,115031300
Como Public School,Como,2226,Coed,Primary School,-34.001832,151.069127,128021536
Conargo Public School,Conargo,2710,Coed,Primary School,-35.305269,145.17886,109031183
Concord Public School,Concord,2137,Coed,Primary School,-33.863224,151.106944,120011383
Concord West Public School,Concord West,2138,Coed,Primary School,-33.839613,151.087317,120011384
Condobolin Public School,CONDOBOLIN,2877,Coed,Primary School,-33.085514,147.149077,103021062
Condong Public School,Condong,2484,Coed,Primary School,-28.309674,153.434424,112031252
Coniston Public School,Coniston,2500,Coed,Primary School,-34.439023,150.887435,107041548
Connells Point Public School,SOUTH HURSTVILLE,2221,Coed,Primary School,-33.984689,151.100306,119031374
Cooerwull Public School,Lithgow,2790,Coed,Primary School,-33.484053,150.142093,103031070
Coogee Public School,Coogee,2034,Coed,Primary School,-33.920819,151.249846,118021348
Coolah Central School,Coolah,2843,Coed,Central/Community School,-31.821024,149.723624,105031099
Coolamon Central School,Coolamon,2701,Coed,Central/Community School,-34.811904,147.201398,113031271
Shoalhaven Heads Public School,Shoalhaven Heads,2535,Coed,Primary School,-34.853167,150.740088,114011272
Coolongolook Public School,Coolongolook,2423,Coed,Primary School,-32.222798,152.318838,108011153
Cooma Public School,Cooma,2630,Coed,Primary School,-36.237474,149.125034,101031014
Coonabarabran Public School,Coonabarabran,2357,Coed,Primary School,-31.280039,149.282061,105031099
Coonamble Public School,COONAMBLE,2829,Coed,Primary School,-30.958363,148.387024,105011094
Coopernook Public School,Coopernook,2426,Coed,Primary School,-31.827512,152.607874,108051170
Coorabell Public School,Coorabell,2479,Coed,Primary School,-28.625696,153.487492,112011238
Cooranbong Public School,Cooranbong,2265,Coed,Primary School,-33.0805,151.441793,111021218
Cootamundra Public School,Cootamundra,2590,Coed,Primary School,-34.638914,148.026809,113031263
Copmanhurst Public School,Copmanhurst,2460,Coed,Primary School,-29.584663,152.775537,104011081
Coraki Public School,Coraki,2471,Coed,Primary School,-28.992589,153.282641,112021245
Coramba Public School,Coramba,2450,Coed,Primary School,-30.221578,153.011513,104021086
Corindi Public School,Corindi Beach,2456,Coed,Primary School,-30.021469,153.194234,104021091
Corndale Public School,Corndale,2480,Coed,Primary School,-28.71315,153.362489,112021249
Corowa Public School,Corowa,2646,Coed,Primary School,-35.992545,146.3949,109031180
Corowa South Public School,Corowa,2646,Coed,Primary School,-36.020988,146.376176,109031180
Corrimal Public School,Corrimal,2518,Coed,Primary School,-34.367371,150.899022,107041145
Coutts Crossing Public School,COUTTS CROSSING,2460,Coed,Primary School,-29.832063,152.889484,104011081
Cowan Public School,Cowan,2081,Coed,Primary School,-33.588808,151.168843,121021404
