"","STAT_UNIT","UNIT_MEASURE","EDU_LEVEL","EDU_CAT","SEX","AGE","GRADE","SECTOR_EDU","EDU_ATTAIN","WEALTH_QUINTILE","LOCATION","EDU_TYPE","EDU_FIELD","SUBJECT","INFRASTR","SE_BKGRD","TEACH_EXPERIENCE","CONTRACT_TYPE","COUNTRY_ORIGIN","REGION_DEST","IMM_STATUS","REF_AREA","TIME_PERIOD","OBS_VALUE","UNIT_MULT","OBS_STATUS","FREQ","DECIMALS"
"30","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","GH","2017","2","0","A","A","5"
"31","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","SE","2016","76","0","A","A","5"
"32","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","IN","2016","70","0","A","A","5"
"33","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","IN","2017","359","0","A","A","5"
"34","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","CU","2017","NaN","0","X","A","5"
"35","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","DE","2016","NaN","0","X","A","5"
"36","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","GE","2016","1","0","A","A","5"
"37","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","GE","2017","3","0","A","A","5"
"38","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","RU","2016","16","0","A","A","5"
"39","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","SG","2016","NaN","0","X","A","5"
"40","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","GB","2016","1992","0","A","A","5"
"41","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","FR","2016","342","0","A","A","5"
"42","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","GD","2016","3","0","A","A","5"
"43","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","GD","2017","2","0","A","A","5"
"44","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","SA","2016","183","0","A","A","5"
"45","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","SA","2017","183","0","A","A","5"
"46","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","SC","2016","0","0","A","A","5"
"47","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","SC","2017","0","0","A","A","5"
"48","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","RS","2016","7","0","A","A","5"
"49","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","RS","2017","16","0","A","A","5"
"50","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","VN","2016","0","0","A","A","5"
