"","STAT_UNIT","UNIT_MEASURE","EDU_LEVEL","EDU_CAT","SECTOR_EDU","EXPENDITURE_TYPE","SOURCE_FUND","FUND_FLOW","TEACH_EXPERIENCE","CONTRACT_TYPE","REF_AREA","TIME_PERIOD","OBS_VALUE","UNIT_MULT","FREQ","DECIMALS","OBS_STATUS"
"21683","EDU_EXP","CUR_EXP","L02","_T","INST_PUB","CUR_COMP","GOV","FFNTP","_Z","_Z","VE","2017","65.02671","0","A","5","A"
"21684","EDU_EXP","PPP_CONST","L3","_T","_T","_T","GOV","_T","_Z","_Z","RW","2016","204.09300","0","A","5","E"
"21685","EDU_EXP","CUR_EXP","_T","_T","INST_PUB","CUR_O","GOV","FFNTP","_Z","_Z","BN","2016","31.59226","0","A","5","A"
"21686","EDU_EXP","CUR_EXP","_T","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","BB","2016","41.81431","0","A","5","A"
"21687","EDU_EXP","CUR_EXP","_T","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","BB","2017","59.71707","0","A","5","A"
"21688","EDU_EXP","CUR_EXP","L5T8","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","IR","2016","34.76906","0","A","5","A"
"21689","EDU_EXP","CUR_EXP","L5T8","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","IR","2017","39.95618","0","A","5","A"
"21690","EDU_EXP","EXP_T","L2","_T","INST_PUB","CUR_O","GOV","FFNTP","_Z","_Z","MM","2017","6.98078","0","A","5","A"
"21691","EDU_EXP","PPP","L2","_T","_T","_T","GOV","_T","_Z","_Z","MM","2017","1229.27548","0","A","5","A"
"21692","XUNIT","PPP","L2_3","_T","_T","_T","GOV","FFNTR","_Z","_Z","MM","2017","646.29104","0","A","5","A"
"21693","XUNIT","GNI_CAP","L1","_T","_T","_T","GOV","FFNTP","_Z","_Z","KZ","2017","0.30458","0","A","5","A"
"21694","EDU_EXP","EXP_T","L5T8","_T","INST_PUB","CUR_COMP","GOV","FFNTP","_Z","_Z","LK","2017","0.64685","0","A","5","A"
"21695","XUNIT","PPP","L1","_T","_T","_T","GOV","FFNTP","_Z","_Z","LK","2016","1792.58324","0","A","5","A"
"21696","XUNIT","PPP","L1","_T","_T","_T","GOV","FFNTP","_Z","_Z","LK","2017","1473.66965","0","A","5","A"
"21697","EDU_EXP","CUR_EXP","_X","_T","_T","CUR","GOV","_T","_Z","_Z","MR","2016","0","0","A","5","A"
