sex,age,sa2_code,region,time,value
Males,45 - 49,125031486,Smithfield Industrial,2016,0
Females,60 - 64,107031139,Kiama Downs - Minnamurra,2016,227
Females,20 - 24,104011081,Grafton Region,2016,289
Males,20 - 24,112031253,Pottsville,2016,297
Males,60 - 64,118011345,Paddington - Moore Park,2016,349
Males,85 and over,106031124,Tea Gardens - Hawks Nest,2016,95
Males,15 - 19,113031265,Junee,2016,188
Females,60 - 64,120031395,Haberfield - Summer Hill,2016,352
Males,85 and over,115031299,Bilpin - Colo - St Albans,2016,23
Females,85 and over,127021514,Edensor Park,2016,45
Females,55 - 59,117021328,Sydenham - Tempe - St Peters,2016,217
Males,60 - 64,127021520,St Johns Park - Wakeley,2016,353
Females,35 - 39,105031101,Dubbo - South,2016,548
Females,30 - 34,120011385,Drummoyne - Rodd Point,2016,855
Females,5 - 9,120011386,Five Dock - Abbotsford,2016,628
Females,20 - 24,104021086,Coramba - Nana Glen - Bucca,2016,77
Males,25 - 29,110041204,Tamworth - West,2016,240
Females,70 - 74,127021515,Fairfield,2016,300
Females,30 - 34,126021500,Macquarie Park - Marsfield,2016,1237
Females,80 - 84,110011186,Armidale,2016,299
Males,55 - 59,120011383,Concord - Mortlake - Cabarita,2016,708
Males,40 - 44,112021249,Lismore Region,2016,468
Males,10 - 14,113031268,Wagga Wagga - North,2016,139
Males,15 - 19,121031411,Turramurra,2016,710
Females,40 - 44,123021438,Claymore - Eagle Vale - Raby,2016,652
Females,35 - 39,123021443,Minto - St Andrews,2016,712
Males,85 and over,110021193,Inverell Region - West,2016,57
Males,10 - 14,105011095,Nyngan - Warren,2016,160
Males,45 - 49,125031484,Guildford West - Merrylands West,2016,610
Females,60 - 64,121011402,Willoughby - Castle Cove - Northbridge,2016,728
Females,10 - 14,125041491,Northmead,2016,443
Males,30 - 34,127031526,Prestons - Lurnea,2016,990
Females,55 - 59,101031014,Cooma,2016,241
Males,60 - 64,111011208,Charlestown - Dudley,2016,659
Females,70 - 74,122011419,Manly - Fairlight,2016,446
Males,70 - 74,197979799,Migratory - Offshore - Shipping (NSW),2016,0
Females,80 - 84,127011506,Cobbitty - Leppington,2016,80
Males,50 - 54,116031315,Hassall Grove - Plumpton,2016,758
Females,40 - 44,104021090,Urunga,2016,130
Females,30 - 34,109031182,Deniliquin,2016,189
Females,10 - 14,117021327,Petersham - Stanmore,2016,368
Males,25 - 29,108041164,Port Macquarie - West,2016,430
Males,80 - 84,113021261,Tumut,2016,87
Males,20 - 24,117031333,Potts Point - Woolloomooloo,2016,1273
Males,60 - 64,127021521,Wetherill Park Industrial,2016,2
Males,85 and over,108041164,Port Macquarie - West,2016,340
Males,30 - 34,120011384,Concord West - North Strathfield,2016,1849
Males,60 - 64,112031252,Murwillumbah Region,2016,483
Females,85 and over,103031070,Lithgow,2016,232
Females,60 - 64,119031372,Peakhurst - Lugarno,2016,504
Males,15 - 19,120021388,Leichhardt - Annandale,2016,460
Males,35 - 39,111021221,West Wallsend - Barnsley - Killingworth,2016,232
Males,75 - 79,121031410,St Ives,2016,387
Males,25 - 29,106021118,Thornton - Millers Forest,2016,352
Males,70 - 74,105031105,Narromine,2016,175
Males,70 - 74,111011206,Belmont - Bennetts Green,2016,392
Females,10 - 14,102021057,Wyong,2016,296
Females,40 - 44,111011213,Valentine - Eleebana,2016,455
Males,80 - 84,125031479,Chester Hill - Sefton,2016,154
Females,70 - 74,108021159,Nambucca Heads Region,2016,191
Males,10 - 14,125011475,Rookwood Cemetery,2016,1
Females,75 - 79,102011034,Kincumber - Picketts Valley,2016,244
Females,75 - 79,117031337,Sydney - Haymarket - The Rocks,2016,152
Males,75 - 79,107031141,Shellharbour - Flinders,2016,174
Females,65 - 69,107041149,Wollongong,2016,709
Females,45 - 49,101021009,Queanbeyan,2016,335
Males,55 - 59,111031231,Shortland - Jesmond,2016,229
Males,5 - 9,102011041,Wamberal - Forresters Beach,2016,417
Males,65 - 69,101041024,Eurobodalla Hinterland,2016,183
Females,10 - 14,121031407,Gordon - Killara,2016,761
Females,0 - 4,125031482,Greystanes - Pemulwuy,2016,1081
Females,15 - 19,103011059,Bathurst - East,2016,416
Males,0 - 4,108041164,Port Macquarie - West,2016,458
Females,15 - 19,127011504,Ashcroft - Busby - Miller,2016,691
Females,50 - 54,106021115,Maitland - East,2016,927
Males,25 - 29,114021289,Southern Highlands,2016,106
Males,30 - 34,108021158,Nambucca Heads,2016,103
Females,20 - 24,123011435,Mount Annan - Currans Hill,2016,968
Females,20 - 24,102011039,Terrigal - North Avoca,2016,414
Females,55 - 59,124031463,Mulgoa - Luddenham - Orchard Hills,2016,268
Females,5 - 9,117021328,Sydenham - Tempe - St Peters,2016,193
Males,40 - 44,124051469,Erskine Park,2016,197
Males,65 - 69,101011004,Yass Region,2016,364
Females,65 - 69,101011003,Yass,2016,194
Males,45 - 49,120031392,Canterbury (North) - Ashbury,2016,372
Females,50 - 54,116011306,Doonside - Woodcroft,2016,764
Females,10 - 14,115011296,West Pennant Hills,2016,401
Males,10 - 14,111021221,West Wallsend - Barnsley - Killingworth,2016,199
Females,40 - 44,121041415,Mosman,2016,1188
Males,50 - 54,116031314,Glendenning Dean Park,2016,251
Females,60 - 64,101011003,Yass,2016,197
