sex,age,sa2_code,region,time,value
Males,0 - 4,119041382,Sans Souci - Ramsgate,2016,497
Males,0 - 4,124011450,Blaxland - Warrimoo - Lapstone,2016,622
Females,85 and over,103021064,Cowra Region,2016,77
Males,55 - 59,112031253,Pottsville,2016,518
Females,80 - 84,125041494,Winston Hills,2016,101
Males,15 - 19,107021135,Illawarra Catchment Reserve,2016,0
Males,85 and over,101041019,Bega - Tathra,2016,73
Males,10 - 14,107011130,Berkeley - Warrawong - Windang,2016,830
Males,35 - 39,101041022,Deua - Wadbilliga,2016,1
Males,20 - 24,114011274,Culburra Beach,2016,113
Females,0 - 4,124011455,Wentworth Falls,2016,158
Males,20 - 24,127021514,Edensor Park,2016,485
Females,10 - 14,101011005,Young,2016,368
Females,65 - 69,113031264,Gundagai,2016,114
Females,85 and over,119021365,Lakemba - Wiley Park,2016,221
Males,15 - 19,107011133,Port Kembla Industrial,2016,0
Males,5 - 9,115011291,Baulkham Hills (West) - Bella Vista,2016,764
Males,60 - 64,114021288,Robertson - Fitzroy Falls,2016,147
Males,60 - 64,124041466,Richmond - Clarendon,2016,344
Males,5 - 9,128011527,Caringbah - Lilli Pilli,2016,973
Males,80 - 84,111021215,Bolton Point - Teralba,2016,114
Females,40 - 44,115021297,Dural - Kenthurst - Wisemans Ferry,2016,781
Males,30 - 34,126021500,Macquarie Park - Marsfield,2016,1342
Males,40 - 44,103041078,Orange - North,2016,755
Females,0 - 4,109011173,Albury - North,2016,318
Females,70 - 74,110031196,Moree Region,2016,83
Males,60 - 64,102011032,Gosford - Springfield,2016,572
Females,75 - 79,122011418,Balgowlah - Clontarf - Seaforth,2016,256
Males,80 - 84,120011386,Five Dock - Abbotsford,2016,211
Females,85 and over,110031198,Narrabri Region,2016,38
Females,40 - 44,113031265,Junee,2016,149
Males,40 - 44,114011273,Callala Bay - Currarong,2016,95
Females,40 - 44,120031397,Strathfield,2016,821
Females,35 - 39,127021519,Smithfield - Wetherill Park,2016,584
Females,20 - 24,121031410,St Ives,2016,555
Males,5 - 9,113011256,Griffith (NSW),2016,679
Females,55 - 59,114021284,Bowral,2016,461
Males,85 and over,102011030,Calga - Kulnura,2016,30
Females,80 - 84,102011043,Wyoming,2016,213
Females,75 - 79,108051169,Taree,2016,552
Males,45 - 49,116021310,Parklea - Kellyville Ridge,2016,1229
Females,45 - 49,127011507,Green Valley - Cecil Hills,2016,1236
Males,70 - 74,121041414,Crows Nest - Waverton,2016,269
Males,30 - 34,121011399,Chatswood (West) - Lane Cove North,2016,1197
Males,25 - 29,122031429,Freshwater - Brookvale,2016,865
Females,5 - 9,103031074,Mudgee Region - West,2016,382
Males,70 - 74,119021367,Roselands,2016,254
Males,75 - 79,110041203,Tamworth - North,2016,245
Females,70 - 74,123011433,Camden - Ellis Lane,2016,301
Females,20 - 24,127021515,Fairfield,2016,658
Females,30 - 34,118011343,Double Bay - Bellevue Hill,2016,1316
Males,55 - 59,128021535,Menai - Lucas Heights - Woronora,2016,840
Females,55 - 59,101031013,Bombala,2016,97
Females,75 - 79,112031252,Murwillumbah Region,2016,123
Males,25 - 29,110041202,Tamworth - East,2016,720
Females,5 - 9,110011189,Walcha,2016,100
Males,40 - 44,122031427,Forestville - Killarney Heights,2016,547
Males,80 - 84,103031071,Lithgow Region,2016,76
Males,75 - 79,105031100,Dubbo - East,2016,126
Females,65 - 69,105031099,Coonabarabran,2016,296
Males,40 - 44,127031524,Holsworthy - Wattle Grove,2016,814
Females,20 - 24,102021044,Bateau Bay - Killarney Vale,2016,636
Females,20 - 24,106031124,Tea Gardens - Hawks Nest,2016,88
Females,55 - 59,108051170,Taree Region,2016,614
Males,15 - 19,120031394,Dulwich Hill - Lewisham,2016,410
Females,40 - 44,123031445,Bargo,2016,222
Males,0 - 4,103021065,Forbes,2016,340
Females,75 - 79,111021215,Bolton Point - Teralba,2016,163
Males,10 - 14,111031229,Newcastle - Cooks Hill,2016,167
Females,15 - 19,119011361,Yagoona - Birrong,2016,718
Males,65 - 69,113011258,Leeton,2016,248
Females,65 - 69,121031409,Pymble,2016,404
Males,30 - 34,123011435,Mount Annan - Currans Hill,2016,1217
Males,60 - 64,119041378,Kogarah,2016,228
Females,30 - 34,109031185,Tocumwal - Finley - Jerilderie,2016,228
Females,60 - 64,102021055,Tuggerah - Kangy Angy,2016,134
Males,15 - 19,111031234,Waratah - North Lambton,2016,323
Females,75 - 79,119021364,Kingsgrove (North) - Earlwood,2016,504
Females,50 - 54,118011339,Bondi - Tamarama - Bronte,2016,522
Males,80 - 84,121021406,Normanhurst - Thornleigh - Westleigh,2016,187
Males,30 - 34,124011454,Springwood - Winmalee,2016,584
Males,30 - 34,112011239,Brunswick Heads - Ocean Shores,2016,196
Males,80 - 84,125031482,Greystanes - Pemulwuy,2016,215
Females,50 - 54,103041076,Blayney,2016,259
Males,25 - 29,103031071,Lithgow Region,2016,202
Males,35 - 39,102021052,Summerland Point - Gwandalan,2016,156
Females,70 - 74,125021476,Carlingford,2016,599
Males,70 - 74,117031331,Glebe - Forest Lodge,2016,274
Females,40 - 44,119011359,Panania - Milperra - Picnic Point,2016,1013
Males,60 - 64,120031394,Dulwich Hill - Lewisham,2016,352
Females,15 - 19,106021114,Maitland,2016,175
Females,0 - 4,112021245,Casino Region,2016,200
Males,70 - 74,112031255,Tweed Heads - South,2016,860
Females,10 - 14,109011172,Albury - East,2016,520
Females,30 - 34,127021512,Cabramatta West - Mount Pritchard,2016,606
Females,5 - 9,102021048,Gorokan - Kanwal - Charmhaven,2016,632
Females,15 - 19,125031481,Granville - Clyde,2016,603
Males,50 - 54,125041490,North Rocks,2016,262
Males,70 - 74,102011038,Saratoga - Davistown,2016,170
Females,0 - 4,107031137,Albion Park Rail,2016,224
Males,15 - 19,119011361,Yagoona - Birrong,2016,789
Females,85 and over,108051167,Gloucester,2016,103
Males,45 - 49,120011384,Concord West - North Strathfield,2016,597
Males,25 - 29,124041468,Yarramundi - Londonderry,2016,372
Females,50 - 54,115021297,Dural - Kenthurst - Wisemans Ferry,2016,822
Females,30 - 34,111021216,Bonnells Bay - Silverwater,2016,257
Males,55 - 59,117011325,Sydney Airport,2016,1
Males,55 - 59,118011347,Woollahra,2016,216
Females,10 - 14,109031183,Deniliquin Region,2016,186
Males,10 - 14,119011358,Padstow,2016,531
Females,75 - 79,116021310,Parklea - Kellyville Ridge,2016,172
Females,5 - 9,108041163,Port Macquarie - East,2016,849
Males,10 - 14,104021089,Sawtell - Boambee,2016,681
Males,80 - 84,101041024,Eurobodalla Hinterland,2016,28
Females,5 - 9,106021114,Maitland,2016,223
Males,0 - 4,123011434,Elderslie - Harrington Park,2016,881
Females,55 - 59,122031426,Dee Why - North Curl Curl,2016,714
Females,10 - 14,114021285,Hill Top - Colo Vale,2016,221
Males,70 - 74,119011358,Padstow,2016,299
Males,60 - 64,119041381,Rockdale - Banksia,2016,425
Males,5 - 9,111031225,Lambton - New Lambton,2016,592
Females,80 - 84,102021050,Lake Munmorah - Mannering Park,2016,209
Males,10 - 14,124031458,Castlereagh - Cranebrook,2016,841
Males,70 - 74,123011433,Camden - Ellis Lane,2016,256
Females,20 - 24,107031138,Kiama,2016,185
Females,30 - 34,121041417,North Sydney - Lavender Bay,2016,749
Females,30 - 34,103041076,Blayney,2016,179
Males,85 and over,103021066,Grenfell,2016,51
Males,50 - 54,115041301,Pitt Town - McGraths Hill,2016,359
Females,45 - 49,127011505,Badgerys Creek - Greendale,2016,356
Females,80 - 84,125031487,Yennora Industrial,2016,0
Females,60 - 64,107031136,Albion Park - Macquarie Pass,2016,340
Females,10 - 14,109031182,Deniliquin,2016,223
Females,85 and over,107031137,Albion Park Rail,2016,150
Males,15 - 19,103011058,Bathurst,2016,891
Males,55 - 59,111021218,Morisset - Cooranbong,2016,486
Females,65 - 69,111031228,Merewether - The Junction,2016,343
Females,5 - 9,119031370,Narwee - Beverly Hills,2016,401
Females,0 - 4,105031106,Wellington,2016,278
Males,25 - 29,105031106,Wellington,2016,343
Males,85 and over,125021478,Oatlands - Dundas Valley,2016,101
Males,30 - 34,117031329,Darlinghurst,2016,1121
Males,85 and over,122021421,Bayview - Elanora Heights,2016,151
Males,55 - 59,122031426,Dee Why - North Curl Curl,2016,718
Males,30 - 34,124011453,Lawson - Hazelbrook - Linden,2016,292
Males,60 - 64,122021423,Warriewood - Mona Vale,2016,692
Females,20 - 24,119041378,Kogarah,2016,463
Males,85 and over,113031271,Wagga Wagga Region,2016,120
Females,85 and over,119021364,Kingsgrove (North) - Earlwood,2016,393
Males,15 - 19,102021047,Chittaway Bay - Tumbi Umbi,2016,515
Males,85 and over,105031102,Dubbo - West,2016,49
Females,30 - 34,122031426,Dee Why - North Curl Curl,2016,1409
Females,20 - 24,111031224,Hamilton - Broadmeadow,2016,588
Females,0 - 4,123021440,Ingleburn - Denham Court,2016,801
Females,70 - 74,111031225,Lambton - New Lambton,2016,311
Males,30 - 34,101021011,Queanbeyan Region,2016,476
Females,15 - 19,103031071,Lithgow Region,2016,234
Females,65 - 69,102011042,Woy Woy - Blackwall,2016,523
Males,80 - 84,122031425,Cromer,2016,69
Females,30 - 34,110041202,Tamworth - East,2016,638
Females,15 - 19,118011340,Bondi Beach - North Bondi,2016,297
Females,60 - 64,125021478,Oatlands - Dundas Valley,2016,504
Males,35 - 39,117011322,Mascot - Eastlakes,2016,1098
Males,60 - 64,119041380,Monterey - Brighton-le-Sands - Kyeemagh,2016,403
Males,60 - 64,122031425,Cromer,2016,179
Females,75 - 79,124031465,Warragamba - Silverdale,2016,44
Males,25 - 29,102011036,Niagara Park - Lisarow,2016,230
Males,10 - 14,121041415,Mosman,2016,917
Males,65 - 69,103041077,Orange,2016,470
Males,70 - 74,102021057,Wyong,2016,201
Females,65 - 69,114011277,North Nowra - Bomaderry,2016,525
Females,65 - 69,109021178,Wentworth - Buronga,2016,215
Females,80 - 84,114021287,Moss Vale - Berrima,2016,127
Males,80 - 84,118011340,Bondi Beach - North Bondi,2016,102
Males,30 - 34,104021083,Bellingen,2016,124
Females,15 - 19,116031314,Glendenning Dean Park,2016,316
Females,0 - 4,124011452,Katoomba - Leura,2016,317
Females,60 - 64,122031427,Forestville - Killarney Heights,2016,311
Females,45 - 49,102011041,Wamberal - Forresters Beach,2016,360
Males,55 - 59,119011359,Panania - Milperra - Picnic Point,2016,842
Males,80 - 84,123021437,Campbelltown - Woodbine,2016,170
Females,15 - 19,116021312,Riverstone - Marsden Park,2016,516
Males,65 - 69,111031227,Mayfield - Warabrook,2016,320
Males,45 - 49,125031487,Yennora Industrial,2016,1
Males,50 - 54,125031480,Fairfield - East,2016,510
Males,85 and over,114011275,Ettrema - Sassafras - Budawang,2016,0
Males,60 - 64,103021069,West Wyalong,2016,208
Females,60 - 64,107031137,Albion Park Rail,2016,230
Females,40 - 44,101011006,Young Region,2016,206
Females,70 - 74,127011505,Badgerys Creek - Greendale,2016,159
Males,15 - 19,127021521,Wetherill Park Industrial,2016,0
Males,30 - 34,118021352,Randwick,2016,1758
Males,15 - 19,123021443,Minto - St Andrews,2016,762
Males,10 - 14,118011341,Bondi Junction - Waverly,2016,351
Females,60 - 64,107031140,Kiama Hinterland - Gerringong,2016,331
Females,40 - 44,101021008,Karabar,2016,281
Females,15 - 19,122021420,Avalon - Palm Beach,2016,395
Males,65 - 69,120031392,Canterbury (North) - Ashbury,2016,225
Females,20 - 24,105021097,Broken Hill,2016,528
Females,0 - 4,116021312,Riverstone - Marsden Park,2016,774
Males,25 - 29,125011472,Auburn,2016,3325
Females,20 - 24,127021512,Cabramatta West - Mount Pritchard,2016,696
Males,20 - 24,101041022,Deua - Wadbilliga,2016,0
Males,75 - 79,102021054,Toukley - Norah Head,2016,226
Males,10 - 14,123021438,Claymore - Eagle Vale - Raby,2016,810
Females,60 - 64,128011527,Caringbah - Lilli Pilli,2016,845
Females,75 - 79,105031105,Narromine,2016,117
Males,35 - 39,107021135,Illawarra Catchment Reserve,2016,0
Females,55 - 59,106021116,Maitland - North,2016,249
Males,70 - 74,106031123,Seaham - Woodville,2016,100
Males,60 - 64,119011359,Panania - Milperra - Picnic Point,2016,734
Males,55 - 59,119021363,Canterbury (South) - Campsie,2016,893
Males,40 - 44,115031300,Kurrajong Heights - Ebenezer,2016,753
Males,30 - 34,102021055,Tuggerah - Kangy Angy,2016,167
Males,15 - 19,119031369,Mortdale - Penshurst,2016,689
Females,65 - 69,101011006,Young Region,2016,301
Males,35 - 39,119011357,Greenacre - Mount Lewis,2016,809
Females,15 - 19,101041022,Deua - Wadbilliga,2016,0
Females,0 - 4,110041204,Tamworth - West,2016,281
Males,85 and over,124011451,Blue Mountains - North,2016,0
Females,45 - 49,128021537,Royal National Park,2016,0
Females,70 - 74,128021536,Oyster Bay - Como - Jannali,2016,436
Males,20 - 24,102011034,Kincumber - Picketts Valley,2016,208
Males,10 - 14,118011342,Centennial Park,2016,0
Females,60 - 64,127031526,Prestons - Lurnea,2016,549
Males,20 - 24,125031479,Chester Hill - Sefton,2016,762
Males,45 - 49,108011152,Forster,2016,373
Females,45 - 49,108051170,Taree Region,2016,422
Males,55 - 59,128011529,Gymea - Grays Point,2016,564
Females,5 - 9,108011154,Tuncurry,2016,103
Females,20 - 24,108021157,Macksville - Scotts Head,2016,104
Females,45 - 49,118011344,Dover Heights,2016,412
Females,55 - 59,116011303,Blacktown (East) - Kings Park,2016,405
Females,70 - 74,125011474,Lidcombe - Regents Park,2016,395
Females,75 - 79,117031338,Waterloo - Beaconsfield,2016,275
Females,40 - 44,102011041,Wamberal - Forresters Beach,2016,378
Males,50 - 54,120031397,Strathfield,2016,842
Males,40 - 44,103031072,Mudgee,2016,350
Males,15 - 19,121031409,Pymble,2016,617
Females,80 - 84,112011236,Ballina,2016,457
Males,80 - 84,111011212,Swansea - Caves Beach,2016,162
Females,25 - 29,121031411,Turramurra,2016,329
Females,25 - 29,128021538,Sutherland - Kirrawee,2016,927
Males,30 - 34,119011357,Greenacre - Mount Lewis,2016,866
Females,80 - 84,111031232,Stockton - Fullerton Cove,2016,121
Females,60 - 64,109021178,Wentworth - Buronga,2016,202
Males,10 - 14,117011323,Pagewood - Hillsdale - Daceyville,2016,355
Males,80 - 84,104021086,Coramba - Nana Glen - Bucca,2016,33
Females,35 - 39,121041413,Cremorne - Cammeray,2016,991
Females,45 - 49,122021422,Newport - Bilgola,2016,580
Females,25 - 29,118021351,Maroubra,2016,1401
Males,60 - 64,117031331,Glebe - Forest Lodge,2016,428
Males,85 and over,120011383,Concord - Mortlake - Cabarita,2016,236
Males,75 - 79,101011002,Goulburn Region,2016,282
Females,80 - 84,116021312,Riverstone - Marsden Park,2016,88
Males,5 - 9,124031465,Warragamba - Silverdale,2016,230
Females,75 - 79,103011061,Oberon,2016,75
Males,0 - 4,101021007,Braidwood,2016,122
Females,45 - 49,107031137,Albion Park Rail,2016,205
Females,15 - 19,117021326,Marrickville,2016,475
Males,45 - 49,107041146,Figtree - Keiraville,2016,638
Males,35 - 39,114011282,Ulladulla,2016,339
Males,85 and over,117031332,Newtown - Camperdown - Darlington,2016,51
Females,35 - 39,119041381,Rockdale - Banksia,2016,750
Females,45 - 49,116021310,Parklea - Kellyville Ridge,2016,1044
Males,55 - 59,125031486,Smithfield Industrial,2016,1
Males,70 - 74,121031411,Turramurra,2016,409
Males,75 - 79,101021007,Braidwood,2016,91
Males,80 - 84,120031392,Canterbury (North) - Ashbury,2016,121
Males,0 - 4,121031410,St Ives,2016,645
Females,5 - 9,101041021,Broulee - Tomakin,2016,101
Males,25 - 29,117031332,Newtown - Camperdown - Darlington,2016,2142
Females,40 - 44,125011473,Homebush Bay - Silverwater,2016,678
Males,50 - 54,117011322,Mascot - Eastlakes,2016,710
Males,5 - 9,105011094,Coonamble,2016,154
Females,10 - 14,111031235,Wickham - Carrington - Tighes Hill,2016,151
Females,0 - 4,106011112,Singleton,2016,618
Females,45 - 49,116021311,Quakers Hill - Acacia Gardens,2016,968
Males,45 - 49,103021067,Parkes (NSW),2016,325
Males,0 - 4,119021367,Roselands,2016,549
Males,80 - 84,106041126,Muswellbrook,2016,78
Males,85 and over,107031143,Warilla,2016,185
Males,10 - 14,109021179,Wentworth-Balranald Region,2016,113
Females,55 - 59,120031397,Strathfield,2016,816
Females,5 - 9,128021532,Engadine - Loftus,2016,1142
Males,70 - 74,103021066,Grenfell,2016,132
Males,85 and over,116031315,Hassall Grove - Plumpton,2016,34
Males,75 - 79,120011383,Concord - Mortlake - Cabarita,2016,372
Females,85 and over,120021389,Lilyfield - Rozelle,2016,111
Males,35 - 39,112011243,Mullumbimby,2016,203
Males,65 - 69,111021216,Bonnells Bay - Silverwater,2016,279
Females,15 - 19,121021405,Hornsby - Waitara,2016,761
Males,70 - 74,105031102,Dubbo - West,2016,163
Females,0 - 4,111031226,Maryland - Fletcher - Minmi,2016,523
Males,15 - 19,111031223,Beresfield - Hexham,2016,272
Females,5 - 9,103011059,Bathurst - East,2016,465
Males,20 - 24,116011305,Blacktown (South),2016,1165
Females,85 and over,112031253,Pottsville,2016,161
Females,50 - 54,127011506,Cobbitty - Leppington,2016,433
Females,85 and over,102011029,Box Head - MacMasters Beach,2016,143
Males,85 and over,126021497,Eastwood - Denistone,2016,223
Females,50 - 54,111011210,Mount Hutton - Windale,2016,333
Males,65 - 69,108021160,South West Rocks,2016,296
Males,50 - 54,116011307,Lalor Park - Kings Langley,2016,810
Females,30 - 34,108021157,Macksville - Scotts Head,2016,101
Females,35 - 39,102011032,Gosford - Springfield,2016,613
Males,35 - 39,101011002,Goulburn Region,2016,306
Females,5 - 9,114011283,Ulladulla Region,2016,140
Females,30 - 34,114011276,Huskisson - Vincentia,2016,104
Females,30 - 34,119011353,Bankstown,2016,1500
Males,5 - 9,101011003,Yass,2016,242
Males,5 - 9,111011206,Belmont - Bennetts Green,2016,623
Males,80 - 84,128021536,Oyster Bay - Como - Jannali,2016,162
Females,65 - 69,107021135,Illawarra Catchment Reserve,2016,1
Males,85 and over,121011400,Lane Cove - Greenwich,2016,246
Females,40 - 44,102021044,Bateau Bay - Killarney Vale,2016,708
Females,35 - 39,110031197,Narrabri,2016,188
Females,35 - 39,114011278,Nowra,2016,549
Males,75 - 79,112011241,Evans Head,2016,122
Females,65 - 69,112031251,Murwillumbah,2016,299
Males,15 - 19,107031140,Kiama Hinterland - Gerringong,2016,257
Males,0 - 4,114011276,Huskisson - Vincentia,2016,108
Females,20 - 24,113011259,Narrandera,2016,147
Males,55 - 59,121021404,Berowra - Brooklyn - Cowan,2016,406
Females,10 - 14,101041026,Moruya - Tuross Head,2016,193
Males,15 - 19,125031485,Merrylands - Holroyd,2016,900
Males,70 - 74,122021422,Newport - Bilgola,2016,335
Females,40 - 44,106031119,Anna Bay,2016,206
Males,45 - 49,118011346,Rose Bay - Vaucluse - Watsons Bay,2016,417
Males,40 - 44,118011345,Paddington - Moore Park,2016,590
Females,80 - 84,106011113,Singleton Region,2016,33
Females,15 - 19,112011239,Brunswick Heads - Ocean Shores,2016,253
Males,25 - 29,108041162,Laurieton - Bonny Hills,2016,239
Males,35 - 39,109011175,Albury Region,2016,256
Females,40 - 44,103041078,Orange - North,2016,729
Females,45 - 49,126011495,Epping - North Epping,2016,929
Females,5 - 9,108021157,Macksville - Scotts Head,2016,172
Males,30 - 34,107011134,Unanderra - Mount Kembla,2016,456
Females,85 and over,103031074,Mudgee Region - West,2016,79
Males,55 - 59,113021261,Tumut,2016,212
Females,30 - 34,112011237,Ballina Region,2016,411
Males,20 - 24,114021284,Bowral,2016,227
Females,40 - 44,113031266,Temora,2016,183
Females,85 and over,127021517,Greenfield Park - Prairiewood,2016,45
Males,60 - 64,101041023,Eden,2016,131
Males,50 - 54,125041488,Girraween - Westmead,2016,805
Females,55 - 59,126021497,Eastwood - Denistone,2016,883
Males,5 - 9,127011504,Ashcroft - Busby - Miller,2016,765
Males,20 - 24,106011107,Branxton - Greta - Pokolbin,2016,306
Males,15 - 19,120031391,Burwood - Croydon,2016,666
Males,30 - 34,124031457,Cambridge Park,2016,666
Males,80 - 84,113011258,Leeton,2016,121
Females,45 - 49,119011354,Bass Hill - Georges Hall,2016,681
Males,10 - 14,114011280,Sussex Inlet - Berrara,2016,100
Females,40 - 44,128011531,Sylvania - Taren Point,2016,572
Females,70 - 74,124051470,St Clair,2016,217
Females,85 and over,127021513,Canley Vale - Canley Heights,2016,275
Females,65 - 69,101021011,Queanbeyan Region,2016,411
Males,40 - 44,124031464,Penrith,2016,432
Males,50 - 54,124041466,Richmond - Clarendon,2016,396
Males,50 - 54,105031102,Dubbo - West,2016,261
Females,45 - 49,115041302,Rouse Hill - Beaumont Hills,2016,976
Females,0 - 4,123021441,Leumeah - Minto Heights,2016,609
Females,20 - 24,104021087,Dorrigo,2016,53
Males,30 - 34,107031139,Kiama Downs - Minnamurra,2016,184
Males,35 - 39,125031486,Smithfield Industrial,2016,2
Females,70 - 74,103011059,Bathurst - East,2016,177
Females,70 - 74,119041380,Monterey - Brighton-le-Sands - Kyeemagh,2016,337
Females,25 - 29,125031479,Chester Hill - Sefton,2016,658
Females,30 - 34,119021364,Kingsgrove (North) - Earlwood,2016,797
Females,75 - 79,122021422,Newport - Bilgola,2016,179
Females,75 - 79,119041382,Sans Souci - Ramsgate,2016,398
Females,40 - 44,102011030,Calga - Kulnura,2016,151
Females,85 and over,104021086,Coramba - Nana Glen - Bucca,2016,14
Females,25 - 29,102011034,Kincumber - Picketts Valley,2016,170
Males,75 - 79,121011400,Lane Cove - Greenwich,2016,338
Females,10 - 14,107011134,Unanderra - Mount Kembla,2016,517
Males,80 - 84,103021068,Parkes Region,2016,44
Females,60 - 64,114011280,Sussex Inlet - Berrara,2016,221
Males,25 - 29,103011061,Oberon,2016,155
Males,65 - 69,106031123,Seaham - Woodville,2016,176
Males,45 - 49,108041163,Port Macquarie - East,2016,871
Males,50 - 54,103011058,Bathurst,2016,682
Males,5 - 9,102021044,Bateau Bay - Killarney Vale,2016,800
Males,70 - 74,112011241,Evans Head,2016,187
Males,10 - 14,119021363,Canterbury (South) - Campsie,2016,765
Males,50 - 54,124011453,Lawson - Hazelbrook - Linden,2016,399
Males,40 - 44,102011032,Gosford - Springfield,2016,634
Females,80 - 84,102021051,Ourimbah - Fountaindale,2016,31
Males,45 - 49,123011433,Camden - Ellis Lane,2016,428
Males,55 - 59,112021245,Casino Region,2016,318
Females,80 - 84,119031371,Oatley - Hurstville Grove,2016,146
Males,80 - 84,107041146,Figtree - Keiraville,2016,238
Males,80 - 84,101041026,Moruya - Tuross Head,2016,138
Females,70 - 74,127021513,Canley Vale - Canley Heights,2016,275
Females,15 - 19,118011345,Paddington - Moore Park,2016,272
Males,75 - 79,124051469,Erskine Park,2016,24
Females,25 - 29,111031226,Maryland - Fletcher - Minmi,2016,441
Females,85 and over,102011030,Calga - Kulnura,2016,29
Females,65 - 69,116031317,Mount Druitt - Whalan,2016,451
Females,45 - 49,127011504,Ashcroft - Busby - Miller,2016,519
Males,5 - 9,119021365,Lakemba - Wiley Park,2016,1171
Females,80 - 84,111021217,Edgeworth - Cameron Park,2016,148
Males,5 - 9,108051170,Taree Region,2016,348
Males,70 - 74,105011094,Coonamble,2016,103
Females,65 - 69,105011095,Nyngan - Warren,2016,141
Females,45 - 49,106021115,Maitland - East,2016,964
Females,85 and over,123011435,Mount Annan - Currans Hill,2016,72
Females,45 - 49,111011207,Belmont South - Blacksmiths,2016,202
Females,85 and over,105011095,Nyngan - Warren,2016,74
Females,70 - 74,120011385,Drummoyne - Rodd Point,2016,394
Males,5 - 9,102021049,Jilliby - Yarramalong,2016,107
Females,40 - 44,120011383,Concord - Mortlake - Cabarita,2016,853
Females,70 - 74,103021065,Forbes,2016,253
Females,0 - 4,125031485,Merrylands - Holroyd,2016,1185
Females,65 - 69,111021221,West Wallsend - Barnsley - Killingworth,2016,180
Females,45 - 49,121011402,Willoughby - Castle Cove - Northbridge,2016,1126
Males,55 - 59,109021177,Hay,2016,127
Females,30 - 34,112011242,Lennox Head - Skennars Head,2016,254
Females,60 - 64,102011038,Saratoga - Davistown,2016,210
Males,45 - 49,127011507,Green Valley - Cecil Hills,2016,1110
Males,10 - 14,104011081,Grafton Region,2016,480
Females,30 - 34,115011292,Castle Hill,2016,933
Females,0 - 4,108041163,Port Macquarie - East,2016,770
Females,0 - 4,104021089,Sawtell - Boambee,2016,536
Males,45 - 49,101021012,Queanbeyan West - Jerrabomberra,2016,608
Males,80 - 84,119031373,Riverwood,2016,138
Males,30 - 34,114011278,Nowra,2016,716
Males,10 - 14,108051170,Taree Region,2016,366
Females,55 - 59,111011209,Glendale - Cardiff - Hillsborough,2016,773
Males,75 - 79,110011189,Walcha,2016,77
Males,20 - 24,111011210,Mount Hutton - Windale,2016,283
Males,50 - 54,115011290,Baulkham Hills (East),2016,687
Females,45 - 49,128021536,Oyster Bay - Como - Jannali,2016,816
Females,20 - 24,103021068,Parkes Region,2016,64
Females,30 - 34,110041201,Quirindi,2016,213
Males,10 - 14,120031394,Dulwich Hill - Lewisham,2016,421
Males,35 - 39,121011399,Chatswood (West) - Lane Cove North,2016,1006
Males,70 - 74,112031250,Kingscliff - Fingal Head,2016,353
Females,55 - 59,120011385,Drummoyne - Rodd Point,2016,611
Females,15 - 19,124031461,Jamisontown - South Penrith,2016,519
Males,50 - 54,119021366,Punchbowl,2016,625
Females,25 - 29,121021404,Berowra - Brooklyn - Cowan,2016,229
Females,80 - 84,116031313,Bidwill - Hebersham - Emerton,2016,94
Males,45 - 49,102011042,Woy Woy - Blackwall,2016,442
Males,20 - 24,112011240,Byron Bay,2016,248
Females,55 - 59,103031071,Lithgow Region,2016,322
Males,75 - 79,105021097,Broken Hill,2016,285
Females,65 - 69,109031184,Moama,2016,261
Females,60 - 64,112031252,Murwillumbah Region,2016,448
Females,10 - 14,101031014,Cooma,2016,168
Males,60 - 64,117011325,Sydney Airport,2016,0
Females,15 - 19,102021048,Gorokan - Kanwal - Charmhaven,2016,683
Males,25 - 29,114021286,Mittagong,2016,251
Females,0 - 4,122021423,Warriewood - Mona Vale,2016,811
Females,30 - 34,122031427,Forestville - Killarney Heights,2016,257
Females,45 - 49,124051471,St Marys - Colyton,2016,864
Females,85 and over,116011303,Blacktown (East) - Kings Park,2016,181
Males,55 - 59,102021044,Bateau Bay - Killarney Vale,2016,633
Males,70 - 74,105031099,Coonabarabran,2016,255
Males,55 - 59,125031481,Granville - Clyde,2016,547
Females,75 - 79,101041020,Bega-Eden Hinterland,2016,113
Males,35 - 39,122031431,Narrabeen - Collaroy,2016,921
Males,85 and over,117021328,Sydenham - Tempe - St Peters,2016,41
Males,25 - 29,103021062,Condobolin,2016,171
Males,55 - 59,116011308,Seven Hills - Toongabbie,2016,690
Females,50 - 54,124031462,Kingswood - Werrington,2016,527
Males,30 - 34,101021009,Queanbeyan,2016,582
Females,25 - 29,128021533,Heathcote - Waterfall,2016,164
Males,5 - 9,101021010,Queanbeyan - East,2016,136
Males,35 - 39,104011081,Grafton Region,2016,326
Males,40 - 44,120021388,Leichhardt - Annandale,2016,1275
Males,65 - 69,123011433,Camden - Ellis Lane,2016,364
Females,60 - 64,109011172,Albury - East,2016,373
Females,65 - 69,124021456,Blue Mountains - South,2016,0
Females,25 - 29,127021517,Greenfield Park - Prairiewood,2016,284
Males,15 - 19,107031142,Shellharbour - Oak Flats,2016,353
Females,55 - 59,111031235,Wickham - Carrington - Tighes Hill,2016,293
Females,85 and over,103041076,Blayney,2016,94
Males,40 - 44,127021511,Cabramatta - Lansvale,2016,768
Males,75 - 79,111021220,Wangi Wangi - Rathmines,2016,179
Males,40 - 44,114021284,Bowral,2016,338
Females,70 - 74,115031300,Kurrajong Heights - Ebenezer,2016,389
