SA2_CODE,ENG_NOT_WELL,ENG_ONLY,ENG_UNKNOWN,ENG_V_WELL,ENG_WELL,ENG_NOT_WELL_CHILD,ENG_NOT_WELL_RETIRED,ENG_NOT_WELL_WORKING_AGE,ENG_ONLY_CHILD,ENG_ONLY_RETIRED,ENG_ONLY_WORKING_AGE,ENG_UNKNOWN_CHILD,ENG_UNKNOWN_RETIRED,ENG_UNKNOWN_WORKING_AGE,ENG_V_WELL_CHILD,ENG_V_WELL_RETIRED,ENG_V_WELL_WORKING_AGE,ENG_WELL_CHILD,ENG_WELL_RETIRED,ENG_WELL_WORKING_AGE,PERC_ENG_ONLY,PERC_ENG_NOT_WELL,ENG_PROFICIENT
124011451,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,7
124011452,118,11049,871,792,399,17,39,62,1668,2591,6790,100,226,545,81,154,557,14,76,309,0.8352105223372893,0.00891979741477058,12240
124011453,15,10134,465,512,125,5,7,3,2068,1518,6548,101,91,273,71,105,336,10,35,80,0.9007199360056883,0.001333214825348858,10771
124011454,66,19895,670,796,166,16,22,28,3926,3567,12402,111,178,381,125,161,510,22,56,88,0.9213634048071134,0.003056546102903719,20857
124011455,16,5337,303,332,71,7,9,0,899,1442,2996,43,94,166,44,78,210,7,22,42,0.8808384221818782,0.0026406997854431426,5740
124021456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0
124031457,93,13563,716,899,324,17,28,48,2946,1581,9036,150,98,468,120,102,677,34,102,188,0.869701827508817,0.00596344982366143,14786
124031458,316,19105,1272,2288,743,85,95,136,4762,1334,13009,291,150,831,372,153,1763,89,157,497,0.8053026471084134,0.013319844882819086,22136
124031459,71,12611,684,605,225,14,30,27,2621,2073,7917,88,96,500,80,122,403,22,89,114,0.8883488306565229,0.005001408847562693,13441
124031460,174,17518,738,2146,599,28,54,92,4450,1191,11877,180,90,468,324,161,1661,78,110,411,0.8272963400236127,0.0082172373081464,20263
124031461,160,14678,897,1121,420,27,51,82,3157,2195,9326,178,171,548,172,141,808,46,111,263,0.849617967122019,0.009261403102570039,16219
124031462,364,13801,1319,2918,1197,95,90,179,3220,1559,9022,325,204,790,503,146,2269,157,145,895,0.7041685800295934,0.01857237614163988,17916
124031463,90,7413,578,1127,340,11,45,34,1785,767,4861,122,85,371,140,139,848,35,119,186,0.7763929618768328,0.009426057813154587,8880
124031464,240,10057,1078,1328,595,41,70,129,1691,1839,6527,180,207,691,220,116,992,62,99,434,0.7562791397202587,0.018047826740863287,11980
124031465,13,4581,242,245,63,0,7,6,1051,437,3093,42,42,158,30,34,181,9,21,33,0.8905520995334371,0.002527216174183515,4889
124041466,108,11931,870,654,254,10,40,58,2188,2256,7487,118,227,525,73,88,493,17,79,158,0.8635014836795252,0.007816457986538322,12839
124041467,68,13679,749,601,209,10,19,39,2961,1416,9302,146,98,505,70,85,446,24,57,128,0.8937018162811969,0.004442702208284333,14489
124041468,58,5286,1427,444,115,3,29,26,1158,576,3552,87,80,1260,46,53,345,0,45,70,0.7211459754433833,0.00791268758526603,5845
124051469,89,4825,257,973,296,19,26,44,997,275,3553,62,23,172,126,58,789,33,47,216,0.7492236024844721,0.013819875776397516,6094
124051470,405,14484,1024,2924,1041,67,107,231,3283,1132,10069,255,132,637,440,222,2262,98,195,748,0.7286447328705101,0.02037428312707516,18449
