SA2_CODE,Aboriginal_Persons_15 - 65,Aboriginal_Persons_Over 65,Aboriginal_Persons_Under 15,Both Aboriginal and Torres Strait Islander_Persons_15 - 65,Both Aboriginal and Torres Strait Islander_Persons_Over 65,Both Aboriginal and Torres Strait Islander_Persons_Under 15,Torres Strait Islander_Persons_15 - 65,Torres Strait Islander_Persons_Over 65,Torres Strait Islander_Persons_Under 15,total_indigenous_population
801041043,7,0,0,0,0,0,0,0,0,7
801041044,94,0,30,0,0,0,0,0,0,124
801041045,0,0,0,0,0,0,0,0,0,0
801041046,280,5,72,7,0,0,11,0,6,381
801041047,126,0,41,3,0,0,0,0,0,170
801041048,127,0,24,3,0,0,0,0,0,154
801041116,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0
801041118,17,0,3,0,0,0,0,0,0,20
801041119,0,0,0,0,0,0,0,0,0,0
801041120,0,0,0,0,0,0,0,0,0,0
801041121,0,0,0,0,0,0,0,0,0,0
801041122,0,0,0,0,0,0,0,0,0,0
801051049,22,0,0,0,0,0,0,0,0,22
801051050,127,3,21,6,0,3,0,0,0,160
801051051,138,3,8,3,0,0,7,0,0,159
801051053,63,0,0,0,0,0,0,0,0,63
801051054,34,0,9,0,0,0,0,0,0,43
801051055,99,3,14,0,0,0,0,0,0,116
801051056,80,0,22,0,0,0,0,0,0,102
801051057,65,0,13,0,0,0,3,0,0,81
801051058,89,3,15,0,0,0,0,0,0,107
801051060,63,0,0,0,0,0,0,0,0,63
801051061,98,6,20,0,0,0,3,0,0,127
801051123,0,0,0,0,0,0,0,0,0,0
801051124,30,0,3,0,0,0,0,0,0,33
801051125,32,0,0,4,0,3,3,0,0,42
801051126,0,0,0,0,0,0,0,0,0,0
801051127,45,0,0,0,0,0,0,0,0,45
801051128,0,0,0,0,0,0,0,0,0,0
801061062,49,0,6,0,0,0,0,0,0,55
801061063,5,0,3,0,0,0,0,0,0,8
801061064,38,3,3,3,0,0,6,0,0,53
801061066,0,0,0,0,0,0,0,0,0,0
801061067,245,7,60,5,0,3,3,0,0,323
801061068,0,0,0,0,0,0,0,0,0,0
801061069,17,0,0,3,0,0,6,0,0,26
801061070,34,0,3,5,0,0,0,0,0,42
801061129,17,0,0,0,0,0,0,0,0,17
801061130,5,0,3,0,0,0,0,0,0,8
801061131,70,0,3,0,0,0,0,0,0,73
801071071,264,0,54,7,0,3,7,0,0,335
801071072,136,0,23,0,0,0,0,0,0,159
801071073,167,6,16,4,0,0,4,0,3,200
801071074,183,0,31,0,0,0,3,0,0,217
801071075,200,7,37,0,0,0,0,0,0,244
801071076,31,0,10,0,0,0,0,0,0,41
801071077,100,0,27,0,0,0,4,0,0,131
801071078,323,3,50,0,0,0,5,0,3,384
801071079,121,4,22,0,0,0,0,0,0,147
801071080,43,0,4,0,0,0,0,0,0,47
801071081,173,0,45,0,0,0,3,0,0,221
801071082,529,9,118,23,0,8,28,0,11,726
801071083,23,0,0,3,0,0,0,0,0,26
801071084,187,0,24,3,0,0,0,0,0,214
801071085,0,0,0,0,0,0,0,0,0,0
801071086,68,0,21,0,0,0,4,0,0,93
801071087,171,0,49,0,0,0,0,0,0,220
801071088,195,0,46,6,0,4,6,0,0,257
801071089,0,0,0,0,0,0,0,0,0,0
801071090,332,0,55,7,0,0,7,0,0,401
801071132,0,0,0,0,0,0,0,0,0,0
801081091,27,3,5,0,0,0,0,0,0,35
801081092,61,0,10,0,0,0,0,0,0,71
801081093,48,0,14,0,0,0,0,0,0,62
801081094,63,0,11,0,0,0,0,0,0,74
801081095,109,5,23,0,0,0,4,0,0,141
801081096,35,3,11,4,0,0,3,0,0,56
801081097,64,0,15,0,0,0,0,0,0,79
801081098,62,0,14,3,0,0,0,0,0,79
801081133,0,0,0,0,0,0,0,0,0,0
801091099,63,0,9,3,0,0,0,0,0,75
801091100,68,0,12,5,0,0,0,0,0,85
801091101,49,0,7,3,0,0,0,0,0,59
801091102,37,0,12,0,0,0,0,0,0,49
801091103,61,0,7,0,0,0,0,0,0,68
801091104,20,0,3,0,0,0,0,0,0,23
801091105,63,3,10,7,0,4,0,0,0,87
801091106,93,0,16,0,0,0,0,0,0,109
801091107,0,0,0,0,0,0,0,0,0,0
801091108,57,0,8,7,0,3,0,0,0,75
801091109,66,0,3,0,0,0,0,0,0,69
801091110,32,3,7,0,0,0,0,0,0,42
801101134,0,0,0,0,0,0,0,0,0,0
801101135,29,0,6,0,0,0,8,0,0,43
801101136,0,0,0,0,0,0,0,0,0,0
801101137,0,0,0,0,0,0,0,0,0,0
801101138,0,0,0,0,0,0,0,0,0,0
801101139,15,0,0,4,0,3,0,0,0,22
801111140,4,0,3,0,0,0,0,0,0,7
801111141,0,0,0,0,0,0,0,0,0,0
897979799,0,0,0,0,0,0,0,0,0,0
899999499,57,0,3,0,0,0,0,0,0,60
901011001,3,0,0,0,0,0,8,0,0,11
901021002,0,0,0,0,0,0,6,0,0,6
901031003,333,14,52,0,0,0,0,0,0,399
901041004,11,0,3,0,0,0,0,0,0,14
997979799,0,0,0,0,0,0,0,0,0,0
999999499,3,0,0,0,0,0,0,0,0,3
