SA2 Code (2016),Median commuting distance to work from place of usual residence,Average commuting distance from usual place of residence,Median Commuting Distance to Place of Work (Kms),Average Commuting Distance to Place of Work kms,Method of travel to work - walking,Method of travel to work - bus,Method of travel to work - motor bike/scooter,Method of travel to work - car (as passenger or driver),Method of travel to work - bike,Method of travel to work - train,Method of travel to work - other (inc taxis)
124031459,16.1,22.2,8.7,15.5,78,34,32,4910,22,473,32
118011341,5.8,7.4,6.8,13,766,663,131,2619,218,2229,101
118011344,8.1,8.8,1.1,6.4,163,324,107,3169,24,96,69
118011347,4.6,6.4,4.3,10.2,338,336,36,1467,52,864,70
118021348,7.7,9,2.4,7,653,3315,281,6417,363,128,138
119011354,10,12.6,6.4,9.5,93,108,20,5596,16,363,56
119011356,10.4,12.4,14,18.9,65,49,12,3069,7,278,39
104021091,20.4,20.3,8.3,15.2,128,23,28,3798,12,null,36
119011357,8.5,10.5,8,13,149,139,19,6195,11,469,90
105011092,1.4,27.7,1.4,29.1,252,7,23,834,15,null,27
119011358,15.8,15.2,8.5,12.8,99,130,22,4595,12,1240,52
105011093,2,15.4,2,17.5,135,9,19,1343,18,null,28
105011096,1.4,34.3,1.4,33.4,263,7,10,1308,12,3,31
119011360,15.2,15.3,5.8,10.1,137,94,23,4479,22,1234,40
107011545,8.4,18.9,8.1,12.2,63,87,35,3817,11,70,35
107011546,9.3,19.4,11.9,16.4,73,56,11,2319,17,51,14
119011361,10.5,12.5,5.1,9.3,105,119,26,5044,11,868,63
109031184,4.9,14.6,5.4,13.5,54,7,3,1882,19,3,13
120011383,11.6,11.5,6,10.4,243,244,66,6446,71,899,81
120011384,13.5,12.5,13.9,17.5,580,166,50,5338,80,4126,120
120011386,9.3,10.2,5.9,10.5,209,1323,120,5961,110,154,85
119011571,12.3,12.9,9.3,13.1,193,138,8,3603,11,962,61
119031371,14,13.5,4.6,10.7,124,40,20,3236,21,1489,31
119031372,14.7,14.4,7.9,12.7,82,79,25,5172,17,870,37
102011038,12.4,26.5,1.1,7.1,31,37,11,2352,5,55,7
119031370,13.5,13.2,4.8,9.1,119,68,22,3250,7,1435,35
119031368,13.4,12.9,5.8,10.4,555,181,25,4599,14,3093,43
102011040,17.1,33.9,2.8,9.4,199,128,43,5435,41,705,63
119031373,14.8,14.3,6.7,11.1,107,91,23,2188,3,1141,23
102021045,19.7,32.3,7.1,13,24,40,23,3589,3,56,20
119041378,12,11.9,10.7,14.6,568,84,31,2265,18,1696,35
119041375,10.1,11.1,8.1,13.3,242,145,52,4381,74,3974,81
102021050,22.8,31.4,11.8,17.9,53,24,10,3067,3,33,21
102021052,32.2,39.1,2,11.8,28,19,3,1870,null,11,17
119041377,11.8,12,4.9,8.5,100,113,29,3171,18,1261,51
119041379,12.8,12.7,5.8,9.9,223,75,22,4154,16,1966,49
102021053,15,24.9,6.4,12.1,130,144,23,4229,22,61,33
102021054,16.1,27.5,7.8,12.9,64,27,13,2584,5,35,22
120031391,10.6,10.5,9.5,13.8,690,317,54,4129,56,3718,60
125031480,10,13.2,11.7,15.9,73,48,10,3287,14,568,35
102021055,14.8,28.9,14.4,19.1,79,17,11,1696,8,120,5
103011059,5,14.5,5.8,12.7,88,19,15,3881,23,4,26
120031575,12.2,11.8,9.5,13.8,436,352,35,5246,29,3755,72
103011060,18.5,26.8,9.6,21.7,81,9,14,2189,3,null,24
103021062,3.2,35.9,3.2,35.8,226,27,19,1707,6,null,42
103021064,14.7,21.2,4.6,15.4,105,3,24,1427,5,null,22
125031482,10.6,14.1,12.2,15,102,324,41,8479,26,560,68
103021065,2.9,15.5,2.9,14.6,199,22,17,2979,14,null,46
120031576,12.2,11.5,12.9,17.7,22,55,10,1017,null,118,7
103021067,2.4,12.1,2.3,9.5,202,13,17,3319,17,null,43
103021068,20.5,26.7,26.6,28.4,108,3,8,758,3,null,21
126011496,13.3,15,7.9,14,216,365,58,5195,35,1979,54
125031484,10.1,13.4,5.9,10.7,94,210,18,5274,11,764,67
121011399,9.1,9.3,8.5,12.8,707,1673,120,4860,131,1516,61
103031071,17.9,30,16.3,27.4,124,13,6,2352,4,19,24
103011058,4.3,13,4.7,13.8,526,28,36,7933,58,17,70
105021098,94.3,97.8,110.6,101.9,174,6,23,366,3,null,29
105031099,3.1,23.5,2.3,20,245,17,34,1710,5,null,36
105031105,9.9,24.3,7,22.7,161,9,11,1769,13,null,40
121021404,24.3,23.5,2.5,15,119,20,45,3487,14,795,33
121021577,15.5,15.4,11.6,19,543,47,21,2283,14,2196,36
123021441,19.7,23.9,5.9,11.8,80,83,31,5164,13,782,31
127031599,13.7,16.1,7.4,13.4,50,89,18,2468,3,143,23
128011529,14.1,16.2,4,8.4,170,26,44,5869,37,1176,39
123031446,28.7,33,25.8,29,78,14,13,3626,7,99,16
124011449,13.2,29.4,2.7,13.2,81,14,7,1381,15,118,11
124011451,null,13.3,31,35.8,null,null,null,null,null,null,null
127021520,13.9,16.3,6.6,11.9,29,92,11,3108,3,249,22
124051581,16.6,19.5,10.9,17.2,128,78,39,4397,20,555,41
127021521,0.4,3.3,16.4,20.2,null,null,null,null,null,null,null
122011418,10.9,10.5,3.9,8.4,265,1644,149,4987,135,25,91
122031428,11.6,12.6,11.5,16.4,208,1229,129,7742,70,47,74
123011433,16.6,24.6,9.2,15.9,76,36,17,4738,3,97,26
125011473,13.7,13.4,16.3,20.5,276,229,36,5473,67,730,79
123011434,18.2,23.3,8.4,15.1,91,54,35,8200,25,229,54
128011530,11.2,14,7.3,12.5,407,60,39,5483,30,1077,60
125021478,10.8,13.1,3.9,9,94,272,46,5295,24,479,39
128011531,12.3,13.9,7,12.1,95,70,31,4932,20,299,43
105031106,7.7,22.5,3.5,18.5,167,14,22,1979,4,3,38
128011603,11.4,14.4,0.5,6.2,69,25,25,4021,20,524,29
128011604,18.8,19.2,7.1,13.8,488,44,68,8149,98,1532,59
125041491,13.7,15.3,13.5,16.5,486,776,37,4993,23,1580,53
128011606,11.1,14.7,3.5,9.2,89,10,19,2688,23,412,17
128021536,19,17.9,4.3,9.1,112,37,30,6058,45,1901,47
128021538,18.7,17.4,8.1,15,256,54,61,6081,55,2307,60
123011435,20.9,24.9,10.7,17.7,102,132,59,11533,32,486,61
123021436,18.6,24.7,8.8,16.3,75,94,42,5510,11,372,44
123021442,22.7,23.3,11.1,15.5,86,87,31,5678,13,1827,48
128021607,19.3,20.6,4.4,11.3,155,18,35,5514,18,827,33
128021609,21,22.8,null,6.9,24,13,8,1441,11,133,8
106011109,25.1,34,17.9,25.3,47,9,9,2396,null,8,12
106011112,7.6,22.8,9.9,26.3,304,24,45,5829,26,6,125
106011113,23.6,30.5,48.7,52.2,51,4,26,1491,null,4,15
123031445,37.4,36.9,10.5,22.7,41,3,3,2041,5,33,18
124011455,9.1,30.7,5,12.6,43,4,7,1578,3,168,10
106021114,15.6,23.6,11.1,19.1,88,17,12,2280,11,24,16
106021115,14.2,20.8,8.8,14.9,171,56,46,9440,40,82,48
106021117,16.3,24.2,12.6,19.1,124,61,40,7715,19,33,55
124031464,16.1,20.5,9.9,16.5,276,72,31,3617,25,584,35
106021118,17.3,21.1,16.8,20.7,54,17,26,4003,12,36,28
124031465,29.5,30.3,8.2,18,30,14,8,2061,3,19,9
124041466,14.4,20.1,14.9,19.3,221,29,41,4525,70,248,35
124041468,16.1,20.4,12.5,17.1,100,6,6,2192,3,64,37
125011582,11.5,13.3,10.2,13.8,215,56,16,3355,12,1427,64
106031120,33.2,32.8,2.7,12.8,32,24,17,1695,9,null,13
106031121,6.7,25.6,5.7,14,251,73,33,5682,38,12,50
106031122,18,20.4,21.2,24,114,54,39,4205,14,3,30
125021476,11.6,14.1,5.3,9.3,204,716,57,7552,33,850,61
125031485,10.5,13.2,6.7,10.7,214,392,30,7213,32,1343,129
125031486,1.8,1.8,16.5,20.1,null,null,null,null,null,null,null
125041489,11.9,13.5,12.1,15.8,911,669,47,5200,90,1194,70
125041588,13.1,15.6,12.5,16.2,96,65,13,3053,13,1182,31
125041589,13.7,15.2,7.1,11,238,262,14,3289,16,1714,61
127011506,23.2,26.3,12,16.8,105,32,25,6211,3,337,47
127021511,11.8,14.8,7.1,10.9,406,77,19,5610,24,1144,53
127021514,12.7,16.7,3.3,7.5,26,77,4,3068,3,185,29
127021518,12.4,15.5,15.4,18.9,45,11,3,1377,null,32,20
127021519,10.8,14,9.6,14.2,100,118,30,4838,22,286,41
126021590,10.9,11.2,2.4,8.9,31,154,15,1381,16,39,13
106031123,21.4,26.7,6.5,14.6,26,3,15,2056,null,4,10
106041126,6.1,15.4,16,32.1,122,13,39,3869,13,9,19
106041127,21,24.9,22.7,37.3,79,4,16,1301,null,null,15
106041128,3.7,16.3,4.2,16,121,6,8,1986,12,3,19
106041129,17.2,29.2,12.3,26.9,222,17,26,2426,8,3,53
127011505,16.2,18.9,13.8,17.4,135,13,12,2405,4,110,30
127011595,15.9,18.1,7.7,13.7,16,138,7,4201,3,213,30
127011597,18,20.5,6.2,12.5,28,75,19,5475,6,283,27
127021510,11.5,15.5,4.4,8.8,63,160,9,6082,7,244,40
127031523,14.6,16.4,13.9,18.6,99,92,37,6272,22,556,43
107011131,13.5,22.1,8.6,11.4,92,100,39,7428,16,187,55
107011132,14.9,22.7,11.4,17,30,38,20,3328,13,78,13
107011133,null,null,14.4,17.8,null,null,null,null,null,null,null
107011134,8.5,18.6,9.9,14.8,58,81,41,5421,34,135,40
105031102,4.7,8.5,5.2,11,79,16,27,3128,17,null,29
127031598,13.4,15.7,12,16.4,551,199,24,5296,14,986,62
128011602,13.2,14.7,7.5,13,260,33,21,3814,23,819,49
110011189,1.9,21.5,1.9,23.3,104,3,26,802,null,3,30
110021190,2.3,14.9,2.3,15,217,10,19,2081,14,4,29
110021192,19.6,29.3,2.7,25.6,92,7,26,1112,null,null,21
110021194,3.7,25,2.7,23.1,134,16,16,1402,7,null,38
107031141,15.1,23.4,6.3,12.3,76,59,19,6358,18,114,41
108051168,17.6,20.9,3.3,12.1,94,20,22,2816,8,3,26
108051169,4.1,10.6,11.2,16.4,231,32,43,5058,40,5,51
109011172,7.6,10.9,7.2,13.7,198,20,45,6000,54,3,32
108011151,21.1,33.7,7.7,23.7,92,10,6,1246,6,5,9
108011152,3.5,11.3,3.6,12.3,170,20,17,3356,46,5,20
108011153,21.1,26.9,8.1,16.3,85,9,5,1369,4,3,23
108011154,3.1,10.3,5.8,13.2,111,9,5,1130,17,null,21
108021156,18.6,22.1,11.6,19.5,171,17,9,2300,19,null,31
108021157,6.9,14.3,12.4,16.4,71,10,8,1129,6,4,22
108021158,4.9,13.3,6.7,12.8,74,14,11,1356,null,3,14
108041165,20.6,24.2,12.6,21.5,64,7,16,1523,3,null,25
108041166,15.4,15.1,9.2,14.5,108,8,27,3222,9,null,22
101021007,19.5,38,4.2,17.1,114,11,5,1006,5,3,16
101031015,20.6,33.1,4.5,23.6,77,7,6,1014,null,null,14
101031016,17.7,25.5,15.2,28.4,399,30,5,2386,29,23,73
101041018,7.7,17.1,4,10.2,71,25,10,2121,16,3,27
101021009,9.7,10.7,8.5,16,239,112,67,4367,54,3,34
103041076,22.2,23.7,22.2,24.8,137,14,18,2287,3,4,21
104011080,3.2,9.2,5.9,16.3,315,22,37,4811,120,5,38
102011033,22.1,32.4,15,19.4,28,29,16,2309,9,66,19
113011256,3.8,7.5,3.8,9.5,213,15,32,7095,44,8,61
110041200,19.9,27.4,39.5,41.6,118,21,4,1186,3,3,23
110041202,4.8,8.3,4.5,10,251,46,65,7229,49,4,58
110041204,4.8,8.5,7.3,12.8,74,10,22,1507,9,null,17
102011034,13.3,26.6,6.9,11,50,23,11,2080,9,69,17
102011035,10.4,26.5,6.3,12.7,11,33,16,2234,6,245,19
104021087,8.4,20.1,5.6,14.3,91,10,7,674,4,null,9
102011036,11.7,26.4,12.8,15.6,51,19,21,2715,8,259,11
111011206,13.1,17.6,8.4,13.2,131,89,39,5917,25,6,31
111011207,16,19.7,3.8,9.4,33,45,7,1752,7,null,8
111011212,22.3,26.7,4.1,11.5,78,51,13,3539,13,13,15
102011037,12.8,32.2,7.2,11.2,30,32,11,1650,17,389,16
102011043,10.1,26.1,7.5,13.2,76,71,28,3184,10,262,20
107011547,11.6,21,7.6,10.2,21,31,8,1221,7,12,16
111011213,12.5,17.7,2.1,7.3,47,34,28,4381,23,16,23
111021216,25.9,32.3,3,18.4,23,15,13,2706,3,57,21
111021220,23.1,27.4,4.6,14.5,34,11,12,2903,5,36,23
113011258,3.3,10.7,3.4,10.4,178,7,13,3386,26,4,21
113011259,3,18.8,2.3,17.4,164,7,8,1650,11,null,27
113021261,2.1,9.4,2.7,12.1,106,3,4,1951,12,4,14
113031263,2.6,13.1,2.6,12,143,16,21,2050,20,null,27
113031264,6,19.3,4.9,16.7,95,8,14,1103,null,null,22
113031268,7.1,12.6,11.9,16.1,45,8,12,1749,16,null,15
107031137,16.3,22.8,8.3,14.1,22,18,14,2264,13,66,18
