SA2_CODE,Commercial,Education,Hospital/Medical,Industrial,MIGRATORY,NOUSUALRESIDENCE,OFFSHORE,Other,Parkland,Primary Production,Residential,SHIPPING,Transport,Water,PERC_OPEN_SPACE
102021044,0.28390000000000004,0.101,0.1041,0.1204,0,0,0,0.336,2.7147,0,7.1376,0,0.0618,0,0.24998388507758187
102021045,0.0933,0.20879999999999999,0,0,0,0,0,14.432599999999999,0.9959,0,3.6787,0,0,1.5704,0.04746969689747709
102021046,0.0356,0.0283,0,0,0,0,0,0.0366,5.6215,0,3.6311,0,0,0,0.6010306743218825
102021047,0.2906,0.0751,0.0119,1.6682000000000001,0,0,0,14.3383,3.1727,0,4.9418,0,0,0,0.12950535948993003
102021048,0.2382,0.216,0.0831,0,0,0,0,1.0877000000000001,0.9916,0.5454,8.087,0,0,0,0.08815005778291404
102021049,0,0.09609999999999999,0,0,0,0,0,116.1638,179.6346,46.1477,4.724,0,0,0,0.5180279969616417
102021050,0,0.271,0,0,0,0,0,8.2492,21.5486,0.2778,5.148,0,0,0,0.6070951637713905
102021051,0,0.8729,0,0.2515,0,0,0,49.2814,61.498000000000005,0.2285,1.9849,0,0,0,0.5389021111629098
102021052,0,0.0303,0,0,0,0,0,0,5.6242,0,3.5248,0,0,0,0.6127046724695782
102021053,0.5527,0.1186,0,0.029,0,0,0,0,6.7614,0,6.3959,0,0,0,0.48791998614478693
102021054,0.3539,0.0957,0.0714,0.412,0,0,0,0,5.6491,0,3.9395000000000002,0,0,0,0.5369050334549879
102021055,1.3656,0.1855,0,1.3783,0,0,0,12.2416,2.6131,6.1787,2.6539,0,0,1.2296,0.09384011520381524
102021056,0,0.345,0.2935,0.5763,0,0,0,9.9983,0.4652,24.672,6.5397,0,0,0,0.01084635113079972
102021057,0.2493,0.3796,0,1.7018,0,0,0,3.6478,2.1710000000000003,2.8537,4.0302,0,0,0,0.14441177644445038
103011058,1.2387,4.2184,0.0535,1.5903,0,0,0,0.5728,5.6076,90.2465,15.977,0,0,0,0.046923638213695176
103011059,0,0.6262,0,5.1896,0,0,0,0,0.6072,76.9958,10.6153,0,0,0,0.006457232004134669
103011060,0,0.0269,0,0,0,0,0,295.3924,223.1629,3219.6473,60.033300000000004,0,0,0,0.058753938774325984
103011061,0.0481,0.2296,0,2.1987,0,0,0,405.6867,988.7669999999999,1539.4605,32.702,0,0,3.2887,0.3326514670240995
103021062,0,0.2102,0.1997,0.1058,0,0,0,0.1053,225.7721,15565.7437,13.5078,0,2.3418,50.8637,0.014236347438582575
103021063,2.7199,0.2442,0.043,2.1735,0,0,0,2.136,3.1363,204.37869999999998,27.2959,0,0.0735,0,0.012949162059611646
103021064,0,0.1779,0,0,0,0,0,278.3108,192.0691,2520.6297,45.9682,0,0,0,0.06323979373201051
103021065,0.3314,0.6738,0.098,1.0709,0,0,0,0,120.6864,4368.8462,58.585899999999995,0,0,47.7512,0.0262473358779227
103021066,0.0227,0.1793,0.0235,0,0,0,0,120.4554,131.2829,3031.2232,10.8896,0,0,0,0.03985423411222436
103021067,0.2472,0.1644,0.0572,0.8946,0,0,0,0.9215,2.0786,219.6863,10.7058,0,0,0,0.008854314870443985
103021068,0,0.0922,0,0,0,0,0,22.122500000000002,219.6515,5167.0858,9.2129,0,0,0,0.04053983296078714
103021069,0.0914,0.35660000000000003,0,0,0,0,0,2.5175,85.4089,8167.3659,12.0306,0,0,49.702,0.010268611755861568
103031070,0.7739,0.3419,0.0646,0.3106,0,0,0,66.13380000000001,11.7395,27.1244,10.8701,0,0.3301,2.2955,0.09784188611186118
103031071,0,0.11069999999999999,0,0.1339,0,0,0,550.8534999999999,379.2748,1546.6834,35.6723,0,0,1.3414,0.15086087499552522
103031072,0.3044,0.1728,0.0651,0.8543,0,0,0,1.62,6.3247,45.9748,10.539,0,0.0397,0,0.09598177701427123
103031073,0,0.035699999999999996,0.0433,2.0552,0,0,0,585.1071,712.713,1536.4936,9.6055,0,0,6.0309,0.24989198250556613
103031074,0.1085,0.1401,0.0595,0,0,0,0,360.257,1430.8701,6038.8218,197.2764,0,0,16.3301,0.17788343872319567
103031075,0,0,0,0,0,0,0,1.0489,2447.6787,0,0,0,0,0,0.9995716550914034
103041076,0,0.3005,0.036,1.1135,0,0,0,46.9341,60.6349,1516.2025,13.859,0,0,3.5943,0.03691229694398429
103041077,1.5582,1.1154,0.0318,2.0924,0,0,0,5.0203,3.5853,18.1462,11.9939,0,0,1.7064,0.07923332427253983
103041078,0.0254,0.0389,0,2.3851,0,0,0,23.205,10.2661,37.5228,26.0685,0,0,0,0.10316464982042331
103041079,0,0.3174,0,0,0,0,0,45.43,332.02070000000003,4072.4849,28.8995,0,0,0.9432,0.07411018028030072
104011080,0.606,0.4696,0.1438,2.3122000000000003,0,0,0,10.2928,2.6127,65.4619,16.8316,0,0.35609999999999997,7.167,0.02458926136219256
104011081,0,0.1606,0,0,0,0,0,2167.9915,2947.2336,3268.1996,27.9735,0,0,34.3321,0.348954732531532
104011082,1.2559,0.3836,0.0896,0.8212,0,0,0,172.43959999999998,323.3676,140.9447,29.0639,0,0,42.6832,0.45477521741460125
104021083,0.1013,0.8494,0,0,0,0,0,120.536,775.4385,99.6335,4.4894,0,0,0,0.7746266138460279
104021084,1.3797,0.1693,0.031100000000000003,0.3594,0,0,0,0,4.5425,11.4719,7.7149,0,0,0,0.17696581063392133
104021085,6.724500000000001,0.816,0.39420000000000005,1.7187,0,0,0,0,10.8321,8.4072,4.8069,0,0,0,0.32143111490937576
104021086,0,0.026099999999999998,0,0,0,0,0,88.0278,154.8963,103.7995,16.8115,0,0,0.3478,0.42564569713857037
104021087,0,0.2047,0,0,0,0,0,213.4156,996.4904,769.4152,8.1455,0,0,0,0.5013355829338793
104021088,0.3767,0.0362,0,0.3432,0,0,0,2.7316000000000003,27.1673,17.0005,10.0326,0,0,0,0.4709342134686356
104021089,0.10450000000000001,0.3082,0,0.6413,0,0,0,14.572099999999999,51.8575,34.690799999999996,16.0507,0,0,0,0.438633589652282
104021090,0.2208,0.0165,0,1.1869,0,0,0,21.0715,38.78,31.8438,11.6914,0,0,3.6015,0.3577081588452981
104021091,0.3357,0.24320000000000003,0,0.3803,0,0,0,68.7041,148.8395,20.5329,30.1045,0,0,1.1012,0.5507649827154536
105011092,0.1487,0.38480000000000003,0.0467,0.2861,0,0,0,0.8211,2.6697,56682.3167,17.6789,0,0,139.3401,4.696563274650587e-5
105011093,2.1605,0.1869,0.121,6.2932999999999995,0,0,0,1957.2027,1622.7757,41919.6781,24.3947,0,0,18.5852,0.03562515680501144
105011094,2.3835,0.1433,0.058100000000000006,0.74,0,0,0,0,16.7106,12113.227499999999,8.2819,0,0,0.8085,0.0013762241510776652
105011095,0.203,0.1655,0.2565,3.7590000000000003,0,0,0,0.4699,488.2177,20710.2531,7.9282,0,4.7494,0,0.023011766924629338
105011096,6.4157,0.24459999999999998,0.1343,0,0,0,0,799.3542,180.1737,25875.3975,82.8829,0,0,67.0765,0.006670214662772875
105021097,5.2885,0.4244,0.1087,10.5171,0,0,0,48.4051,1.2405,88.7895,15.3415,0,0,0,0.007292113055086756
105021098,4.9622,0.0902,0.0428,0.1073,0,0,0,0,2634.5599,142157.8303,39.051899999999996,0,0,1853.4159,0.01796004372089001
105031099,0.0271,0.4376,0.191,1.1981,0,0,0,1263.3944,1620.704,7570.1875,17.8706,0,0.1229,0,0.15473394972674206
105031100,0.6008,1.1519000000000001,0.36869999999999997,8.7452,0,0,0,7.0094,3.2805,38.7484,27.681,0,0.1053,0,0.037409683069680885
105031101,1.5996,0.6517999999999999,0,0.9413,0,0,0,0,2.0854,7.2703999999999995,12.8633,0,0.0218,0,0.08199389783593357
105031102,9.693,0.24200000000000002,0,1.017,0,0,0,3.4687,3.3117,39.8166,11.817400000000001,0,0.0695,0,0.04769434831261638
105031103,0,0.0617,0,0.2293,0,0,0,55.7784,571.6118,3494.6715,6.2156,0,0,0,0.13845279003861946
105031104,2.0233,0.2528,0.024,0,0,0,0,0,300.482,5081.7735,8.8825,0,0,0,0.0557125148057229
105031105,3.9814,0.2381,0.0549,0.5472,0,0,0,0.5469,45.6877,5871.9617,33.1819,0,0.0537,0,0.007670543236616776
105031106,0.9045,0.16899999999999998,0.12090000000000001,0,0,0,0,115.37389999999999,1.2025000000000001,3403.3964,17.0042,0,0,65.2655,3.3370918747043974e-4
106011107,0.7488,0.0619,0,0,0,0,0,42.326100000000004,21.9425,315.7541,11.4527,0,0,0,0.055934941360399976
106011108,0.5449,0.3812,0.0384,0,0,0,0,28.2593,6.5292,19.2188,14.009500000000001,0,0,0,0.0946517389495414
106011109,0,0.15309999999999999,0,0,0,0,0,991.6127,445.1216,126.4613,6.5459,0,0,0.5395,0.28343857281244716
106011110,0.0567,0.1981,0.0286,0.0912,0,0,0,132.6405,527.5652,1524.4429,61.4031,0,0.067,3.505,0.23447359938005286
106011111,0.2629,0.1857,0.1016,1.2042,0,0,0,48.0945,8.4499,17.6953,14.6204,0,0,0,0.09325108012514553
106011112,0.4761,0.2977,0.0995,13.563,0,0,0,0,2.102,85.7084,24.985,0,0,0,0.016521039960953127
106011113,0,0.057,0,1.471,0,0,0,651.4117,1522.2647,1866.3893,7.9904,0,0,17.6508,0.374275087971929
106021114,0.6696,0.12380000000000001,0.058,0,0,0,0,0.5527,1.3708,22.2663,5.4309,0,0,1.6069,0.042732005361763144
106021115,0.6053,0.668,0,0.2073,0,0,0,5.6549,3.9416,15.9747,13.5377,0,0,0,0.09710885820224442
106021116,0,0.0548,0,0,0,0,0,0.1002,0.6553,64.1383,5.5991,0,0,0,0.00928875073177439
106021117,0.1508,0.4059,0,2.8992,0,0,0,0.1643,2.4924,149.6718,18.6387,0,0,1.0126,0.014206914556159324
106021118,0.0177,0.095,0,2.3474,0,0,0,3.634,1.3449,48.2224,5.8035,0,0,0,0.021880780738275016
106031119,0.6374,0.038,0,0,0,0,0,24.5997,33.4705,3.8164,5.488,0,0,0,0.4918515797207936
106031120,0.10909999999999999,0.0977,0,0,0,0,0,12.9822,3.5768999999999997,0,3.3671,0,0,9.8492,0.11930078513251195
106031121,1.0303,0.1855,0.4429,2.5774999999999997,0,0,0,2.0392,31.160500000000003,0,10.0403,0,0,0,0.656339386892801
106031122,0.29610000000000003,0.2814,0.0132,11.5158,0,0,0,56.127,27.462500000000002,7.1052,6.6852,0,0,0,0.25083024010288035
106031123,0,0,0,0,0,0,0,74.5067,23.8918,137.9315,11.153599999999999,0,0,0,0.09653892217504513
