SA2_CODE,Both_Parents_Born_Australia,Both_Parents_Born_Overseas,One_Parent_Born_Overseas
107011545,5458,5646,1784
107011546,3715,4198,1075
107011547,2408,1069,532
107021135,3,0,0
107031136,8847,2780,2003
107031137,4151,1383,908
107031138,4589,1670,938
107031139,3840,962,806
107031140,5027,1176,899
107031141,9131,4506,2333
107031142,5204,2869,1342
107031143,10815,5283,2728
107041144,10370,7004,2696
107041145,8477,3983,2120
107041146,10191,7149,2900
107041147,5576,1352,1334
107041148,6516,2345,1856
107041150,11959,3883,3008
107041548,5534,5116,1586
107041549,6747,7022,2022
108011151,3500,488,355
108011152,9915,1752,1409
108011153,4123,833,636
108011154,4334,747,563
108021155,10744,1001,909
108021156,6492,926,743
108021157,3587,388,388
108021158,4606,860,643
108021159,5460,828,755
108021160,3795,515,457
108031161,224,58,55
108041162,11843,2029,1615
108041163,18818,4234,3165
108041164,11430,2771,1688
108041165,3720,541,464
108041166,8301,1e3,987
108051167,3777,429,412
108051168,7472,1374,1014
108051169,15283,1925,1515
108051170,8809,1362,1127
108051171,4143,455,400
109011172,11025,1836,1360
109011173,6913,1244,808
109011174,6859,1491,972
109011175,9022,881,860
109011176,9879,2297,1070
109021177,2186,243,171
109021178,4422,513,347
109021179,2611,319,217
109031180,4138,492,392
109031181,5067,583,428
109031182,5587,624,453
109031183,5204,448,407
109031184,4470,575,365
109031185,7036,904,710
110011186,15588,3779,2097
110011187,3556,315,266
110011188,4568,504,491
110011189,2467,185,184
110021190,6506,669,553
110021191,9179,838,698
110021192,3858,455,310
110021193,4794,266,299
110021194,4761,596,461
110031195,6148,586,378
110031196,4228,267,232
110031197,5697,376,343
110031198,3710,224,217
110041199,7277,670,506
110041200,3333,167,218
110041201,6016,429,454
110041202,15962,1640,1203
110041203,11199,1533,1054
110041204,4234,417,281
110041205,14555,1180,1157
111011206,13047,1828,1865
111011207,4330,480,484
111011208,17080,3138,2611
111011209,16670,2972,2620
111011210,6408,885,884
111011211,2466,448,398
111011212,8247,1399,1278
111011213,8466,1747,1367
111011214,9259,1927,1556
111021215,6038,949,847
111021216,5906,1299,1089
111021217,10335,1820,1360
111021218,9610,2438,1809
111021219,9480,1692,1434
111021220,6374,1164,1005
111021221,5163,442,571
111031222,10757,2415,1894
111031223,6258,880,666
111031224,7525,2122,1402
111031225,11508,2500,1830
111031226,9443,2371,1284
111031227,9412,2678,1747
111031228,9369,1858,1685
111031229,6435,2029,1344
111031230,16,0,0
111031231,6082,3703,1043
111031232,5004,823,731
111031233,13051,3462,1940
111031234,7700,1980,1328
111031235,5302,1146,1020
112011236,11542,2140,1721
112011237,11610,2138,1849
112011238,3047,1132,821
112011239,4616,1628,1180
112011240,4577,2105,1250
112011241,3867,400,429
112011242,5104,1158,1024
112011243,3943,1807,1139
112021244,9766,761,785
112021245,5149,596,512
112021246,9474,1459,1144
112021247,5065,831,644
112021248,10713,1634,1549
112021249,9964,2043,1621
112031250,8439,2036,1546
112031251,5983,1245,1010
112031252,6118,1358,1124
112031253,8563,2009,1577
112031254,11328,3981,2213
112031550,10106,2777,1889
112031551,2176,474,423
112031552,4857,1827,816
113011256,9621,6008,1618
113011257,8695,1833,1e3
113011258,7141,1268,664
113011259,4620,376,305
