sa2_code,region,females,males,x0_4,x10_14,x15_19,x20_24,x25_29,x30_34,x35_39,x40_44,x45_49,x5_9,x50_54,x55_59,x60_64,x65_69,x70_74,x75_79,x80_84,x85_and_over
124051581,St Marys - North St Marys,8239,8258,1386,911,979,1376,1444,1287,1100,1039,996,1174,962,952,768,662,483,399,288,291
125011473,Homebush Bay - Silverwater,9138,10438,1470,639,654,1467,2704,3255,2268,1561,1190,960,974,819,651,474,258,115,64,53
125011475,Rookwood Cemetery,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
125011582,Auburn - Central,8140,9984,1374,950,1129,1924,2579,1844,1204,970,961,1156,936,832,676,477,393,313,170,236
125011583,Auburn - North,4979,7002,989,428,529,1425,2079,1576,971,635,578,637,551,495,329,252,210,142,97,58
125011584,Auburn - South,4307,4520,662,608,648,753,873,722,559,483,499,661,540,477,372,316,192,157,125,180
125011585,Berala,4432,4848,641,468,564,779,1032,839,601,578,548,566,579,553,478,381,205,194,156,118
125011586,Lidcombe,10037,10867,1295,829,1157,2071,2692,2196,1566,1224,1236,985,1300,1329,996,686,484,351,240,267
125011587,Regents Park,2581,2660,375,290,339,420,456,418,332,307,343,367,335,364,278,226,132,116,71,72
125021476,Carlingford,14384,14010,1726,1705,1966,1833,1645,1842,1910,1954,1943,1914,1944,1825,1580,1338,1111,900,643,615
125021477,Ermington - Rydalmere,11021,11015,1663,1277,1331,1337,1569,1815,1642,1624,1533,1464,1497,1354,1103,909,638,502,364,414
125021478,Oatlands - Dundas Valley,9366,9088,1242,1017,1164,1233,1272,1461,1318,1335,1268,1232,1340,1164,983,773,557,477,356,262
125031479,Chester Hill - Sefton,9458,9738,1399,1348,1395,1479,1419,1365,1180,1153,1251,1374,1258,1154,916,756,500,398,374,477
125031480,Fairfield - East,7926,8123,1168,1053,1101,1259,1254,1158,985,972,1026,1166,980,882,809,638,439,389,290,480
125031481,Granville - Clyde,10329,11512,1762,1221,1267,2024,2693,2231,1594,1275,1218,1356,1185,1110,900,728,492,359,242,184
125031482,Greystanes - Pemulwuy,13817,13473,2153,1676,1542,1668,1679,2055,2249,1956,1741,2105,1565,1353,1325,1492,1165,741,455,370
125031483,Guildford - South Granville,10875,11198,2018,1541,1502,1840,2077,1872,1485,1262,1151,1766,1176,1127,938,723,553,429,292,321
125031484,Guildford West - Merrylands West,10776,10749,1772,1284,1350,1776,1897,1872,1530,1268,1260,1625,1224,1160,923,771,547,472,351,443
125031485,Merrylands - Holroyd,14488,15251,2524,1604,1703,2378,2925,2943,2352,1899,1689,2120,1659,1460,1244,1038,766,555,426,454
125031486,Smithfield Industrial,0,11,0,0,0,2,1,3,2,1,0,0,0,1,0,1,0,0,0,0
125031487,Yennora Industrial,7,7,3,0,0,0,1,1,0,2,3,0,0,1,1,0,1,0,0,1
125041489,North Parramatta,11385,11687,1754,924,1103,1596,2604,3003,2318,1653,1264,1185,1222,1141,947,691,514,358,320,475
125041490,North Rocks,4203,3976,570,537,496,452,326,500,555,596,544,615,557,530,471,490,419,261,126,134
125041491,Northmead,10681,10424,2110,908,679,1029,2221,3199,2354,1488,1026,1449,842,779,692,660,526,407,303,433
125041492,Parramatta - Rosehill,14346,16134,2859,828,805,2476,5239,5990,3362,1660,1158,1518,1063,913,829,633,386,316,208,237
125041493,Toongabbie - Constitution Hill,11389,11181,1579,1307,1240,1467,1598,1848,1591,1547,1416,1468,1346,1292,1118,1001,831,775,594,552
125041494,Winston Hills,5574,5470,841,750,627,538,548,711,874,896,762,873,646,570,517,578,615,314,196,188
125041588,Pendle Hill - Girraween,6506,6783,1094,781,632,714,942,1355,1341,988,738,1106,712,638,509,503,364,315,233,324
125041589,Wentworthville - Westmead,7900,8280,1313,832,783,1015,1405,1971,1632,1157,874,1243,828,806,643,500,359,309,252,258
126011495,Epping - North Epping,14126,14000,1577,1583,1910,2367,2254,2014,1955,1912,1768,1755,1924,1786,1550,1187,796,670,518,600
126011496,Pennant Hills - Cheltenham,10878,10297,1210,1404,1489,1430,949,1001,1306,1512,1524,1487,1546,1419,1204,1103,862,659,487,583
126021497,Eastwood - Denistone,13277,12924,1496,1282,1584,2314,2265,1960,1725,1638,1610,1550,1831,1667,1537,1224,852,655,488,523
126021498,Gladesville - Huntleys Point,7694,7307,957,842,755,864,968,1095,1101,1237,1113,919,1023,888,777,754,563,441,321,383
126021499,Hunters Hill - Woolwich,5385,5470,579,831,1010,558,427,469,535,725,786,741,704,640,568,596,442,335,245,664
126021500,Macquarie Park - Marsfield,11739,10950,1393,616,1185,3157,2766,2579,1854,1269,1030,911,993,950,901,769,586,493,459,778
126021501,North Ryde - East Ryde,6428,6330,779,774,734,836,723,741,907,934,895,821,939,873,703,547,405,420,337,390
126021503,West Ryde - Meadowbank,10232,10030,1397,789,860,1425,2415,2605,1918,1410,1142,1072,1097,1041,910,745,530,403,251,252
126021590,Putney,2211,2061,227,335,329,301,181,179,213,288,373,303,341,306,248,223,138,105,83,99
126021591,Ryde,14420,13889,1891,1320,1468,2115,2747,2690,2318,1925,1813,1584,1671,1452,1269,1131,832,712,608,763
127011504,Ashcroft - Busby - Miller,9085,8834,1441,1464,1433,1387,1195,1134,1084,1021,1039,1465,1178,1138,819,627,466,519,326,183
127011505,Austral - Greendale,4463,4747,505,656,707,724,528,511,517,604,630,588,599,554,531,523,383,266,172,212
127011506,Cobbitty - Leppington,9110,9253,1862,1122,1023,1240,1908,1868,1478,1201,1002,1429,927,825,763,656,484,307,179,89
127011592,Badgerys Creek,39,23,3,7,6,7,4,3,4,1,2,2,3,5,0,4,4,2,3,2
127011593,Cecil Hills,3635,3633,381,630,661,615,491,401,385,571,571,503,600,489,381,267,143,104,54,21
127011594,Green Valley,6584,6409,806,988,1125,1100,955,853,806,862,887,962,950,892,672,423,324,190,104,94
127011595,Hinchinbrook,6408,6327,946,1028,1073,1041,893,969,894,885,888,961,940,737,555,387,235,166,87,50
127011596,Hoxton Park - Carnes Hill - Horningsea Park,6098,5911,1035,1005,964,794,824,1003,1028,964,820,1054,779,575,425,321,202,99,73,44
127011597,West Hoxton - Middleton Grange,7845,7965,1436,1334,1208,1088,1131,1389,1371,1283,1128,1424,898,721,484,398,229,141,94,53
127021509,Bonnyrigg Heights - Bonnyrigg,8398,8160,922,1159,1275,1409,1186,1129,997,1046,1121,1167,1177,1169,989,697,453,291,179,192
127021510,Bossley Park - Abbotsbury,9803,9695,1042,1291,1421,1556,1447,1116,1101,1221,1254,1158,1381,1528,1268,988,623,490,321,292
127021511,Cabramatta - Lansvale,12850,12642,1629,1471,1811,2077,2021,1808,1513,1669,1844,1509,1751,1687,1382,1050,660,563,456,591
127021512,Cabramatta West - Mount Pritchard,8926,8787,1172,1281,1348,1474,1202,1141,1092,1165,1220,1259,1157,1130,843,731,464,438,362,234
127021513,Canley Vale - Canley Heights,10869,10589,1396,1406,1597,1856,1575,1476,1311,1417,1467,1348,1505,1458,1073,804,569,436,353,411
127021514,Edensor Park,5178,5020,585,698,781,927,777,660,562,596,698,593,817,787,605,451,275,187,115,84
127021515,Fairfield,9244,9191,1255,1103,1145,1387,1551,1428,1233,1245,1247,1179,1205,1118,957,736,568,444,354,280
127021516,Fairfield - West,10048,9753,1328,1372,1473,1556,1427,1333,1247,1276,1323,1347,1297,1203,956,840,688,554,317,264
127021517,Greenfield Park - Prairiewood,4309,4327,525,575,637,634,595,516,494,534,576,571,558,625,542,456,328,233,141,96
127021518,Horsley Park - Kemps Creek,2276,2374,224,328,349,379,285,233,233,337,338,257,309,288,269,260,190,150,135,86
127021519,Smithfield - Wetherill Park,9323,9268,1207,1152,1203,1357,1348,1194,1133,1229,1129,1243,1146,1177,1094,985,676,572,447,299
127021520,St Johns Park - Wakeley,5697,5478,607,682,759,839,826,738,631,640,708,641,705,790,773,668,418,318,203,229
127021521,Wetherill Park Industrial,9,27,0,0,0,2,1,4,1,2,12,0,2,0,4,2,0,4,2,0
127031522,Casula,8272,7983,1193,1134,1201,1219,1171,1190,1054,1099,1140,1178,1054,938,794,647,409,359,234,241
127031523,Chipping Norton - Moorebank,9778,9642,1617,1226,1090,1187,1350,1511,1516,1436,1191,1479,1131,1072,976,999,762,377,256,244
127031524,Holsworthy - Wattle Grove,10487,10861,1763,1500,1618,1577,1557,1744,1648,1683,1579,1605,1394,1077,763,594,443,288,241,274
127031598,Liverpool,14246,14277,2474,1592,1508,2173,2630,2648,2292,1891,1640,1923,1625,1502,1279,1068,790,675,434,379
127031599,Lurnea - Cartwright,6085,5946,992,833,852,895,856,794,774,737,719,1035,772,688,516,457,408,361,209,133
127031600,Prestons - Edmondson Park,9197,9034,1485,1580,1544,1224,1160,1372,1422,1571,1301,1640,1137,901,634,457,281,216,137,169
127031601,Warwick Farm,2930,3122,487,267,294,486,631,697,511,372,323,356,357,353,271,224,166,127,74,56
128011529,Gymea - Grays Point,9184,8896,1175,1229,1154,1112,953,1044,1102,1396,1424,1233,1293,1139,963,825,743,528,408,359
128011530,Miranda - Yowie Bay,9714,9191,1263,1069,1064,1050,1250,1300,1246,1328,1260,1163,1188,1130,943,839,734,672,597,809
128011531,Sylvania - Taren Point,8694,8062,1013,962,919,935,804,904,984,1111,1127,988,1070,977,883,923,883,769,610,894
128011602,Caringbah,6303,5919,955,587,543,700,1028,1096,959,943,745,769,701,697,585,513,431,324,259,387
128011603,Caringbah South,6302,6182,807,848,868,769,554,584,702,908,825,919,818,876,760,690,499,393,351,313
128011604,Cronulla - Kurnell - Bundeena,12425,12321,1375,1121,1056,1550,2372,2202,1705,1610,1569,1151,1680,1770,1568,1371,991,602,498,555
128011605,Lilli Pilli - Port Hacking - Dolans Bay,1658,1605,177,277,273,225,139,112,153,229,259,212,280,245,203,164,121,82,65,47
128011606,Woolaware - Burraneer,4074,3964,471,572,575,506,444,405,453,557,621,577,583,574,482,414,274,195,153,182
128021533,Heathcote - Waterfall,3447,3234,432,412,420,396,343,340,385,496,450,477,453,381,407,298,276,229,200,286
128021534,Illawong - Alfords Point,5416,5443,548,675,766,914,743,511,556,623,679,596,857,1091,862,625,309,216,130,158
128021535,Menai - Lucas Heights - Woronora,10913,10852,1321,1519,1738,1690,1225,1162,1220,1446,1615,1437,1689,1702,1393,1040,653,374,229,312
128021536,Oyster Bay - Como - Jannali,10987,10852,1569,1504,1308,1184,966,1216,1482,1865,1625,1811,1448,1351,1201,1121,876,495,361,456
128021537,Royal National Park,16,12,2,0,2,2,5,5,4,5,1,2,0,0,0,0,0,0,0,0
128021538,Sutherland - Kirrawee,11146,10402,1553,1094,1036,1203,1825,1891,1710,1575,1344,1250,1274,1171,999,920,789,618,515,781
128021607,Engadine,8754,8668,1343,1283,1032,848,834,1119,1406,1401,1169,1521,963,883,774,969,871,455,285,266
128021608,Loftus - Yarrawarrah,3787,3664,510,534,449,461,394,416,469,570,535,574,488,433,455,385,297,254,128,99
128021609,Woronora Heights,1862,1902,183,295,347,332,191,110,178,286,333,228,327,354,268,168,89,50,15,10
197979799,Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199999499,No usual address (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
