Year,SA2 Code,highest year of school completed (persons over 15) over year 8,persons with post school qual - bachelor ,highest year of school completed (persons over 15) over year 11,highest year of school completed (persons over 15) over year 10,highest year of school completed (persons over 15) did not go to school,persons with post school qual - with a post-school qualification,persons with post school qual - grad dip/grad cert,persons with post school qual -inadequately described,highest year of school completed (persons over 15) not stated,highest year of school completed (persons over 15) over year 12,persons with post school qual - adv diploma,persons with post school qual -certificate,persons with post school qual - postgrad,highest year of school completed (persons over 15) over year 9
2016,128021533,3,12,5.8,30,0.1,62.9,1.9,7.6,4.9,48.2,10.7,27.1,3.6,7.8
2016,128021534,3.4,18.8,5.3,22.9,0.6,63.2,1.9,5.2,2.9,60.3,11.1,21,5.1,4.7
2016,128021535,2.8,16.1,6,25,0.4,62.6,2,6.1,4,56.8,11.6,22.3,4.4,5
2016,128021537,null,26.9,null,11.5,null,84.6,null,23.1,23.1,57.7,15.4,11.5,null,null
2016,127021513,10.7,9.1,5.6,14.6,7.8,35.7,0.3,7.5,6.1,49.1,6.1,11.3,1.4,6.2
2016,127021515,11.8,9.3,5.4,12.9,8.1,39.5,0.5,8.7,7.1,48.3,7.4,11.5,2.1,6.4
2016,127021516,11,8.1,5.6,16.7,6.4,38.9,0.6,8.2,6.4,46.9,7.2,13.3,1.6,6.9
2016,127021517,10.3,10.4,5,16.8,6.1,42,0.6,6.5,5,50.4,8.4,14.5,1.6,6.3
2016,127031522,5.7,13.1,5.6,18.5,2,54.5,1,10.3,8.3,54.9,9.6,17,3.4,5
2016,127031524,3.2,16.8,6.6,21.1,0.4,61.8,1.5,6.9,5.3,58.9,10.7,20.4,5.6,4.4
2016,128021608,1.8,16.1,6.3,28.5,0.1,64.5,2.4,5,3.3,54,11.6,24.9,4.7,6
