Year,SA2 Code,highest year of school completed (persons over 15) over year 8,persons with post school qual - bachelor ,highest year of school completed (persons over 15) over year 11,highest year of school completed (persons over 15) over year 10,highest year of school completed (persons over 15) did not go to school,persons with post school qual - with a post-school qualification,persons with post school qual - grad dip/grad cert,persons with post school qual -inadequately described,highest year of school completed (persons over 15) not stated,highest year of school completed (persons over 15) over year 12,persons with post school qual - adv diploma,persons with post school qual -certificate,persons with post school qual - postgrad,highest year of school completed (persons over 15) over year 9
2016,125011585,8.1,15.7,4.8,13.9,5.2,47.1,0.8,7.4,4.9,58.2,7.9,11.4,3.8,5
2016,103041076,6,9.5,6.8,32.9,0.1,57.8,1.5,12.5,10.1,35.6,7.4,24.9,1.9,8.6
2016,104011080,7.2,7,6.5,33.7,0.4,53.8,1,14.3,11.7,30.1,6.5,23.9,1.1,10.4
2016,102011033,3.1,10.3,7.3,28.1,0.4,60.6,1.2,10.1,7.7,46.7,11,25.7,2.2,6.4
2016,113011256,8.3,8.4,7,28.1,1.6,52.5,1,15.1,12.4,34.9,6.1,20.5,1.6,7.7
2016,102011034,4.2,10.8,6.9,31.2,0.1,58.1,1.6,9.2,6.4,41.5,9.2,24.8,2.5,9.6
2016,102011035,3.3,12.2,7.5,28.5,0.6,60.1,1.7,7.3,5.3,47.6,10.2,25.7,3.1,7
2016,104021087,6.2,9.4,7.2,29.5,0.4,55.2,1.8,13.2,12.1,33.8,7,22.5,1.7,10.9
2016,111021220,4.4,10.7,7.5,34.1,0.1,62.3,1.8,7.2,5.1,38.8,11,28.8,2.7,10.1
2016,102011036,3.5,12.9,7.8,28.3,0.1,60.6,1.8,7.4,5.2,48.4,10.5,25.2,3,6.7
2016,113011258,7.5,7.6,7.9,33.8,0.4,51.7,0.9,14.5,12.4,28,5.5,22,1.1,10
2016,113011259,7.4,6.6,7.2,31.5,0.6,52,1.1,17.6,15.4,27.1,5.9,20.2,0.9,10.6
2016,102011037,3.1,14.7,6.4,26.7,0.4,63.6,2,8.3,6,50.1,11.6,22.7,4.3,7.3
2016,102011043,4.4,10.1,7.6,27.2,0.3,59,1.2,12.5,9.9,42.3,9.8,23.1,2.2,8.4
2016,102021045,5.9,4.3,8.7,37,0.3,48.7,0.5,9.1,6.5,30,6.7,27.6,0.5,11.6
2016,102021050,5.5,5.5,7.1,38.2,0.1,52.7,0.7,11.1,9,27.2,7.2,27.3,0.9,12.7
2016,102021052,4.8,5.8,7.4,39.4,0.3,53.7,0.8,8,6,30.4,7.3,30.7,1.1,11.7
2016,113021261,6.9,7.5,7.9,31.4,0.3,54.1,0.8,16.1,14.3,29,6.7,22,1,10
2016,113031263,8.1,7,6.8,33.7,0.3,52.7,1,13,9.8,31.1,7.6,23.1,1.1,10.3
2016,107011547,9,6,6.1,33,0.6,52.7,1,12.3,9.9,29.4,7.3,24.1,2,11.7
2016,113031264,6.5,7.4,7.1,33.2,0.4,50.6,0.7,13.8,11.1,31.1,6,21.6,1,10.6
2016,113031268,3,14.8,5.8,21.5,0.2,58.3,1.6,8.9,6.4,57.7,7.6,21.4,3.9,5.1
2016,107031137,5.4,5.2,7.8,36.1,0.6,55.7,0.7,12.7,10.1,28.8,7.4,29,0.8,11.1
2016,110011187,7,10.2,6.3,28.6,0.4,55.2,1.3,13.1,10.5,38.6,7.1,20.9,2.7,8.3
2016,107031143,7.8,5.3,7.2,33.6,0.9,50.8,0.8,12.2,10.2,29.1,6.9,24.6,1,11.2
2016,107041144,6,14.6,5.8,24.7,0.9,60.5,1.9,8.3,6.4,49.3,9.3,20.7,5.7,6.8
2016,107041146,4.7,17.2,5.3,22.1,0.6,63.1,2.4,6.7,4.7,56.5,9.5,20,7.3,5.9
2016,109011173,5.9,9.1,10.9,27.7,0.8,57.1,1.8,11.5,10.3,35.9,7.8,25.3,1.7,8.6
2016,109011174,3.9,15.4,10.4,19.5,0.4,63.8,2.9,13.1,12.2,47.5,9.2,18.7,4.4,5.9
