SA2 Code (2016),Persons Total Separated,Persons Total Widowed,Persons Total Divorced,Persons Total Never Married,Persons Total Married,Persons Total Total
106031123,128,137,253,1235,2581,4325
106031124,121,425,497,857,2653,4555
106031125,374,453,946,3211,5830,10817
106041126,446,493,841,3540,3990,9305
106041127,130,166,249,986,1628,3153
106041128,167,363,383,1470,2226,4605
106041129,217,392,590,1998,3399,6597
107011131,663,1330,1798,5999,9256,19047
107011132,171,266,485,1900,3763,6584
107011133,0,0,0,8,0,10
107011134,319,800,896,3864,6624,12496
105031101,530,978,1207,4753,6012,13478
105031102,243,348,583,2524,3052,6758
105031103,116,178,328,1147,2663,4432
105031104,127,272,257,1108,1783,3555
107031137,238,391,571,1901,2531,5634
107031138,178,498,635,1639,3624,6570
107041150,438,982,1405,4834,8033,15693
110011187,96,236,266,1069,1892,3571
110011188,156,263,479,1317,2660,4875
110011189,74,214,191,684,1503,2660
110021190,291,614,790,2196,3429,7322
107011547,166,340,461,1062,1690,3711
107021135,0,0,3,0,0,8
107031136,336,510,834,3520,5975,11174
110021191,371,764,820,3118,4214,9286
110021192,186,269,358,1332,2108,4245
110021193,166,404,429,1272,2580,4860
110021194,243,448,708,1518,2676,5591
107031140,150,436,543,1654,3678,6454
107031141,353,471,998,3662,7540,13018
107031142,316,529,777,2553,4078,8256
108051168,329,585,937,1952,4959,8765
107031139,114,209,328,1219,2882,4754
108051169,743,1582,1933,5388,7157,16799
107041144,556,1199,1466,6208,8208,17636
107041145,501,901,1357,4574,5385,12718
108051170,444,680,1210,2638,5686,10665
108051171,194,425,524,1327,1967,4428
109011172,326,613,912,4114,5862,11833
107041146,416,983,1147,5932,8648,17126
107041147,170,234,479,2178,3815,6871
107041148,233,368,745,2778,4876,9000
107031143,689,1230,1769,5805,7273,16769
107041548,383,739,1256,6234,4328,12939
109031181,207,400,490,1407,3032,5543
109031182,221,546,641,1991,2767,6160
107041549,382,648,1161,6474,5484,14149
108011151,174,253,451,1078,2008,3962
108011152,516,1230,1537,3047,5917,12259
108011153,212,273,621,1325,2620,5047
108011154,237,770,757,1212,2589,5570
108021155,563,997,1179,4469,4658,11870
108021156,346,460,988,2276,3549,7624
108021157,157,359,438,1118,1880,3951
108021158,277,623,867,1716,2345,5832
108021159,261,354,725,1948,2975,6259
108021160,171,441,514,1031,2292,4451
108031161,7,23,23,110,167,327
108041162,526,1236,1620,3099,7882,14367
108041163,877,1718,2699,6187,11661,23143
108041164,620,1477,1772,3940,6855,14658
108041165,160,221,517,1230,2296,4419
108041166,362,647,908,2585,4378,8878
108051167,154,370,428,1066,2190,4217
110031197,172,419,417,1898,2752,5656
110031198,131,207,279,1117,2001,3736
111011206,444,989,1383,4253,7431,14496
109011173,303,518,820,2906,3452,7998
109011174,300,684,899,2996,3811,8688
109011175,248,548,756,2370,5127,9054
110041203,475,1026,1140,4183,5399,12218
110041204,186,206,353,1793,1489,4027
109011176,535,796,1345,4120,5089,11890
109021177,90,170,189,775,1227,2453
109021178,168,294,395,1480,2480,4817
109021179,92,163,235,905,1524,2916
109031180,198,413,438,1233,2306,4583
110041205,529,941,1369,3883,8097,14812
110031195,300,459,465,2623,2640,6481
110031196,121,163,263,1567,2059,4177
110041199,291,657,557,2395,3348,7241
110041200,150,188,252,1033,1712,3336
110041201,262,481,611,1895,3002,6243
110041202,688,1012,1507,5582,7562,16351
111011207,205,360,609,1543,2048,4758
111011208,619,1225,1748,6479,9310,19379
111011210,281,581,838,2631,2822,7151
111011211,88,269,276,722,1514,2864
111011212,321,839,941,2696,4911,9710
111011209,649,1074,1724,6234,9166,18851
111011213,248,547,641,2277,6041,9750
111011214,362,708,1154,3261,5589,11080
111021215,252,567,818,2347,3086,7065
111021216,255,366,708,2062,3698,7092
113011256,503,1122,932,5035,7615,15205
111021218,421,1087,1211,3635,6247,12598
111021217,345,633,847,3373,5672,10864
111021219,376,992,1189,3379,5353,11288
111021220,236,398,752,1908,4157,7456
111021221,180,212,433,1782,2551,5166
113011257,359,504,598,3225,5413,10105
113011258,267,592,571,2754,3847,8038
113011259,188,417,381,1517,2350,4854
113021261,195,459,452,1630,2342,5082
113021262,125,249,334,1099,2048,3859
113031263,184,536,582,1693,3275,6270
113031264,86,226,240,911,1419,2873
111031222,305,673,1040,4193,6277,12492
111031223,283,478,669,2452,2932,6810
113021260,85,179,263,844,1513,2886
113031265,199,289,407,1851,2384,5139
113031266,186,445,459,1492,2856,5445
113031267,470,662,1003,4062,6892,13085
113031268,64,162,158,1603,1582,3579
111031234,337,871,975,4436,3549,10177
115011296,130,353,348,2968,6641,10437
111031224,332,601,1116,4276,3704,10034
112031250,383,730,1265,3074,5285,10732
112031251,309,630,966,2323,3030,7253
112031252,314,313,962,2580,3811,7978
111031225,388,825,1356,4525,6164,13260
111031226,262,305,784,3359,5564,10280
112031253,401,569,1152,3137,5172,10433
112031254,681,1532,2318,5112,7157,16796
112031550,434,1298,1416,3518,6525,13195
112031551,48,96,179,747,1494,2560
112031552,296,943,1002,1966,2890,7098
111031231,290,596,658,5662,2748,9956
111031232,206,485,694,1919,3132,6442
112011238,142,208,550,1536,2162,4603
112011239,294,360,1117,2574,2489,6835
112011240,232,389,1103,3816,2605,8147
111031227,477,780,1413,5740,4205,12609
111031228,269,560,923,4325,5176,11252
111031229,310,369,1002,4780,3260,9726
111031230,0,0,0,0,9,12
115011557,73,126,168,1194,2558,4122
115031299,82,91,268,660,1143,2243
115031300,450,598,1312,5356,9757,17471
115041301,212,333,582,2478,4646,8256
115041302,333,411,820,4757,10476,16803
112011241,198,307,573,1333,1968,4381
112011242,188,267,637,1865,3285,6242
111031233,513,1333,1548,5532,7347,16270
115021298,104,240,299,1160,2429,4237
111031235,267,249,804,3375,2101,6803
112011236,612,1604,1895,4250,6434,14801
112011237,374,880,1313,3881,7276,13726
112011243,284,378,1010,2452,2418,6540
112021244,396,863,1016,3317,4140,9736
112021245,199,304,654,1748,2789,5689
112021246,402,775,1083,3674,4722,10658
112021247,259,455,756,1898,2720,6096
112021248,566,826,1668,5610,4022,12686
112021249,433,424,1347,4169,5949,12334
114011274,145,374,497,1157,2148,4316
114011275,3,0,4,14,25,42
114011276,151,287,370,879,1964,3644
113031269,551,1026,1367,5884,7770,16604
113031270,390,699,985,4543,3577,10193
113031271,429,602,844,3471,6294,11636
114011272,214,661,828,1639,4214,7553
114011273,111,193,310,862,1627,3104
114011277,454,887,1332,3837,6376,12881
114011278,710,979,1725,6126,6520,16048
114011279,502,1021,1330,3208,5604,11657
114011280,151,442,418,864,1982,3858
114011281,94,105,259,788,1584,2834
114011282,470,1137,1431,3119,6765,12925
114011283,160,247,506,1077,2345,4337
114021284,280,969,1044,2260,6373,10929
114021285,152,163,427,1545,2385,4674
114021286,245,518,794,2273,3657,7483
114021287,269,549,849,2450,3868,7986
114021288,106,127,277,650,1686,2850
114021289,184,336,596,1362,3077,5555
115011290,412,950,1263,4519,10783,17923
115011291,253,492,650,4830,9917,16144
115011294,75,316,211,1247,3268,5117
115011553,163,228,433,1653,3554,6037
115011554,56,800,235,1104,2603,4798
115011555,205,398,479,2559,5930,9573
115011558,216,722,659,4255,9482,15336
115011559,310,433,843,4893,11241,17719
115021297,361,756,1069,4975,9871,17031
116011303,456,665,961,3982,7425,13481
116011560,360,473,686,3203,5004,9725
116011306,519,722,1131,6148,9318,17831
116011307,628,1013,1607,6534,10134,19921
115011556,148,303,447,2002,4652,7541
116011304,455,810,1060,4921,7077,14315
116011308,518,920,1279,5864,10591,19168
116011561,425,763,811,4147,6681,12839
116021309,226,310,554,3733,7557,12380
116021310,545,545,1241,6436,15051,23822
116021312,446,495,929,4323,7211,13410
116021562,56,78,159,816,1791,2897
116021563,507,541,1170,5367,9901,17490
