"","SA2_CODE","Bicycle ","Bus ","Car, as driver ","Car, as passenger ","Ferry ","Motorbike/scooter ","Taxi ","Train ","Tram ","Truck ","Walked only "
"346","117031335",520,1336,2020,187,3,141,110,2616,33,10,2461
"347","117031336",296,1255,1452,172,3,112,120,1845,65,6,3262
"348","117031337",102,1624,1391,230,26,55,106,2660,122,0,6307
"349","117031338",567,3223,5420,600,4,288,117,2225,6,56,1374
"350","118011339",329,873,3761,322,14,317,49,806,8,39,551
"351","118011340",263,1102,4315,380,129,426,66,302,9,47,658
"352","118011341",218,663,2401,216,3,131,41,2222,3,22,766
"353","118011342",0,0,0,0,0,0,0,0,0,0,0
"354","118011343",140,531,4901,414,387,171,108,1976,3,23,855
"355","118011344",24,324,2973,196,159,107,19,96,0,13,163
"356","118011345",231,1901,2464,271,10,140,99,521,3,18,1572
"357","118011346",25,292,2646,208,351,75,23,72,0,14,226
"358","118011347",52,336,1309,158,6,36,37,865,3,3,338
"359","118021348",363,3315,5948,469,5,281,42,126,5,72,653
"360","118021350",95,1242,6129,467,0,126,19,28,0,86,227
"361","118021564",175,1685,2116,233,0,83,22,73,4,13,648
"362","118021565",108,1642,2361,246,0,73,11,43,0,24,653
"363","118021566",74,866,2472,188,0,78,11,25,0,30,112
"364","118021567",87,940,2560,179,0,103,4,20,0,26,115
"365","118021568",33,1194,2004,205,0,72,11,21,0,32,223
"366","118021569",319,2158,3595,268,0,154,37,138,0,40,784
"367","118021570",167,1782,2304,195,3,96,28,54,0,25,911
"368","119011354",16,108,5174,430,4,20,13,357,3,131,93
"369","119011355",4,0,246,23,0,0,0,86,0,3,5
"370","119011356",7,49,2814,257,0,12,4,278,0,91,65
"371","119011357",11,139,5680,521,0,19,35,467,3,164,149
"372","119011358",12,130,4337,259,0,22,10,1238,0,69,99
"373","119011359",27,74,7501,435,0,37,11,1619,0,155,154
"374","119011360",22,94,4185,289,0,23,9,1234,0,70,137
"375","119011361",11,119,4674,374,0,26,14,862,0,100,105
"376","119011571",11,138,3335,271,0,8,22,966,0,50,193
"377","119011572",13,124,3217,326,3,17,16,717,3,56,211
"378","119021362",19,140,4536,362,3,36,17,1138,5,95,171
"379","119021363",36,603,6277,661,0,73,50,2876,13,93,486
"380","119021364",96,346,5907,431,0,89,26,1399,22,115,152
"381","119021366",18,91,4234,427,0,23,32,961,0,117,125
"382","119021367",5,77,3548,238,0,20,10,645,0,55,82
"383","119021573",7,61,2930,256,0,21,58,1112,0,23,215
"384","119021574",3,16,1957,151,0,9,41,745,0,28,73
"385","119031368",14,181,4161,440,6,25,8,3090,6,45,555
"386","119031369",35,182,5618,399,3,51,15,3161,7,72,274
"387","119031370",7,68,3043,208,6,22,5,1435,0,44,119
"388","119031371",21,40,3032,204,0,20,10,1489,0,39,124
"389","119031372",17,79,4892,276,0,25,14,870,0,97,82
"390","119031373",3,91,2006,186,0,23,5,1139,4,36,107
"391","119031374",16,169,5624,438,0,31,12,2111,0,55,352
"392","119041375",74,145,3995,385,0,52,22,3972,3,89,242
"393","119041376",41,213,5935,512,4,51,21,2535,3,111,372
"394","119041377",18,113,2936,236,0,29,5,1262,3,46,100
"395","119041378",18,84,2084,183,0,31,13,1690,3,17,568
"396","119041379",16,75,3871,288,0,22,16,1961,0,38,223
"397","119041380",20,202,3828,279,0,41,18,419,0,53,176
"398","119041381",26,343,3780,377,0,57,17,3240,0,58,298
"399","119041382",19,206,4713,279,0,46,18,338,0,57,132
"400","120011383",71,244,6069,370,342,66,27,894,5,81,243
"401","120011384",80,166,4995,347,10,50,26,4118,4,47,580
"402","120011385",135,1698,4789,276,239,104,36,44,9,56,235
"403","120011386",110,1323,5602,357,342,120,24,128,26,58,209
"404","120021387",193,1531,3009,222,682,107,45,44,3,20,453
"405","120021388",465,2397,5665,424,5,234,92,537,551,49,815
"406","120021389",226,1694,3082,254,38,116,50,58,124,32,420
"407","120031390",112,453,4132,343,0,95,27,4192,34,45,557
"408","120031391",56,317,3814,313,4,54,18,3705,17,53,690
"409","120031392",58,181,2383,184,5,40,8,1238,25,36,89
"410","120031393",58,332,4377,349,0,58,16,823,8,95,171
"411","120031394",182,552,3523,209,0,103,19,1952,421,26,244
"412","120031395",146,368,2835,196,3,56,24,1621,170,35,250
"413","120031396",44,105,3145,252,0,37,16,2698,0,24,312
"414","120031575",29,352,4759,492,3,35,13,3754,5,56,436
"415","120031576",0,55,948,70,0,10,3,113,0,14,22
"416","121011398",92,755,3893,358,3,55,22,4438,6,18,1490
"417","121011399",131,1673,4498,359,0,120,20,1511,0,34,707
"418","121011400",144,2300,6145,450,158,138,42,752,0,33,589
"419","121011401",62,652,1748,147,0,54,29,1768,3,8,700
"420","121011402",133,2432,5524,428,0,105,39,182,3,29,415
"421","121021403",34,82,5037,288,0,55,8,1373,0,79,122
"422","121021404",14,20,3302,186,3,45,5,795,0,50,119
"423","121021406",34,55,4430,286,0,47,6,1768,0,43,180
"424","121021577",14,47,2083,194,0,21,10,2195,3,13,543
"425","121021578",19,41,2178,177,0,23,3,1225,0,23,210
"426","121021579",13,36,1588,126,4,19,3,1678,0,6,220
"427","121031407",53,89,4169,302,0,51,22,2525,8,20,210
"428","121031408",84,408,4707,315,0,54,29,2366,4,23,289
"429","121031409",48,89,3878,245,0,46,9,1356,3,19,142
"430","121031410",28,402,5099,326,0,55,19,709,0,28,178
"431","121031411",71,102,4079,217,0,48,15,1464,0,20,156
"432","121031412",42,42,3948,219,0,21,12,1561,4,28,270
"433","121041413",113,2757,4113,327,193,126,45,98,0,9,672
"434","121041414",127,1336,3163,248,0,98,46,2718,4,9,1320
"435","121041415",124,2943,5650,409,448,133,65,74,5,20,632
"436","121041416",125,1684,3193,254,367,101,77,1485,0,8,1177
"437","121041417",67,450,1433,134,56,49,43,1893,0,4,1064
"438","122011418",135,1644,4655,330,131,149,23,22,3,31,265
"439","122011419",245,1137,4040,254,2240,187,31,34,3,31,881
"440","122021420",38,300,3650,198,7,48,3,19,0,65,233
"441","122021421",18,267,3021,154,6,52,11,14,0,50,91
"442","122021422",19,457,4341,197,5,59,4,8,0,53,176
"443","122021423",86,919,7611,452,5,103,12,24,0,116,396
"444","122031424",34,656,4074,348,12,70,31,3,3,67,146
"445","122031425",31,290,2351,158,0,67,6,0,0,43,49
"446","122031426",151,2503,7235,568,56,196,31,16,0,107,673
"447","122031427",36,739,3295,217,0,58,9,52,0,30,137
"448","122031428",70,1229,7324,419,0,129,16,45,0,96,208
"449","122031429",212,1446,6009,385,204,197,33,18,0,83,509
"450","122031430",147,1349,4257,282,38,145,17,17,0,62,298
"451","122031431",76,1515,7713,446,17,164,22,15,0,90,262
"452","122031432",7,82,1129,58,0,6,0,11,0,24,56
"453","123011433",3,36,4511,224,0,17,3,99,3,89,76
"454","123011434",25,54,7741,458,0,35,5,229,0,109,91
"455","123011435",32,132,10891,645,0,59,13,485,0,165,102
"456","123021436",11,94,5106,404,0,42,16,369,0,105,75
"457","123021437",14,73,4675,448,0,33,12,989,3,59,184
"458","123021438",14,69,6417,505,0,38,4,549,0,128,71
"459","123021439",0,0,0,0,0,0,0,0,0,0,0
"460","123021440",18,65,5158,386,0,24,19,1456,0,89,149
"461","123021441",13,83,4765,396,0,31,8,782,0,92,80
"462","123021442",13,87,5234,439,0,31,21,1825,0,86,86
"463","123021443",10,83,5313,465,0,42,14,1086,0,95,108
"464","123021444",10,107,5894,533,0,37,4,589,0,111,73
"465","123031445",5,3,1925,113,0,3,0,33,0,90,41
"466","123031446",7,14,3486,139,0,13,3,99,0,120,78
"467","123031447",9,17,5479,324,0,20,3,164,0,173,118
"468","123031448",3,14,3189,147,0,22,3,35,0,133,85
"469","124011449",15,14,1307,71,0,7,0,118,0,18,81
"470","124011450",34,24,5922,317,0,47,11,908,3,89,119
"471","124011451",0,0,5,0,0,0,0,0,0,0,0
"472","124011452",23,27,2819,234,0,33,39,400,4,53,414
"473","124011453",12,13,3260,167,0,32,9,495,0,62,75
"474","124011454",34,38,6892,326,0,53,8,717,0,119,180
"475","124011455",3,4,1469,104,0,7,4,168,0,22,43
"476","124021456",0,0,0,0,0,0,0,0,0,0,0
"477","124031457",25,74,5263,375,0,29,6,426,0,143,66
"478","124031458",13,72,8130,569,0,58,5,607,0,273,73
"479","124031459",22,34,4591,319,3,32,13,473,0,115,78
"480","124031460",22,86,8050,507,0,41,7,445,0,133,80
"481","124031461",23,66,5541,394,3,33,12,375,0,130,130
"482","124031462",16,86,5550,442,0,57,13,904,3,93,182
"483","124031463",3,12,3395,202,0,11,3,133,0,159,79
"484","124031464",25,72,3327,291,0,31,7,584,0,55,276
"485","124031465",3,14,1961,103,0,8,4,19,0,103,30
"486","124041466",70,29,4249,279,0,41,7,248,0,106,221
"487","124041467",26,31,5416,353,0,45,3,264,0,161,117
"488","124041468",3,6,2068,126,0,6,3,64,0,208,100
"489","124051469",4,19,2659,204,0,8,8,137,0,51,17
"490","124051470",12,100,7236,515,0,42,10,398,3,168,59
"491","124051580",9,50,3340,298,0,42,0,251,0,89,48
"492","124051581",20,78,3973,423,3,39,13,553,3,77,128
"493","125011473",67,229,5143,325,101,36,12,725,3,42,276
"494","125011475",0,0,0,0,0,0,0,0,0,0,0
"495","125011582",12,56,3029,325,0,16,29,1421,4,53,215
"496","125011583",17,49,1931,242,0,13,21,1428,0,20,166
"497","125011584",6,31,1755,188,0,6,11,379,3,48,33
"498","125011585",9,15,1925,216,0,3,9,835,0,28,74
"499","125011586",35,115,4084,462,0,25,22,2544,8,45,238
"500","125011587",7,14,1119,101,0,3,3,377,0,17,33
"501","125021476",33,716,7084,468,0,57,15,852,0,69,204
"502","125021477",48,451,5949,422,25,95,11,487,0,82,120
"503","125021478",24,272,4951,345,0,46,6,478,3,59,94
"504","125031479",10,108,4030,378,3,14,18,640,0,84,104
"505","125031480",14,48,2964,320,0,10,8,566,0,98,73
"506","125031481",27,147,4102,454,0,31,23,1697,0,99,202
"507","125031482",26,324,7921,560,0,41,13,550,5,133,102
"508","125031483",8,121,3826,395,0,9,12,642,0,137,80
"509","125031484",11,210,4868,408,0,18,23,761,3,99,94
"510","125031485",32,392,6577,639,0,30,41,1338,0,136,214
"511","125031486",0,0,3,0,0,0,0,0,0,0,0
"512","125031487",0,0,4,0,0,0,0,0,0,0,0
"513","125041489",90,669,4810,389,3,47,27,1192,0,49,911
"514","125041490",15,355,2315,126,3,26,3,49,0,35,56
"515","125041491",23,776,4725,266,0,37,20,1576,0,48,486
"516","125041492",44,881,4916,480,0,45,37,4428,9,51,1114
"517","125041493",43,313,5630,431,3,58,12,1471,0,85,143
"518","125041494",13,503,3367,179,0,31,9,62,3,40,49
"519","125041588",13,65,2848,202,0,13,13,1179,0,28,96
"520","125041589",16,262,2993,296,0,14,16,1714,0,52,238
"521","126011495",60,361,5878,410,3,67,12,3076,6,39,245
"522","126011496",35,365,4912,279,0,58,13,1980,3,35,216
"523","126021497",59,457,5545,432,3,42,19,2228,5,55,438
"524","126021498",49,1200,4009,229,117,78,24,29,0,45,188
"525","126021499",35,428,2519,152,165,32,16,16,0,17,109
"526","126021500",53,1177,4126,336,0,80,13,1145,0,33,943
"527","126021501",49,823,3121,231,4,48,4,245,0,32,199
"528","126021503",49,336,4558,308,37,56,16,2858,0,54,299
"529","126021590",16,154,1305,79,42,15,5,39,0,7,31
"530","126021591",67,1974,7235,513,51,117,22,686,0,95,364
"531","127011504",8,154,2921,352,0,16,5,134,0,72,43
"532","127011505",4,13,2248,154,0,12,0,110,0,265,135
"533","127011506",3,32,5922,282,0,25,3,335,0,215,105
"534","127011592",0,0,12,0,0,0,0,0,0,0,0
"535","127011593",3,51,2361,191,0,6,3,87,0,57,26
"536","127011594",4,128,3564,332,0,11,9,204,0,86,42
"537","127011595",3,138,3899,304,0,7,3,213,0,74,16
"538","127011596",5,71,3758,271,0,9,11,255,0,62,50
