"","SA2_CODE","Bicycle ","Bus ","Car, as driver ","Car, as passenger ","Ferry ","Motorbike/scooter ","Taxi ","Train ","Tram ","Truck ","Walked only "
"103","105031103",3,7,1915,85,0,14,0,0,0,59,59
"104","105031104",4,3,1057,78,0,12,0,0,0,29,135
"105","105031105",13,9,1665,106,0,11,3,0,0,56,161
"106","105031106",4,14,1820,161,0,22,5,3,0,60,167
"107","106011107",4,12,3313,161,0,20,0,3,0,58,117
"108","106011108",19,27,5513,468,3,26,11,3,0,70,162
"109","106011109",0,9,2277,121,0,9,0,8,0,61,47
"110","106011110",7,8,2597,141,0,13,7,6,0,76,141
"111","106011111",10,34,5062,379,3,37,4,11,0,93,96
"112","106011112",26,24,5462,374,0,45,12,6,0,74,304
"113","106011113",0,4,1420,68,0,26,3,4,0,34,51
"114","106021114",11,17,2162,117,0,12,6,19,0,25,88
"115","106021115",40,56,8837,602,0,46,7,86,0,88,171
"116","106021116",19,13,2754,137,0,17,3,14,0,39,56
"117","106021117",19,61,7167,542,4,40,17,33,0,91,124
"118","106021118",12,17,3814,196,0,26,0,36,0,46,54
"119","106031119",5,30,1662,126,0,8,0,0,0,32,75
"120","106031120",9,24,1604,90,0,17,3,0,0,24,32
"121","106031121",38,73,5296,388,3,33,4,13,0,58,251
"122","106031122",14,54,3924,284,3,39,3,3,0,56,114
"123","106031123",0,3,1966,89,0,15,0,4,0,68,26
"124","106031124",9,4,921,63,0,6,0,0,0,19,73
"125","106031125",35,32,4270,236,3,40,0,0,0,87,151
"126","106041126",13,13,3621,251,4,39,4,9,0,35,122
"127","106041127",0,4,1234,74,0,16,0,0,0,24,79
"128","106041128",12,6,1821,164,0,8,0,3,0,24,121
"129","106041129",8,17,2279,155,0,26,0,3,0,53,222
"130","107011131",16,100,6962,469,0,39,6,189,5,98,92
"131","107011132",13,38,3126,207,0,20,6,78,0,36,30
"132","107011133",0,0,0,0,0,0,0,0,0,0,0
"133","107011134",34,81,5055,364,0,41,3,134,0,45,58
"134","107011545",11,87,3516,302,0,35,15,70,0,45,63
"135","107011546",17,56,2122,191,0,11,3,51,3,21,73
"136","107011547",7,31,1138,79,0,8,3,12,0,19,21
"137","107021135",0,0,3,0,0,0,0,0,0,0,0
"138","107031136",10,30,5170,311,0,23,5,56,0,82,73
"139","107031137",13,18,2116,149,0,14,0,62,0,37,22
"140","107031138",8,8,2204,120,0,12,0,56,0,23,120
"141","107031139",5,12,1937,116,0,9,0,38,0,25,51
"142","107031140",13,12,2298,114,0,12,0,27,0,29,108
"143","107031141",18,59,6004,359,3,19,5,114,0,68,76
"144","107031142",11,35,3175,233,3,16,3,46,0,39,95
"145","107031143",30,100,5310,409,0,34,11,69,0,78,125
"146","107041144",78,249,5974,493,0,33,16,230,0,90,202
"147","107041145",51,92,4473,323,3,31,8,213,0,70,134
"148","107041146",68,174,6163,543,0,53,19,202,0,53,218
"149","107041147",12,6,2832,158,0,18,3,431,0,50,99
"150","107041148",33,60,3326,175,0,17,7,468,0,34,127
"151","107041150",75,98,6127,361,0,43,3,367,0,66,149
"152","107041548",90,261,3427,240,0,40,18,237,0,17,846
"153","107041549",69,247,4301,392,0,42,17,300,0,25,515
"154","108011151",6,10,1160,83,0,6,0,5,0,41,92
"155","108011152",46,20,3044,307,0,17,5,5,0,42,170
"156","108011153",4,9,1296,80,0,5,0,0,3,49,85
"157","108011154",17,9,1054,75,0,5,3,0,0,19,111
"158","108021155",13,19,3118,299,0,25,4,0,0,91,123
"159","108021156",19,17,2176,118,3,9,0,0,0,63,171
"160","108021157",6,10,1062,65,0,8,5,5,0,38,71
"161","108021158",0,14,1245,103,0,11,3,5,0,24,74
"162","108021159",0,12,1843,97,0,23,0,0,0,67,77
"163","108021160",7,10,1024,94,0,9,0,0,0,10,86
"164","108031161",54,0,45,7,0,9,0,0,0,3,51
"165","108041162",13,20,3861,228,4,16,0,3,0,82,180
"166","108041163",71,44,8315,657,3,114,23,3,0,83,269
"167","108041164",52,37,4220,362,0,45,16,3,0,56,278
"168","108041165",3,7,1444,77,0,16,0,0,0,51,64
"169","108041166",9,8,3007,211,0,27,8,0,0,76,108
"170","108051167",9,6,1091,79,0,11,0,4,0,35,100
"171","108051168",8,20,2669,144,0,22,0,3,0,50,94
"172","108051169",40,32,4615,443,0,43,14,5,0,87,231
"173","108051170",6,17,2722,141,3,30,3,5,0,86,141
"174","108051171",3,12,1324,97,0,15,5,0,0,35,55
"175","109011172",54,20,5661,336,0,45,0,0,3,33,198
"176","109011173",39,34,3168,220,4,25,5,3,3,32,94
"177","109011174",72,23,3215,192,0,16,16,5,0,19,326
"178","109011175",19,16,3411,161,0,19,0,4,0,101,228
"179","109011176",42,42,4382,329,0,27,12,0,0,34,124
"180","109021177",8,0,778,77,4,9,0,0,0,28,104
"181","109021178",8,17,1617,107,0,5,0,0,0,23,125
"182","109021179",11,8,920,75,0,7,0,0,0,15,151
"183","109031180",11,3,1545,101,0,3,3,0,0,13,85
"184","109031181",14,3,1765,115,0,8,0,3,0,40,123
"185","109031182",27,3,2219,166,0,5,0,0,0,40,155
"186","109031183",12,19,1697,83,0,24,0,0,0,37,229
"187","109031184",19,7,1776,108,0,3,0,4,0,22,54
"188","109031185",30,15,2391,139,0,17,0,3,3,65,258
"189","110011186",109,47,6351,683,0,67,35,3,3,94,535
"190","110011187",9,6,1168,93,0,27,0,0,0,52,106
"191","110011188",15,3,1796,109,0,26,0,3,0,47,112
"192","110011189",0,3,738,60,0,26,0,3,0,37,104
"193","110021190",14,10,1914,173,3,19,8,4,0,75,217
"194","110021191",22,14,3130,323,0,24,8,0,0,62,154
"195","110021192",0,7,1038,77,0,26,0,0,0,27,92
"196","110021193",4,9,1320,80,0,14,0,0,0,70,165
"197","110021194",7,16,1316,86,0,16,0,0,0,70,134
"198","110031195",16,5,2396,207,0,15,10,0,0,64,154
"199","110031196",9,5,1450,74,0,10,0,0,0,58,200
"200","110031197",13,43,2163,200,0,9,3,0,0,49,129
"201","110031198",0,9,1258,70,0,6,0,0,0,61,135
"202","110041199",10,73,2645,305,0,7,12,0,0,66,124
"203","110041200",3,21,1126,64,0,4,0,3,0,47,118
"204","110041201",0,8,1833,110,0,9,4,0,0,80,200
"205","110041202",49,46,6645,585,0,65,19,9,0,120,251
"206","110041203",23,26,4835,400,5,38,16,3,0,77,252
"207","110041204",9,10,1348,154,3,22,3,0,0,36,74
"208","110041205",13,31,5490,323,0,52,4,0,0,202,295
"209","111011206",25,89,5587,333,0,39,6,6,0,72,131
"210","111011207",7,45,1642,105,0,7,0,0,0,27,33
"211","111011208",89,175,7972,479,0,83,18,32,0,93,229
"212","111011209",63,143,7995,488,0,82,5,54,3,87,129
"213","111011210",7,46,2348,188,0,23,7,9,0,27,49
"214","111011211",19,18,1084,55,0,13,0,4,0,15,22
"215","111011212",13,51,3329,210,0,13,0,13,0,55,78
"216","111011213",23,34,4142,235,0,28,3,16,0,48,47
"217","111011214",22,52,4484,274,0,38,9,21,0,47,90
"218","111021215",7,18,2446,162,0,36,0,33,0,29,29
"219","111021216",3,15,2552,154,0,13,0,57,0,62,23
"220","111021217",10,41,5156,311,0,32,3,17,0,53,58
"221","111021218",15,13,3833,237,0,30,3,107,3,131,119
"222","111021219",11,41,3724,217,0,33,0,47,0,52,114
"223","111021220",5,11,2748,150,0,12,0,36,0,42,34
"224","111021221",4,15,2340,121,0,25,0,7,0,41,25
"225","111031222",102,149,5390,342,0,60,6,50,0,36,166
"226","111031223",12,17,2281,184,0,28,0,34,0,46,54
"227","111031224",189,210,3482,261,0,51,8,66,0,27,325
"228","111031225",133,161,5436,397,0,51,10,42,0,37,233
"229","111031226",27,63,5135,289,0,43,3,11,0,32,42
"230","111031227",121,194,4651,358,0,69,13,51,0,35,238
"231","111031228",213,72,4951,311,0,59,12,25,0,29,261
"232","111031229",163,190,3454,243,3,44,10,47,0,15,783
"233","111031230",0,0,4,0,0,0,0,0,0,0,0
"234","111031231",36,168,2697,221,0,43,11,21,0,31,167
"235","111031232",27,13,1855,95,71,9,0,6,0,30,93
"236","111031233",42,163,5958,420,0,68,18,18,0,59,154
"237","111031234",76,140,3665,277,0,57,7,35,0,36,172
"238","111031235",216,136,2662,183,3,41,15,24,0,12,220
"239","112011236",144,42,4357,315,0,34,9,4,0,71,239
"240","112011237",28,35,4962,308,0,45,3,6,0,98,189
"241","112011238",7,15,1503,73,0,9,5,3,0,26,127
"242","112011239",35,19,2242,134,0,18,4,0,0,35,83
